kind,xi,muB_MeV,T_MeV,variable,curve_parameter,plot_order_key,source_csv
cep,-0.3,735.816486365,140.844726562,CEP,140.844726562,140.844726562,data\reference\pnjl\paper_p1_20260531\cep_paper_p1_20260531.csv
cep,0,873.616543397,131.000976562,CEP,131.000976562,131.000976562,data\reference\pnjl\paper_p1_20260531\cep_paper_p1_20260531.csv
cep,0.3,982.240496966,118.432617188,CEP,118.432617188,118.432617188,data\reference\pnjl\paper_p1_20260531\cep_paper_p1_20260531.csv
crossover,-0.3,0,189.888942584,phi_u,0,0,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,49.0544324243,189.68735309,phi_u,16.3514774748,16.3514774748,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,98.1088648487,189.064963985,phi_u,32.7029549496,32.7029549496,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,147.163297273,188.018688374,phi_u,49.0544324243,49.0544324243,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,196.217729697,186.558515658,phi_u,65.4059098991,65.4059098991,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,245.272162122,184.665195753,phi_u,81.7573873739,81.7573873739,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,294.326594546,182.347989342,phi_u,98.1088648487,98.1088648487,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,343.38102697,179.581472553,phi_u,114.460342323,114.460342323,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,392.435459395,176.371090458,phi_u,130.811819798,130.811819798,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,441.489891819,172.714484879,phi_u,147.163297273,147.163297273,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,490.544324243,168.598579521,phi_u,163.514774748,163.514774748,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,539.598756668,164.039537574,phi_u,179.866252223,179.866252223,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,588.653189092,159.020467131,phi_u,196.217729697,196.217729697,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,637.707621517,153.539010016,phi_u,212.569207172,212.569207172,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,686.762053941,147.529784753,phi_u,228.920684647,228.920684647,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,-0.3,735.816486365,140.842413953,phi_u,245.272162122,245.272162122,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,0,200.156403793,phi_u,0,0,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,58.2411028931,199.877717798,phi_u,19.4137009644,19.4137009644,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,116.482205786,199.023476226,phi_u,38.8274019288,38.8274019288,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,174.723308679,197.597151832,phi_u,58.2411028931,58.2411028931,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,232.964411573,195.598744617,phi_u,77.6548038575,77.6548038575,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,291.205514466,193.003125481,phi_u,97.0685048219,97.0685048219,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,349.446617359,189.787818271,phi_u,116.482205786,116.482205786,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,407.687720252,185.95282299,phi_u,135.895906751,135.895906751,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,465.928823145,181.476483291,phi_u,155.309607715,155.309607715,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,524.169926038,176.336323026,phi_u,174.723308679,174.723308679,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,582.411028931,170.543580268,phi_u,194.137009644,194.137009644,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,640.652131825,164.131149437,phi_u,213.550710608,213.550710608,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,698.893234718,157.139690273,phi_u,232.964411573,232.964411573,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,757.134337611,149.528543036,phi_u,252.378112537,252.378112537,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,815.375440504,141.004310901,phi_u,271.791813501,271.791813501,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0,873.616543397,130.995320948,phi_u,291.205514466,291.205514466,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,0,208.312716183,phi_u,0,0,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,65.4826997977,207.961360346,phi_u,21.8275665992,21.8275665992,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,130.965399595,206.917308817,phi_u,43.6551331985,43.6551331985,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,196.448099393,205.168406947,phi_u,65.4826997977,65.4826997977,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,261.930799191,202.69152767,phi_u,87.310266397,87.310266397,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,327.413498989,199.470464788,phi_u,109.137832996,109.137832996,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,392.896198786,195.467797921,phi_u,130.965399595,130.965399595,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,458.378898584,190.647288913,phi_u,152.792966195,152.792966195,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,523.861598382,184.97056094,phi_u,174.620532794,174.620532794,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,589.34429818,178.401150062,phi_u,196.448099393,196.448099393,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,654.826997977,170.966460681,phi_u,218.275665992,218.275665992,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,720.309697775,162.796647235,phi_u,240.103232592,240.103232592,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,785.792397573,154.07549074,phi_u,261.930799191,261.930799191,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,851.27509737,144.537448544,phi_u,283.75836579,283.75836579,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,916.757797168,133.23643695,phi_u,305.585932389,305.585932389,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
crossover,0.3,982.240496966,118.424510529,phi_u,327.413498989,327.413498989,data\reference\pnjl\paper_p1_20260531\crossover_paper_p1_20260531.csv
first_order,-0.3,1032.30278089,30,mu_transition_MeV,30,30,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1030.06541361,35,mu_transition_MeV,35,35,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1027.41616123,40,mu_transition_MeV,40,40,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1024.29409914,45,mu_transition_MeV,45,45,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1020.62880524,50,mu_transition_MeV,50,50,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1016.34252004,55,mu_transition_MeV,55,55,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
first_order,-0.3,1011.36591694,60,mu_transition_MeV,60,60,data\reference\pnjl\paper_p1_20260531\boundary_paper_p1_20260531.csv
