T_MeV,mu_MeV,xi,branch,omega,pressure,rho,entropy,energy,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,delta_omega
50.000000,0.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000000,0.0000000785,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000195197,0.0000195197,367.648249,367.648249,549.479201,NaN
50.000000,5.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000000,0.0000000785,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000176636,0.0000215712,367.648249,367.648249,549.479201,NaN
50.000000,10.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000000,0.0000000785,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000159845,0.0000238387,367.648249,367.648249,549.479201,NaN
50.000000,15.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000001,0.0000000786,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000144657,0.0000263450,367.648249,367.648249,549.479201,NaN
50.000000,20.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000001,0.0000000787,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000130918,0.0000291149,367.648249,367.648249,549.479201,NaN
50.000000,25.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000001,0.0000000788,-21.6080121190,-1.8432945724,-1.8432945724,-2.2270091561,0.0000118493,0.0000321764,367.648249,367.648249,549.479201,NaN
50.000000,30.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000002,0.0000000790,-21.6080121189,-1.8432945724,-1.8432945724,-2.2270091561,0.0000107258,0.0000355599,367.648249,367.648249,549.479201,NaN
50.000000,35.000000,0.000000,hadron,-21.6080121389,21.6080121389,0.0000000003,0.0000000793,-21.6080121188,-1.8432945723,-1.8432945723,-2.2270091560,0.0000097101,0.0000392993,367.648249,367.648249,549.479201,NaN
50.000000,40.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000004,0.0000000796,-21.6080121188,-1.8432945723,-1.8432945723,-2.2270091560,0.0000087922,0.0000434322,367.648249,367.648249,549.479201,NaN
50.000000,45.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000005,0.0000000800,-21.6080121186,-1.8432945722,-1.8432945722,-2.2270091560,0.0000079630,0.0000479997,367.648249,367.648249,549.479201,NaN
50.000000,50.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000007,0.0000000806,-21.6080121185,-1.8432945721,-1.8432945721,-2.2270091560,0.0000072143,0.0000530476,367.648249,367.648249,549.479201,NaN
50.000000,55.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000009,0.0000000814,-21.6080121182,-1.8432945720,-1.8432945720,-2.2270091560,0.0000065389,0.0000586265,367.648249,367.648249,549.479201,NaN
50.000000,60.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000012,0.0000000825,-21.6080121179,-1.8432945718,-1.8432945718,-2.2270091560,0.0000059303,0.0000647922,367.648249,367.648249,549.479201,NaN
50.000000,65.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000017,0.0000000838,-21.6080121175,-1.8432945716,-1.8432945716,-2.2270091559,0.0000053825,0.0000716063,367.648249,367.648249,549.479201,NaN
50.000000,70.000000,0.000000,hadron,-21.6080121390,21.6080121390,0.0000000022,0.0000000857,-21.6080121169,-1.8432945713,-1.8432945713,-2.2270091559,0.0000048906,0.0000791371,367.648249,367.648249,549.479201,NaN
50.000000,75.000000,0.000000,hadron,-21.6080121391,21.6080121391,0.0000000030,0.0000000882,-21.6080121162,-1.8432945709,-1.8432945709,-2.2270091558,0.0000044500,0.0000874599,367.648249,367.648249,549.479201,NaN
50.000000,80.000000,0.000000,hadron,-21.6080121391,21.6080121391,0.0000000041,0.0000000914,-21.6080121151,-1.8432945704,-1.8432945704,-2.2270091558,0.0000040568,0.0000966581,367.648249,367.648249,549.479200,NaN
50.000000,85.000000,0.000000,hadron,-21.6080121392,21.6080121392,0.0000000055,0.0000000958,-21.6080121137,-1.8432945697,-1.8432945697,-2.2270091557,0.0000037078,0.0001068237,367.648248,367.648248,549.479200,NaN
50.000000,90.000000,0.000000,hadron,-21.6080121392,21.6080121392,0.0000000075,0.0000001016,-21.6080121119,-1.8432945687,-1.8432945687,-2.2270091555,0.0000034001,0.0001180584,367.648248,367.648248,549.479200,NaN
50.000000,95.000000,0.000000,hadron,-21.6080121393,21.6080121393,0.0000000101,0.0000001093,-21.6080121093,-1.8432945674,-1.8432945674,-2.2270091553,0.0000031317,0.0001304746,367.648248,367.648248,549.479200,NaN
50.000000,100.000000,0.000000,hadron,-21.6080121395,21.6080121395,0.0000000136,0.0000001195,-21.6080121059,-1.8432945656,-1.8432945656,-2.2270091551,0.0000029015,0.0001441967,367.648248,367.648248,549.479200,NaN
50.000000,105.000000,0.000000,hadron,-21.6080121397,21.6080121397,0.0000000183,0.0000001331,-21.6080121013,-1.8432945632,-1.8432945632,-2.2270091548,0.0000027079,0.0001593620,367.648247,367.648247,549.479200,NaN
50.000000,110.000000,0.000000,hadron,-21.6080121399,21.6080121399,0.0000000247,0.0000001511,-21.6080120950,-1.8432945599,-1.8432945599,-2.2270091543,0.0000025509,0.0001761222,367.648246,367.648246,549.479200,NaN
50.000000,115.000000,0.000000,hadron,-21.6080121403,21.6080121403,0.0000000334,0.0000001749,-21.6080120866,-1.8432945555,-1.8432945555,-2.2270091537,0.0000024312,0.0001946452,367.648246,367.648246,549.479199,NaN
50.000000,120.000000,0.000000,hadron,-21.6080121408,21.6080121408,0.0000000451,0.0000002066,-21.6080120753,-1.8432945496,-1.8432945496,-2.2270091528,0.0000023500,0.0002151162,367.648244,367.648244,549.479199,NaN
50.000000,125.000000,0.000000,hadron,-21.6080121414,21.6080121414,0.0000000609,0.0000002486,-21.6080120599,-1.8432945416,-1.8432945416,-2.2270091517,0.0000023099,0.0002377401,367.648243,367.648243,549.479198,NaN
50.000000,130.000000,0.000000,hadron,-21.6080121423,21.6080121423,0.0000000822,0.0000003042,-21.6080120392,-1.8432945308,-1.8432945308,-2.2270091502,0.0000023142,0.0002627435,367.648241,367.648241,549.479197,NaN
50.000000,135.000000,0.000000,hadron,-21.6080121434,21.6080121434,0.0000001109,0.0000003780,-21.6080120112,-1.8432945163,-1.8432945163,-2.2270091481,0.0000023678,0.0002903764,367.648238,367.648238,549.479196,NaN
50.000000,140.000000,0.000000,hadron,-21.6080121450,21.6080121450,0.0000001497,0.0000004756,-21.6080119735,-1.8432944966,-1.8432944966,-2.2270091454,0.0000024768,0.0003209156,367.648234,367.648234,549.479194,NaN
50.000000,145.000000,0.000000,hadron,-21.6080121471,21.6080121471,0.0000002021,0.0000006050,-21.6080119226,-1.8432944701,-1.8432944701,-2.2270091416,0.0000026495,0.0003546666,367.648228,367.648228,549.479191,NaN
50.000000,150.000000,0.000000,hadron,-21.6080121500,21.6080121500,0.0000002728,0.0000007762,-21.6080118538,-1.8432944343,-1.8432944343,-2.2270091366,0.0000028962,0.0003919672,367.648221,367.648221,549.479188,NaN
50.000000,155.000000,0.000000,hadron,-21.6080121539,21.6080121539,0.0000003682,0.0000010027,-21.6080117610,-1.8432943859,-1.8432943859,-2.2270091298,0.0000032299,0.0004331908,367.648211,367.648211,549.479184,NaN
50.000000,160.000000,0.000000,hadron,-21.6080121591,21.6080121591,0.0000004970,0.0000013023,-21.6080116357,-1.8432943206,-1.8432943206,-2.2270091206,0.0000036667,0.0004787499,367.648198,367.648198,549.479178,NaN
50.000000,165.000000,0.000000,hadron,-21.6080121661,21.6080121661,0.0000006709,0.0000016983,-21.6080114665,-1.8432942325,-1.8432942325,-2.2270091082,0.0000042267,0.0005291005,367.648181,367.648181,549.479170,NaN
50.000000,170.000000,0.000000,hadron,-21.6080121757,21.6080121757,0.0000009056,0.0000022216,-21.6080112382,-1.8432941136,-1.8432941136,-2.2270090914,0.0000049346,0.0005847466,367.648157,367.648157,549.479159,NaN
50.000000,175.000000,0.000000,hadron,-21.6080121885,21.6080121885,0.0000012225,0.0000029129,-21.6080109300,-1.8432939531,-1.8432939531,-2.2270090688,0.0000058210,0.0006462451,367.648124,367.648124,549.479145,NaN
50.000000,180.000000,0.000000,hadron,-21.6080122058,21.6080122058,0.0000016502,0.0000038254,-21.6080105140,-1.8432937364,-1.8432937364,-2.2270090382,0.0000069233,0.0007142115,367.648081,367.648081,549.479126,NaN
50.000000,185.000000,0.000000,hadron,-21.6080122292,21.6080122292,0.0000022275,0.0000050294,-21.6080099525,-1.8432934439,-1.8432934439,-2.2270089970,0.0000082873,0.0007893262,367.648022,367.648022,549.479099,NaN
50.000000,190.000000,0.000000,hadron,-21.6080122608,21.6080122608,0.0000030068,0.0000066173,-21.6080091944,-1.8432930490,-1.8432930490,-2.2270089413,0.0000099694,0.0008723408,367.647942,367.647942,549.479064,NaN
50.000000,195.000000,0.000000,hadron,-21.6080123035,21.6080123035,0.0000040588,0.0000087103,-21.6080081712,-1.8432925160,-1.8432925160,-2.2270088662,0.0000120385,0.0009640864,367.647835,367.647835,549.479016,NaN
