xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.5,60.0,351.3822973902803,296.2447557653308,0.34756032787271485,1.9276155015936587,60.0,60.0
-0.5,65.0,347.6850903566717,295.0156841514442,0.37745295015259367,1.9496408446410791,65.0,65.0
-0.5,70.0,343.6284546813871,293.56030359645507,0.4122445558275836,1.9728589489524988,70.0,70.0
-0.5,75.0,339.1521216485582,291.84583183989696,0.44931204136090586,1.9997110527567767,75.0,75.0
-0.5,80.0,334.23113999481444,289.8297270146404,0.48948391623297216,2.0291725229495077,80.0,80.0
-0.5,85.0,328.82235033871854,287.4595436281554,0.5339442255106994,2.062844963260724,85.0,85.0
-0.5,90.0,322.87966814432343,284.691369720889,0.5836697029097582,2.1008438243391345,90.0,90.0
-0.5,95.0,316.3550250852526,281.4629308379608,0.6394283672829216,2.143186936776001,95.0,95.0
-0.5,100.0,309.1983338344302,277.71031941419506,0.7017883735190391,2.1899362061733254,100.0,100.0
-0.5,105.0,301.3567412831266,273.3654877084822,0.7711447024091114,2.240684575675427,105.0,105.0
-0.5,110.0,292.7733521600288,268.3571620397755,0.8504336165809072,2.294405766362531,110.0,110.0
-0.5,115.0,283.3942005070783,262.61210092289105,0.9395385916959609,2.3493557376080574,115.0,115.0
-0.5,120.0,273.16123719345717,256.0559858564864,1.0414508746948785,2.402887694166841,120.0,120.0
-0.5,125.0,262.02016463325,248.61300111276316,1.1594057830984552,2.45111766885852,125.0,125.0
-0.5,130.0,249.9314890048096,240.20248930959434,1.299108201081136,2.488683218101817,130.0,130.0
-0.5,135.0,236.89864343273828,230.73231113621443,1.4691795376800934,2.507068849287773,135.0,135.0
-0.5,140.0,223.00736573964787,220.06808624675799,1.6829855239125975,2.4929554553358977,140.0,140.0
-0.5,145.0,208.4893618777123,207.98290032287292,1.9682644130145346,2.406699884002956,145.0,145.0
-0.45,60.0,353.20285642326985,302.50810634256567,0.3577512573836442,1.9370604294021863,60.0,60.0
-0.45,65.0,349.6769651900235,301.2563481800931,0.3889472896929965,1.958121163600749,65.0,65.0
-0.45,70.0,345.8065932342252,299.80070367486155,0.4222507384790632,1.9810929459226585,70.0,70.0
-0.45,75.0,341.5316737846612,298.0961512546113,0.46026724930286433,2.0067348343706466,75.0,75.0
-0.45,80.0,336.82685810783147,296.1070627021113,0.5011608629499927,2.035510780183021,80.0,80.0
-0.45,85.0,331.65075832275704,293.7801066352482,0.546128014932841,2.067792745221198,85.0,85.0
-0.45,90.0,325.95830204873283,291.06579862028275,0.5961747197684438,2.1044272457661974,90.0,90.0
-0.45,95.0,319.7018150339251,287.904670687926,0.6521129548836129,2.145312004993592,95.0,95.0
-0.45,100.0,312.8311746859359,284.2333110960635,0.7145648386524017,2.1904533775466972,100.0,100.0
-0.45,105.0,305.2912880403255,279.98436898217955,0.7851328175812179,2.2394688438506525,105.0,105.0
-0.45,110.0,297.0337729850063,275.087434022075,0.864980745732586,2.291396414603128,110.0,110.0
-0.45,115.0,287.99746529822283,269.47022475817363,0.9558876827608107,2.3445439710836617,115.0,115.0
-0.45,120.0,278.12901828845315,263.0595210307944,1.05993221835559,2.396279305068866,120.0,120.0
-0.45,125.0,267.37733192005544,255.78084172716393,1.1811131327359967,2.442708667668986,125.0,125.0
-0.45,130.0,255.71309956515813,247.5551905751564,1.326205444872266,2.4784409331782307,130.0,130.0
