xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
-0.5,0.0,180.9861099160881,0.0,peak,true,19.10001589404174,phi_u,0.0,0.0
-0.5,13.481993463323903,180.8425787352692,0.247531197029736,peak,true,19.150164262988316,phi_u,13.481993463323903,13.481993463323903
-0.5,26.963986926647806,180.4026201299994,0.4920111191834408,peak,true,19.30388803300227,phi_u,26.963986926647806,26.963986926647806
-0.5,40.44598038997171,179.67559916309168,0.7307139679691248,peak,true,19.571366320209144,phi_u,40.44598038997171,40.44598038997171
-0.5,53.92797385329561,178.64567967248277,0.9601139849541398,peak,true,19.97122833988945,phi_u,53.92797385329561,53.92797385329561
-0.5,67.40996731661951,177.32580385667342,1.1780209607325418,peak,true,20.53340782800538,phi_u,67.40996731661951,67.40996731661951
-0.5,80.89196077994342,175.70950061641312,1.3815452137887398,peak,true,21.30435300959016,phi_u,80.89196077994342,80.89196077994342
-0.5,94.37395424326733,173.7938759881394,1.5680796747775263,peak,true,22.35638959107708,phi_u,94.37395424326733,94.37395424326733
-0.5,107.85594770659122,171.5731420447271,1.7348363078881903,peak,true,23.805373229045788,phi_u,107.85594770659122,107.85594770659122
-0.5,121.33794116991513,169.04014451480055,1.8788157138316017,peak,true,25.846058563658445,phi_u,121.33794116991513,121.33794116991513
-0.5,134.81993463323903,166.20493163329797,2.0000524499527166,peak,true,28.82982992659089,phi_u,134.81993463323903,134.81993463323903
-0.5,148.30192809656293,163.05813833740638,2.096563743785602,peak,true,33.458521213210545,phi_u,148.30192809656293,148.30192809656293
-0.5,161.78392155988683,159.58392846506246,2.164736999603092,peak,true,41.36648052927695,phi_u,161.78392155988683,161.78392155988683
-0.5,175.26591502321074,155.7988213504547,2.2124318642917613,peak,true,57.44933485894404,phi_u,175.26591502321074,175.26591502321074
-0.5,188.74790848653467,151.65888564308088,2.232780025761536,peak,true,106.21535148391132,phi_u,188.74790848653467,188.74790848653467
-0.5,202.22990194985857,147.14173344409636,2.317266127430955,peak,true,1198.527401863538,phi_u,202.22990194985857,202.22990194985857
-0.25,0.0,191.81283763085037,0.0,peak,true,12.424787843657331,phi_u,0.0,0.0
-0.25,16.932465606360804,191.5839809684983,0.3069711655277033,peak,true,12.448371175762722,phi_u,16.932465606360804,16.932465606360804
-0.25,33.86493121272161,190.92597236963536,0.6089911852451856,peak,true,12.521059682780562,phi_u,33.86493121272161,33.86493121272161
-0.25,50.797396819082415,189.8110247078102,0.9005679294772115,peak,true,12.648915937346667,phi_u,50.797396819082415,50.797396819082415
-0.25,67.72986242544322,188.25303154624845,1.1771177423724424,peak,true,12.843060196438973,phi_u,67.72986242544322,67.72986242544322
-0.25,84.66232803180404,186.2380993217245,1.4334054628753257,peak,true,13.121419742473895,phi_u,84.66232803180404,84.66232803180404
-0.25,101.59479363816483,183.75156020927088,1.663914401099017,peak,true,13.511954745036553,phi_u,101.59479363816483,101.59479363816483
-0.25,118.52725924452565,180.80152238311314,1.8649434487821313,peak,true,14.058444397576382,phi_u,118.52725924452565,118.52725924452565
-0.25,135.45972485088643,177.37003819291286,2.031260330381679,peak,true,14.83121160364894,phi_u,135.45972485088643,135.45972485088643
-0.25,152.39219045724727,173.45382781329914,2.1591046340357756,peak,true,15.94848144248531,phi_u,152.39219045724727,152.39219045724727
-0.25,169.32465606360807,169.05289124427196,2.2458740486827593,peak,true,17.622460653453746,phi_u,169.32465606360807,169.32465606360807
-0.25,186.25712166996885,164.16722848583126,2.2902947932812783,peak,true,20.272340869390767,phi_u,186.25712166996885,186.25712166996885
-0.25,203.18958727632966,158.80339918871903,2.2952405303527836,peak,true,24.8582106616104,phi_u,203.18958727632966,203.18958727632966
-0.25,220.1220528826905,152.9450042260804,2.267195956338746,peak,true,34.20823582980078,phi_u,220.1220528826905,220.1220528826905
-0.25,237.0545184890513,146.50790795681993,2.2129263324100825,peak,true,62.30995952328162,phi_u,237.0545184890513,237.0545184890513
-0.25,253.98698409541208,139.29509493214945,2.042750542927048,peak,true,1723.1168633581399,phi_u,253.98698409541208,253.98698409541208
0.0,0.0,200.15640379304457,0.0,peak,true,9.717598737892876,phi_u,0.0,0.0
0.0,19.41369989632233,199.87771779823203,0.34897489697892614,peak,true,9.731190788722223,phi_u,19.41369989632233,19.41369989632233
