xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
-0.5,0.0,180.9861099160881,0.0,peak,true,19.100015894041764,phi_u,0.0,0.0
-0.5,13.481993596657052,180.8425787352692,0.24753119951039787,peak,true,19.150164263833723,phi_u,13.481993596657052,13.481993596657052
-0.5,26.963987193314104,180.4026201299994,0.4920111243008871,peak,true,19.30388803716991,phi_u,26.963987193314104,26.963987193314104
-0.5,40.44598078997115,179.67559916309168,0.730713976057707,peak,true,19.571366329879385,phi_u,40.44598078997115,40.44598078997115
-0.5,53.92797438662821,178.64567967248277,0.9601139965355584,peak,true,19.971228359032896,phi_u,53.92797438662821,53.92797438662821
-0.5,67.40996798328526,177.32580385667342,1.178020976571179,peak,true,20.53340786121553,phi_u,67.40996798328526,67.40996798328526
-0.5,80.8919615799423,175.70950061641312,1.381545234973289,peak,true,21.30435306311681,phi_u,80.8919615799423,80.8919615799423
-0.5,94.37395517659937,173.7938759881394,1.5680797027818334,peak,true,22.356389676034805,phi_u,94.37395517659937,94.37395517659937
-0.5,107.85594877325642,171.5731420447271,1.7348363448810213,peak,true,23.805373362788668,phi_u,107.85594877325642,107.85594877325642
-0.5,121.33794236991346,169.04014451480055,1.878815763023848,peak,true,25.846058783814367,phi_u,121.33794236991346,121.33794236991346
-0.5,134.8199359665705,166.20493163329797,2.0000525164124987,peak,true,28.829830288240117,phi_u,134.8199359665705,134.8199359665705
-0.5,148.30192956322756,163.05813833740638,2.0965638363562484,peak,true,33.45852183614411,phi_u,148.30192956322756,148.30192956322756
-0.5,161.7839231598846,159.58392846506246,2.164737135788313,peak,true,41.36648184796508,phi_u,161.7839231598846,161.7839231598846
-0.5,175.26591675654169,155.7988213504547,2.212432087261725,peak,true,57.44933770213729,phi_u,175.26591675654169,175.26591675654169
-0.5,188.74791035319873,151.65888564308088,2.2327805094544866,peak,true,106.21536292847475,phi_u,188.74791035319873,188.74791035319873
-0.5,202.22990394985575,147.14173344409636,2.3172724124188155,peak,true,1198.3433971282404,phi_u,202.22990394985575,202.22990394985575
-0.45,0.0,183.4361882249483,0.0,peak,true,17.059236568320426,phi_u,0.0,0.0
-0.45,14.303502149096701,183.2775040541912,0.26184675859805945,peak,true,17.10107978512426,phi_u,14.303502149096701,14.303502149096701
-0.45,28.607004298193402,182.78850934341918,0.5202222412457546,peak,true,17.229444235362667,phi_u,28.607004298193402,28.607004298193402
-0.45,42.910506447290096,181.9698872647574,0.7715739115784017,peak,true,17.453215835307635,phi_u,42.910506447290096,42.910506447290096
-0.45,57.214008596386805,180.83321367245622,1.0131270327880468,peak,true,17.788671140764446,phi_u,57.214008596386805,57.214008596386805
-0.45,71.51751074548349,179.35465368588973,1.2405034925820118,peak,true,18.261881725008745,phi_u,71.51751074548349,71.51751074548349
-0.45,85.82101289458019,177.55225425855866,1.4517822356229173,peak,true,18.913408293832823,phi_u,85.82101289458019,85.82101289458019
-0.45,100.1245150436769,175.4072852648371,1.6427747868770957,peak,true,19.806368721861446,phi_u,100.1245150436769,100.1245150436769
-0.45,114.42801719277361,172.92332384041276,1.811187651773976,peak,true,21.04187135386162,phi_u,114.42801719277361,114.42801719277361
-0.45,128.7315193418703,170.08811095891022,1.953268702280032,peak,true,22.789781544261118,phi_u,128.7315193418703,128.7315193418703
-0.45,143.03502149096698,166.9167996102675,2.0695427113271903,peak,true,25.35592601585737,phi_u,143.03502149096698,143.03502149096698
-0.45,157.3385236400637,163.38776570529615,2.1558106842460854,peak,true,29.350497733276534,phi_u,157.3385236400637,157.3385236400637
-0.45,171.64202578916039,159.50458637968393,2.2129810577924554,peak,true,36.1906070917889,phi_u,171.64202578916039,171.64202578916039
-0.45,185.9455279382571,155.25789657061782,2.242532236594249,peak,true,50.11227056749432,phi_u,185.9455279382571,185.9455279382571
-0.45,200.2490300873538,150.62317822534678,2.2484959378875398,peak,true,92.26936964625685,phi_u,200.2490300873538,200.2490300873538
-0.45,214.5525322364505,145.53768923021167,2.2804342833231117,peak,true,3560.793905903917,phi_u,214.5525322364505,214.5525322364505
-0.4,0.0,185.72454765829102,0.0,peak,true,15.498899340635878,phi_u,0.0,0.0
-0.4,15.048266812729814,185.5452951424829,0.2747094644704812,peak,true,15.534496330744904,phi_u,15.048266812729814,15.048266812729814
-0.4,30.096533625459628,185.01371138399224,0.5456394328234989,peak,true,15.643816083368641,phi_u,30.096533625459628,30.096533625459628
-0.4,45.14480043818944,184.11436191048512,0.8085640190254973,peak,true,15.834786920586545,phi_u,45.14480043818944,45.14480043818944
