T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,iterations,residual_norm,converged,message
50.000000,0.000000,0.000000,44.887474,44.887474,44.887474,44.887474,21.608012,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000007,0.000042,21,0.000015,true,"force-marked converged (residual 0.000015)"
50.000000,0.005000,0.000000,313.395777,313.395777,313.395777,313.395777,21.608214,0.004943,-21.603149,-1.840760,-1.840760,-2.226652,0.001337,0.010329,15,0.000000,true,"seed[continuation] failed (iterations=25, residual=0.005000, converged=false)"
50.000000,0.010000,0.000000,324.738687,324.738687,324.738687,324.738687,21.608412,0.008780,-21.598288,-1.838224,-1.838224,-2.226295,0.002119,0.013007,5,0.000000,true,
50.000000,0.015000,0.000000,331.286899,331.286899,331.286899,331.286899,21.608609,0.012202,-21.593429,-1.835685,-1.835685,-2.225937,0.002774,0.014881,4,0.000000,true,
50.000000,0.020000,0.000000,335.872065,335.872065,335.872065,335.872065,21.608803,0.015357,-21.588571,-1.833144,-1.833144,-2.225580,0.003357,0.016369,4,0.000000,true,
50.000000,0.025000,0.000000,339.381591,339.381591,339.381591,339.381591,21.608994,0.018313,-21.583715,-1.830602,-1.830602,-2.225222,0.003891,0.017623,3,0.000000,true,
50.000000,0.030000,0.000000,342.210754,342.210754,342.210754,342.210754,21.609183,0.021111,-21.578860,-1.828057,-1.828057,-2.224864,0.004389,0.018717,3,0.000000,true,
50.000000,0.035000,0.000000,344.570404,344.570404,344.570404,344.570404,21.609369,0.023779,-21.574007,-1.825510,-1.825510,-2.224507,0.004858,0.019693,3,0.000000,true,
50.000000,0.040000,0.000000,346.586402,346.586402,346.586402,346.586402,21.609552,0.026336,-21.569156,-1.822961,-1.822961,-2.224149,0.005305,0.020578,3,0.000000,true,
50.000000,0.045000,0.000000,348.339927,348.339927,348.339927,348.339927,21.609733,0.028797,-21.564306,-1.820410,-1.820410,-2.223790,0.005732,0.021390,3,0.000000,true,
50.000000,0.050000,0.000000,349.886411,349.886411,349.886411,349.886411,21.609912,0.031172,-21.559458,-1.817856,-1.817856,-2.223432,0.006142,0.022142,3,0.000000,true,
50.000000,0.055000,0.000000,351.265387,351.265387,351.265387,351.265387,21.610088,0.033471,-21.554612,-1.815301,-1.815301,-2.223074,0.006538,0.022845,3,0.000000,true,
50.000000,0.060000,0.000000,352.506046,352.506046,352.506046,352.506046,21.610261,0.035700,-21.549767,-1.812743,-1.812743,-2.222715,0.006920,0.023504,3,0.000000,true,
50.000000,0.065000,0.000000,353.630556,353.630556,353.630556,353.630556,21.610432,0.037867,-21.544923,-1.810183,-1.810183,-2.222357,0.007292,0.024126,3,0.000000,true,
50.000000,0.070000,0.000000,354.656146,354.656146,354.656146,354.656146,21.610600,0.039975,-21.540082,-1.807621,-1.807621,-2.221998,0.007652,0.024716,3,0.000000,true,
50.000000,0.075000,0.000000,355.596474,355.596474,355.596474,355.596474,21.610766,0.042030,-21.535242,-1.805057,-1.805057,-2.221639,0.008004,0.025277,3,0.000000,true,
50.000000,0.080000,0.000000,356.462552,356.462552,356.462552,356.462552,21.610929,0.044035,-21.530404,-1.802491,-1.802491,-2.221280,0.008346,0.025812,3,0.000000,true,
50.000000,0.085000,0.000000,357.263383,357.263383,357.263383,357.263383,21.611090,0.045993,-21.525567,-1.799922,-1.799922,-2.220921,0.008681,0.026324,3,0.000000,true,
50.000000,0.090000,0.000000,358.006427,358.006427,358.006427,358.006427,21.611248,0.047908,-21.520732,-1.797351,-1.797351,-2.220562,0.009008,0.026816,3,0.000000,true,
50.000000,0.095000,0.000000,358.697932,358.697932,358.697932,358.697932,21.611404,0.049782,-21.515898,-1.794778,-1.794778,-2.220202,0.009328,0.027288,3,0.000000,true,
50.000000,0.100000,0.000000,359.343183,359.343183,359.343183,359.343183,21.611557,0.051618,-21.511067,-1.792203,-1.792203,-2.219843,0.009642,0.027743,3,0.000000,true,
50.000000,0.105000,0.000000,359.946690,359.946690,359.946690,359.946690,21.611707,0.053416,-21.506237,-1.789625,-1.789625,-2.219483,0.009950,0.028182,3,0.000000,true,
50.000000,0.110000,0.000000,360.512335,360.512335,360.512335,360.512335,21.611855,0.055181,-21.501408,-1.787046,-1.787046,-2.219124,0.010252,0.028607,3,0.000000,true,
50.000000,0.115000,0.000000,361.043480,361.043480,361.043480,361.043480,21.612000,0.056912,-21.496582,-1.784464,-1.784464,-2.218764,0.010548,0.029018,3,0.000000,true,
50.000000,0.120000,0.000000,361.543057,361.543057,361.543057,361.543057,21.612143,0.058612,-21.491757,-1.781879,-1.781879,-2.218404,0.010840,0.029416,3,0.000000,true,
50.000000,0.125000,0.000000,362.013641,362.013641,362.013641,362.013641,21.612283,0.060282,-21.486933,-1.779293,-1.779293,-2.218044,0.011127,0.029802,3,0.000000,true,
50.000000,0.130000,0.000000,362.457502,362.457502,362.457502,362.457502,21.612421,0.061923,-21.482112,-1.776704,-1.776704,-2.217683,0.011409,0.030178,3,0.000000,true,
50.000000,0.135000,0.000000,362.876653,362.876653,362.876653,362.876653,21.612556,0.063537,-21.477292,-1.774112,-1.774112,-2.217323,0.011686,0.030543,3,0.000000,true,
50.000000,0.140000,0.000000,363.272889,363.272889,363.272889,363.272889,21.612688,0.065125,-21.472473,-1.771519,-1.771519,-2.216963,0.011960,0.030898,3,0.000000,true,
50.000000,0.145000,0.000000,363.647814,363.647814,363.647814,363.647814,21.612818,0.066687,-21.467657,-1.768923,-1.768923,-2.216602,0.012229,0.031244,3,0.000000,true,
50.000000,0.150000,0.000000,364.002870,364.002870,364.002870,364.002870,21.612946,0.068225,-21.462842,-1.766325,-1.766325,-2.216241,0.012495,0.031581,3,0.000000,true,
50.000000,0.160000,0.000000,364.658455,364.658455,364.658455,364.658455,21.613193,0.071231,-21.453218,-1.761121,-1.761121,-2.215519,0.013015,0.032231,3,0.000000,true,
50.000000,0.170000,0.000000,365.248654,365.248654,365.248654,365.248654,21.613429,0.074150,-21.443601,-1.755908,-1.755908,-2.214797,0.013521,0.032852,3,0.000000,true,
50.000000,0.180000,0.000000,365.780937,365.780937,365.780937,365.780937,21.613656,0.076987,-21.433991,-1.750685,-1.750685,-2.214074,0.014014,0.033446,3,0.000000,true,
50.000000,0.190000,0.000000,366.261572,366.261572,366.261572,366.261572,21.613872,0.079748,-21.424388,-1.745453,-1.745453,-2.213351,0.014496,0.034016,3,0.000000,true,
50.000000,0.200000,0.000000,366.695868,366.695868,366.695868,366.695868,21.614078,0.082435,-21.414792,-1.740210,-1.740210,-2.212627,0.014966,0.034563,3,0.000000,true,
50.000000,0.210000,0.000000,367.088369,367.088369,367.088369,367.088369,21.614274,0.085054,-21.405203,-1.734958,-1.734958,-2.211903,0.015426,0.035089,3,0.000000,true,
50.000000,0.220000,0.000000,367.442994,367.442994,367.442994,367.442994,21.614459,0.087608,-21.395622,-1.729695,-1.729695,-2.211178,0.015876,0.035597,3,0.000000,true,
