T_MeV,mu_MeV,xi,pressure_fm4,rho,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,iterations,residual_norm,converged,message
50.000000,0.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000020,0.000020,2,0.000000,true,
50.000000,10.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000016,0.000024,1,0.000000,true,
50.000000,20.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000013,0.000029,1,0.000000,true,
50.000000,30.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000011,0.000036,1,0.000000,true,
50.000000,40.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000009,0.000043,1,0.000000,true,
50.000000,50.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000007,0.000053,1,0.000000,true,
50.000000,60.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000006,0.000065,1,0.000000,true,
50.000000,70.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000005,0.000079,2,0.000000,true,
50.000000,80.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000004,0.000097,2,0.000000,true,
50.000000,90.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000003,0.000118,2,0.000000,true,
50.000000,100.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000003,0.000144,2,0.000000,true,
50.000000,110.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000003,0.000176,2,0.000000,true,
50.000000,120.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000002,0.000215,2,0.000000,true,
50.000000,130.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000002,0.000263,2,0.000000,true,
50.000000,140.000000,0.000000,21.608012,0.000000,0.000000,-21.608012,-1.843294,-1.843294,-2.227009,0.000002,0.000321,2,0.000000,true,
50.000000,150.000000,0.000000,21.608012,0.000000,0.000001,-21.608012,-1.843294,-1.843294,-2.227009,0.000003,0.000392,2,0.000000,true,
50.000000,160.000000,0.000000,21.608012,0.000000,0.000001,-21.608012,-1.843294,-1.843294,-2.227009,0.000004,0.000479,2,0.000000,true,
50.000000,170.000000,0.000000,21.608012,0.000001,0.000002,-21.608011,-1.843294,-1.843294,-2.227009,0.000005,0.000585,2,0.000000,true,
50.000000,180.000000,0.000000,21.608012,0.000002,0.000004,-21.608011,-1.843294,-1.843294,-2.227009,0.000007,0.000714,2,0.000000,true,
50.000000,190.000000,0.000000,21.608012,0.000003,0.000007,-21.608009,-1.843293,-1.843293,-2.227009,0.000010,0.000872,2,0.000000,true,
50.000000,200.000000,0.000000,21.608012,0.000005,0.000011,-21.608007,-1.843292,-1.843292,-2.227009,0.000015,0.001065,2,0.000000,true,
50.000000,210.000000,0.000000,21.608013,0.000010,0.000020,-21.608002,-1.843290,-1.843290,-2.227008,0.000022,0.001301,2,0.000000,true,
50.000000,220.000000,0.000000,21.608013,0.000018,0.000034,-21.607994,-1.843285,-1.843285,-2.227008,0.000032,0.001590,2,0.000000,true,
50.000000,230.000000,0.000000,21.608013,0.000033,0.000059,-21.607980,-1.843278,-1.843278,-2.227007,0.000047,0.001941,2,0.000000,true,
50.000000,240.000000,0.000000,21.608015,0.000060,0.000102,-21.607953,-1.843264,-1.843264,-2.227005,0.000071,0.002371,2,0.000000,true,
50.000000,250.000000,0.000000,21.608017,0.000110,0.000176,-21.607905,-1.843239,-1.843239,-2.227001,0.000105,0.002896,2,0.000000,true,
50.000000,260.000000,0.000000,21.608020,0.000201,0.000302,-21.607817,-1.843193,-1.843193,-2.226995,0.000157,0.003538,2,0.000000,true,
50.000000,270.000000,0.000000,21.608027,0.000366,0.000514,-21.607656,-1.843109,-1.843109,-2.226983,0.000234,0.004322,2,0.000000,true,
50.000000,280.000000,0.000000,21.608039,0.000667,0.000874,-21.607364,-1.842957,-1.842957,-2.226962,0.000349,0.005280,2,0.000000,true,
50.000000,290.000000,0.000000,21.608061,0.001217,0.001478,-21.606829,-1.842678,-1.842678,-2.226922,0.000521,0.006451,2,0.000000,true,
50.000000,300.000000,0.000000,21.608102,0.002223,0.002485,-21.605850,-1.842168,-1.842168,-2.226850,0.000779,0.007886,2,0.000000,true,
50.000000,310.000000,0.000000,21.608176,0.004069,0.004156,-21.604055,-1.841232,-1.841232,-2.226719,0.001165,0.009644,2,0.000000,true,
50.000000,320.000000,0.000000,21.608312,0.007478,0.006912,-21.600740,-1.839504,-1.839504,-2.226475,0.001747,0.011809,2,0.000000,true,
50.000000,330.000000,0.000000,21.608564,0.013845,0.011439,-21.594551,-1.836272,-1.836272,-2.226020,0.002630,0.014490,3,0.000000,true,
50.000000,340.000000,0.000000,21.609032,0.026011,0.018890,-21.582733,-1.830087,-1.830087,-2.225150,0.003994,0.017856,3,0.000000,true,
50.000000,350.000000,0.000000,21.609926,0.050392,0.031355,-21.559079,-1.817656,-1.817656,-2.223404,0.006174,0.022199,3,0.000000,true,
50.000000,360.000000,0.000000,21.611721,0.105458,0.053579,-21.505795,-1.789389,-1.789389,-2.219450,0.009978,0.028222,3,0.000000,true,
50.000000,370.000000,0.000000,21.702738,2.966516,0.338092,-18.947120,-0.156254,-0.156254,-2.070104,0.060391,0.072801,4,0.000000,true,"seed[continuation] failed (iterations=9, residual=0.000239, converged=false)"
50.000000,380.000000,0.000000,21.777533,3.176192,0.332080,-18.757463,-0.129600,-0.129600,-2.068792,0.060416,0.074862,3,0.000000,true,
50.000000,390.000000,0.000000,21.857031,3.357909,0.343562,-18.584399,-0.112645,-0.112645,-2.067242,0.061549,0.079309,3,0.000000,true,
50.000000,400.000000,0.000000,21.940927,3.543527,0.382143,-18.396231,-0.099461,-0.099461,-2.064965,0.065094,0.086337,3,0.000000,true,
60.000000,0.000000,0.000000,21.608012,0.000000,0.000002,-21.608012,-1.843294,-1.843294,-2.227009,0.000097,0.000097,2,0.000000,true,
60.000000,10.000000,0.000000,21.608012,0.000000,0.000002,-21.608012,-1.843294,-1.843294,-2.227009,0.000082,0.000114,2,0.000000,true,
60.000000,20.000000,0.000000,21.608012,0.000000,0.000002,-21.608012,-1.843294,-1.843294,-2.227009,0.000070,0.000135,2,0.000000,true,
60.000000,30.000000,0.000000,21.608012,0.000000,0.000002,-21.608012,-1.843294,-1.843294,-2.227009,0.000059,0.000160,2,0.000000,true,
