T_MeV,meson,q,window_type,omega,window_center,omega_thr,mass_ref,gamma_ref,threshold_ref,delta,F_current,F_gbu,integrand_current,integrand_gbu
208.0,pi,0.0,pole_window,0.45,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.3136949956643586e-6,-1.3136949956643586e-6,-1.511530294375299e-18,-1.0719649824423427e-6,-1.2333970600623843e-18
208.0,pi,0.0,pole_window,0.47,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.4183015408708148e-6,-1.4183015408708148e-6,-1.9020124830595314e-18,-1.059464727704106e-6,-1.4207945767422828e-18
208.0,pi,0.0,pole_window,0.49,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.5327048020769875e-6,-1.5327048020769875e-6,-2.400491372518687e-18,-1.0518571511503396e-6,-1.6473974721269554e-18
208.0,pi,0.0,pole_window,0.51,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.6586475253883894e-6,-1.6586475253883894e-6,-3.0421188300638197e-18,-1.0491924151199595e-6,-1.924319636053585e-18
208.0,pi,0.0,pole_window,0.53,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.7983010184461273e-6,-1.7983010184461273e-6,-3.877081557819746e-18,-1.0516646312720076e-6,-2.2673565243482916e-18
208.0,pi,0.0,pole_window,0.55,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.954409230656917e-6,-1.954409230656917e-6,-4.976742081592642e-18,-1.059634865597585e-6,-2.6982728816572997e-18
208.0,pi,0.0,pole_window,0.57,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-2.130495861730001e-6,-2.130495861730001e-6,-6.44676776155248e-18,-1.0736701680230738e-6,-3.2488691248295787e-18
208.0,pi,0.0,pole_window,0.59,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-2.3311696564880467e-6,-2.3311696564880467e-6,-8.445765517072629e-18,-1.0946061126243884e-6,-3.9657287641206825e-18
208.0,pi,0.0,pole_window,0.61,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-2.562587698335196e-6,-2.562587698335196e-6,-1.1218951386383208e-17,-1.1236460546252839e-6,-4.919297189529169e-18
208.0,pi,0.0,pole_window,0.63,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-2.8331827545273417e-6,-2.8331827545273417e-6,-1.5161042722904722e-17,-1.1625209312882986e-6,-6.220929263164761e-18
208.0,pi,0.0,pole_window,0.65,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-3.1548521219785208e-6,-3.1548521219785208e-6,-2.093357225844278e-17,-1.2137543844220416e-6,-8.053694476927223e-18
208.0,pi,0.0,pole_window,0.67,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-3.544997769091088e-6,-3.544997769091088e-6,-2.969993974605116e-17,-1.2811221382506611e-6,-1.0733222639836078e-17
208.0,pi,0.0,pole_window,0.69,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-4.030244674822613e-6,-4.030244674822613e-6,-4.3641678541383316e-17,-1.3704952172830648e-6,-1.484046665673054e-17
208.0,pi,0.0,pole_window,0.71,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-4.653758303731262e-6,-4.653758303731262e-6,-6.719258260684188e-17,-1.4915095157920367e-6,-2.1534933661766383e-17
208.0,pi,0.0,pole_window,0.73,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-5.491189047039909e-6,-5.491189047039909e-6,-1.1038448665323317e-16,-1.6612259583295399e-6,-3.339414706985571e-17
208.0,pi,0.0,pole_window,0.75,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-6.690781165571101e-6,-6.690781165571101e-6,-1.9968208808457052e-16,-1.9134011004162595e-6,-5.710423306630765e-17
208.0,pi,0.0,pole_window,0.77,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-8.59961380597712e-6,-8.59961380597712e-6,-4.2398064768224553e-16,-2.3279170124542143e-6,-1.1477163800133118e-16
208.0,pi,0.0,pole_window,0.79,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,-1.2377343098885955e-5,-1.2377343098885955e-5,-1.2641272170753684e-15,-3.175675672614661e-6,-3.2433923971273354e-16
208.0,pi,0.0,pole_window,0.81,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.33524620637125874,0.33524620637125874,0.024560268615372416,0.08162520520105863,0.0059798945593520164
208.0,pi,0.0,pole_window,0.83,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,1.0208587618603868,1.0208587618603868,0.5752834056071916,0.23614686162279191,0.1330755789667102
208.0,pi,0.0,pole_window,0.85,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,1.6238411666373798,1.6238411666373798,1.676786559003777,0.3572690369008892,0.3689178050979985
208.0,pi,0.0,pole_window,0.87,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,1.9831534388468628,1.9831534388468628,2.350330357361793,0.41543132882150885,0.4923476138568914
208.0,pi,0.0,pole_window,0.89,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.1812847032977607,2.1812847032977607,2.6510019859523384,0.4354921475957426,0.5292709137865194
208.0,pi,0.0,pole_window,0.91,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.299447822230338,2.299447822230338,2.7962310929508294,0.43795568029876525,0.5325736373517802
208.0,pi,0.0,pole_window,0.93,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.375923194577595,2.375923194577595,2.875534023296118,0.43208797008745103,0.5229477374853931
208.0,pi,0.0,pole_window,0.95,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.428548327091611,2.428548327091611,2.923322378349607,0.42208160611530005,0.5080733172496822
208.0,pi,0.0,pole_window,0.97,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.4663795418356416,2.4663795418356416,2.954287849332759,0.40999589350046806,0.4911027949669385
208.0,pi,0.0,pole_window,0.99,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.4944274152379435,2.4944274152379435,2.9754404735775553,0.39692160294944134,0.47346200376024605
208.0,pi,0.0,pole_window,1.01,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.515671065725906,2.515671065725906,2.990453166506188,0.3834701849956816,0.45584243687683823
208.0,pi,0.0,pole_window,1.03,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.5319885587766264,2.5319885587766264,3.0014020386216904,0.36999778364966934,0.43859285946702203
208.0,pi,0.0,pole_window,1.05,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.5446216981034144,2.5446216981034144,3.0095350984969658,0.35671628699419644,0.42188989692051326
208.0,pi,0.0,pole_window,1.07,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.55442449379355,2.55442449379355,3.01564137284167,0.3437522021477028,0.4058187530384004
208.0,pi,0.0,pole_window,1.09,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.562003836926259,2.562003836926259,3.020241034565082,0.3311796552756607,0.3904140853577722
208.0,pi,0.0,pole_window,1.11,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.5678031140030906,2.5678031140030906,3.0236892893455956,0.319039757939347,0.37568187907238976
208.0,pi,0.0,pole_window,1.13,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.5721540092869435,2.5721540092869435,3.0262360520114804,0.30735241128007457,0.36161168589833825
208.0,pi,0.0,pole_window,1.15,0.8453988732731724,0.8042267073873247,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.5753097621441183,2.5753097621441183,3.028061725960547,0.2961237289597278,0.34818371870928627
