sqrt_s_NN_GeV,background_p,channel,q_inv_fm,route,bound,unitary,landau,shell_inv_fm2,gap_count,contour_count,contour_passed,static_passed,root_nodes_stable,levinson_residual,threshold_phase_over_pi,threshold_offset,threshold_phase_at_1e7_over_pi,threshold_limit_change,threshold_limit_passed,upper_phase,branch_passed,reference_boundary_passed,failed_gates,passed,status,production_authorized
200.0,48,pi_plus,0.019251120011914757,direct_finite_q,0.6719727351870594,-0.0020238375023004717,1.5818940663514896e-12,1.2578357634865167e-5,1,1,true,true,true,-4.9969527404769565e-9,0.9999999950030473,1.0e-10,0.9999950032407343,4.497254858430166e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.1010857761147621,direct_finite_q,0.4099024859136544,-0.002075154104377299,4.6223983499834025e-10,0.00021111869231292435,1,1,true,true,true,-5.145296522179876e-9,0.9999999948547035,1.0e-10,0.9999948549081382,4.630764012788059e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.2469017919890688,direct_finite_q,0.23099788240746516,-0.002164650247015655,5.403024400302175e-9,0.0007067044858970588,1,1,true,true,true,-5.4398238136244e-9,0.9999999945601762,1.0e-10,0.9999945604036866,4.8958383240751394e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.4543378919823957,direct_finite_q,0.12977530698090387,-0.002286190319553414,2.134530419515943e-8,0.0013332185910265228,1,1,true,true,true,-5.937033420444493e-9,0.9999999940629666,1.0e-10,0.9999940632354531,5.3433263236256634e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.7199920561043887,direct_finite_q,0.07331868046779812,-0.00242885087469632,5.018407637817318e-8,0.0018617008981995065,1,1,true,true,true,-6.744312663897745e-9,0.9999999932556873,1.0e-10,0.9999932560302893,6.069876530186961e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.0395032336857826,direct_finite_q,0.04166923774524174,-0.00257586140439068,8.59659405806113e-8,0.0021400606602908494,1,1,true,true,true,-8.069013346378995e-9,0.9999999919309867,1.0e-10,0.9999919314694593,7.26210516253419e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.4076253922520978,direct_finite_q,0.023896213021456093,-0.0027044359832630676,1.1776183460311305e-7,0.002127228942902774,1,1,true,true,true,-1.034293783952478e-8,0.9999999896570622,1.0e-10,0.9999896578375059,9.308632860284911e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.8183141144446417,direct_finite_q,0.013923018350633117,-0.0027860968686065062,1.3631839865657468e-7,0.0018654282626656196,1,1,true,true,true,-1.4586156837914643e-8,0.9999999854138432,1.0e-10,0.9999854153367761,1.312751932508511e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,2.2648259694958197,direct_finite_q,0.008317610115169261,-0.0027868978587477734,1.3901792864490226e-7,0.001437248657680041,1,1,true,true,true,-2.3729079479117843e-8,0.9999999762709205,1.0e-10,0.9999762747022184,2.1356115428362638e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,2.7398292812153464,direct_finite_q,0.005137144288953699,-0.0026691532927814606,1.2945130243420266e-7,0.0009386066233091395,1,1,true,true,true,-4.971642153517308e-8,0.9999999502835785,1.0e-10,0.999950299190221,4.4744541701222634e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,3.2355245301055344,direct_finite_q,0.003287702201885976,-0.002401981029864123,1.1338050099433406e-7,0.00046979919544751377,1,1,true,true,true,-2.2662143905893828e-7,0.9999997733785609,1.0e-10,0.9997736765424527,2.039545909078742e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,3.7437724285495775,direct_finite_q,0.0,0.00020250444379551135,9.534263062057573e-8,0.00014385604801020807,0,0,true,true,true,2.1670623199739577e-7,2.1670623199739577e-7,1.0e-10,0.00021695005103663189,1.950396503847563e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,4.256227571450422,direct_finite_q,0.0,3.302294480552363e-5,7.784926288977831e-8,3.0377942290776813e-5,0,0,true,true,true,1.2208603033613198e-7,1.2208603033613198e-7,1.0e-10,0.000122152278135657,1.0987861217871578e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,4.764475469894466,direct_finite_q,0.0,3.7256746120019757e-6,6.209166012657513e-8,4.355957383109905e-6,0,0,true,true,true,1.229450358738404e-7,1.229450358738404e-7,1.0e-10,0.00012299832214677625,1.1065161466355278e-6,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,5.260170718784654,direct_finite_q,0.0,2.3582717034859545e-7,4.8607509493758176e-8,3.987057368375526e-7,0,0,true,true,true,1.6637782688055837e-7,1.6637782688055837e-7,1.0e-10,0.00016643842828058996,1.497417424542871e-6,true,0.0,true,true,,true,conditional_window,false
