sqrt_s_NN_GeV,direct_Kplus_over_pi_plus,reference_Kplus_over_pi_plus,direct_Kminus_over_pi_minus,reference_Kminus_over_pi_minus,direct_plus_passed,direct_minus_passed,reference_plus_passed,reference_minus_passed,production_authorized
3.0,0.50588447524541,0.27312738442199624,0.011258175481767004,0.006033893576758693,true,true,true,true,false
5.0,0.5364495618598165,0.3726560490163364,0.08219535144864572,0.05619748316558572,true,true,true,true,false
7.7,0.5438791518986169,0.4154218151930912,0.14099818009895715,0.10565558094793283,true,true,true,true,false
11.5,0.5224628230600048,0.416537427736737,0.18465157880491373,0.1444813064874335,true,true,true,true,false
19.6,0.47372288278833774,0.38749374698491484,0.23285381706918717,0.18758197945766275,true,true,true,true,false
27.0,0.4450839604336082,0.3665644271163614,0.2570978648850302,0.20909649431767025,true,true,true,true,false
39.0,0.4177727960288489,0.34540753368579913,0.28018257059854434,0.22943991027056984,true,true,true,true,false
62.4,0.39228765296188506,0.3249241702867271,0.3024474520212028,0.24890200533785806,true,true,true,true,false
130.0,0.36872923126930385,0.3054899049306072,0.3240665961316083,0.26761355573257023,true,true,true,true,false
200.0,0.3608831216964137,0.2989258672193647,0.33154026853725665,0.27403136460268496,true,true,true,true,false
