sqrt_s_NN_GeV,T_MeV,muB_MeV,background_p,channel,route,density_inv_fm3,passed,failed_shells,provenance,production_authorized
200.0,165.9230564285382,23.52517985611511,48,pi_plus,q0_lambda_reference,0.05612723474318783,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,pi_minus,q0_lambda_reference,0.056818899971709275,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,K_plus,q0_lambda_reference,0.01677788232023228,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,K_minus,q0_lambda_reference,0.01557016069447095,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,pi_plus,q0_lambda_reference,0.029788090445641593,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,pi_minus,q0_lambda_reference,0.03448036820581938,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,K_plus,q0_lambda_reference,0.012374622604064406,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,K_minus,q0_lambda_reference,0.0036430433340844787,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,pi_plus,q0_lambda_reference,0.003999599203567834,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,pi_minus,q0_lambda_reference,0.004480004211263304,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,K_plus,q0_lambda_reference,0.001092400069206782,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,K_minus,q0_lambda_reference,2.7031868634193544e-5,true,0,retained_hash_bound,false
130.0,165.8213120441032,35.84543710605646,48,pi_plus,q0_lambda_reference,0.055839975113642755,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,pi_minus,q0_lambda_reference,0.05688980663495891,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,K_plus,q0_lambda_reference,0.017058548688794195,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,K_minus,q0_lambda_reference,0.01522448343851972,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,pi_plus,q0_lambda_reference,0.05473744727346277,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,pi_minus,q0_lambda_reference,0.0568173784467971,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,K_plus,q0_lambda_reference,0.017785519638943363,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,K_minus,q0_lambda_reference,0.014141959433447794,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,pi_plus,q0_lambda_reference,0.05314401773489769,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,pi_minus,q0_lambda_reference,0.05624182686125345,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,K_plus,q0_lambda_reference,0.01835634409596538,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,K_minus,q0_lambda_reference,0.012904119708498916,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,pi_plus,q0_lambda_reference,0.05093523115360378,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,pi_minus,q0_lambda_reference,0.054983966853906184,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,K_plus,q0_lambda_reference,0.018671043827860213,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,K_minus,q0_lambda_reference,0.011496954712830763,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,pi_plus,q0_lambda_reference,0.04791458030667929,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,pi_minus,q0_lambda_reference,0.05276474279813569,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,K_plus,q0_lambda_reference,0.01856660025824477,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,K_minus,q0_lambda_reference,0.009897714899648748,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,pi_plus,q0_lambda_reference,0.03951653692591928,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,pi_minus,q0_lambda_reference,0.04498412916528869,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,K_plus,q0_lambda_reference,0.0164601166441862,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,K_minus,q0_lambda_reference,0.00649936575300037,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,pi_plus,q0_lambda_reference,0.016966904405924084,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,pi_minus,q0_lambda_reference,0.019595942622874965,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,K_plus,q0_lambda_reference,0.006322819559949539,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,K_minus,q0_lambda_reference,0.0011012426556627996,true,0,new_solve,false
