sqrt_s_NN_GeV,T_MeV,muB_MeV,rho_u_fm3,rho_d_fm3,rho_s_fm3,rho_B_fm3,rho_Q_fm3,rho_S_fm3,rho0_fm3,rho_norm,rho_norm_p96,rho_norm_p192,relative_p48_p192_change,absolute_p96_p192_change,distribution_oracle_error_fm3,bqs_residual_fm3,coverage,passed,solver_called,production_authorized
3.0,79.95694382094246,719.0764156129742,0.0006503822382800901,0.0007432939866058184,-8.25348017225521e-18,0.0004645587416286334,0.0001858234966514567,8.25348017225521e-18,0.16,0.002903492135178959,0.0029034921351789576,0.002903492135178959,0.0,1.3010426069826053e-18,7.589415207398531e-19,8.25348017225521e-18,temperature_outside;density_outside,true,false,false
5.0,118.52360804114599,553.0655391120507,0.0032504272479630153,0.0037147739976720016,1.8402983498393226e-18,0.0023217337485450062,0.0009286934994180091,-1.8402983498393226e-18,0.16,0.014510835928406289,0.014510835928406294,0.014510835928406327,2.6300288046659183e-15,3.2959746043559335e-17,5.637851296924623e-18,6.5052130349130266e-18,temperature_outside;density_outside,true,false,false
7.7,139.61211954370506,421.6498501015441,0.0071441811218946796,0.00816477842502249,9.104317994829039e-20,0.005102986515639057,0.002041194606255623,-9.104317994829039e-20,0.16,0.0318936657227441,0.03189366572274411,0.03189366572274405,1.740507087326486e-15,6.245004513516506e-17,2.2551405187698492e-17,9.104317994829039e-20,density_outside,true,false,false
11.5,151.59341394309754,315.9801908443049,0.010511304645852315,0.012012919595259382,-1.6406230410198755e-15,0.007508074747036685,0.0030032298988156296,1.6406230410198755e-15,0.16,0.04692546716897928,0.046925467168979336,0.04692546716897924,8.872232059730182e-16,9.71445146547012e-17,6.765421556309548e-17,1.6406230410198755e-15,density_outside,true,false,false
19.6,160.00841768054002,205.95830446557915,0.011869303101512444,0.013564917830299951,-4.220730771430085e-18,0.008478073643937463,0.00339122945757498,4.220730771430085e-18,0.16,0.05298796027460914,0.05298796027460921,0.05298796027460929,2.7499977584884732e-15,7.632783294297951e-17,6.418476861114186e-17,5.637851296924623e-18,inside_historical_grid,true,false,false
27.0,162.57468967201314,156.25373312626925,0.010925781209552683,0.012486607096631658,8.773730529169983e-18,0.0078041294353947835,0.0031216517741579,-8.773730529169983e-18,0.16,0.048775808971217395,0.04877580897121745,0.048775808971217464,1.4226097014612018e-15,1.3877787807814457e-17,4.683753385137379e-17,1.3444106938820255e-17,density_outside,true,false,false
39.0,164.23848793077158,112.30359749291662,0.008999724068107486,0.01028539893497993,1.4072018971035356e-16,0.006428374334362518,0.002571349733744967,-1.4072018971035356e-16,0.16,0.040177339589765736,0.04017733958976573,0.040177339589765805,1.727066544165792e-15,7.632783294297951e-17,8.153200337090993e-17,1.4072018971035356e-16,density_outside,true,false,false
62.4,165.26741420719728,72.52484031227822,0.006359366291810422,0.007267847190640509,1.0282441867892336e-17,0.0045424044941503134,0.0018169617976601085,-1.0282441867892336e-17,0.16,0.02839002808843946,0.028390028088439496,0.028390028088439496,1.3442718814015622e-15,0.0,4.163336342344337e-17,1.691355389077387e-17,density_outside,true,false,false
130.0,165.8213120441032,35.84543710605646,0.0033062985962301517,0.003778626967120148,3.2535899912814683e-19,0.0023616418544501,0.0009446567417800517,-3.2535899912814683e-19,0.16,0.014760261590313125,0.014760261590313135,0.014760261590313116,5.876330393477828e-16,1.9081958235744878e-17,1.6479873021779667e-17,1.1600963245594897e-17,density_outside,true,false,false
200.0,165.9230564285382,23.52517985611511,0.0021905703945993833,0.0025035090223993126,-4.788308572635481e-18,0.0015646931389995636,0.0006258772555998196,4.788308572635481e-18,0.16,0.009779332118747272,0.009779332118747276,0.009779332118747272,0.0,3.469446951953614e-18,1.373750135582012e-17,5.9631119486702744e-18,density_outside,true,false,false
