T_MeV,m_pi,gamma_pi,n_pi_stable,n_pi_bw,delta_n_pi,bw_over_stable_pi,m_K,gamma_K,n_K_stable,n_K_bw,delta_n_K,bw_over_stable_K,kpi_stable,kpi_bw,delta_kpi
200.0,0.7531466423203732,0.0,0.31375600594475855,0.31375600594475855,0.0,1.0,2.536263703328288,0.0,0.16357229202895102,0.16357229202895102,0.0,1.0,0.5213359710403452,0.5213359710403452,0.0
202.0,0.7794725438608836,0.0,0.320909010124209,0.320909010124209,0.0,1.0,2.5437951393011327,0.0,0.17038575348683233,0.17038575348683233,0.0,1.0,0.5309472408421436,0.5309472408421436,0.0
204.0,0.8092209660560994,0.0,0.3277107900665857,0.3277107900665857,0.0,1.0,2.5448058897993038,0.0,0.17809117817441036,0.17809117817441036,0.0,1.0,0.5434400806217733,0.5434400806217733,0.0
206.0,0.835656689000803,0.0,0.33501724550434536,0.33501724550434536,0.0,1.0,2.52828070612951,2.973974680945505e-11,0.18799040476325216,0.18799040476325216,0.0,1.0,0.5611365005411754,0.5611365005411754,0.0
208.0,0.8453988733359264,0.07256096449180548,0.34465191565742564,0.3415710425895008,-0.003080873067924872,0.991060914134053,2.5315894049596523,0.21180203648727106,0.19596136448684534,0.19750855132774356,0.0015471868408982181,1.0078953667471635,0.5685776158041885,0.5782356426657305,0.009658026861541935
210.0,0.90968648100913,0.17433872030007297,0.346998058154577,0.33983534996663556,-0.007162708187941458,0.9793580741459058,2.5722836955541615,0.34086725027230613,0.1997496820136812,0.2021312752366223,0.0023815932229410974,1.0119228886821356,0.5756507199953806,0.5947917874243136,0.019141067428932956
212.0,0.9740069109697367,0.2418914242280719,0.34920280163525547,0.3396407763204621,-0.009562025314793388,0.9726175584215931,2.6069453759028134,0.42656959113794607,0.20430314400948033,0.2072150047397332,0.0029118607302528743,1.0142526476739768,0.5850558559460707,0.6101004920098849,0.02504463606381424
214.0,1.0375861219541656,0.3000116680796824,0.3513925113268623,0.3399960449128116,-0.011396466414050677,0.9675677026496169,2.636339886854573,0.493978991732395,0.20956051464024653,0.21286274246271117,0.003302227822464643,1.0157578722696572,0.596371601230042,0.6260741724724991,0.02970257124245712
216.0,1.10005873430967,0.35393036939635253,0.3536400594379963,0.34072022916954364,-0.01291983026845267,0.9634661574003103,2.6613664805272315,0.5513200614879582,0.21544347664336438,0.21904253819934674,0.003599061555982358,1.0167053633373178,0.6092168318989271,0.6428809311769698,0.0336640992780427
218.0,1.1612829700415024,0.40577969280076925,0.3559860505775643,0.3417435121866068,-0.01424253839095746,0.9599913019966657,2.6828675696382893,0.602575967712928,0.22187687594378142,0.22569997626548538,0.003823100321703965,1.017230729004282,0.6232740737559817,0.6604367551014205,0.037162681345438875
220.0,1.2212317808105853,0.4566382265109534,0.35845254253282577,0.34301245904440547,-0.015440083488420298,0.9569257247296374,2.7015611887064237,0.6500122037879709,0.22879610914194196,0.23278168167127317,0.0039855725293312105,1.0174197565871133,0.6382884259245829,0.6786391442450138,0.04035071832043091
