scheme,T_MeV,n_pi,n_K,kpi_ratio
stable,208.0,0.34478978412740713,0.19562210621856546,0.5673663061498334
stable,210.0,0.3471183684400915,0.1993808956781241,0.5743887786005623
stable,212.0,0.3492940508453487,0.20396268242304605,0.5839283031858774
stable,214.0,0.3514560168858303,0.20927526693175083,0.5954522241106871
stable,216.0,0.3536814572296574,0.21521882812958082,0.6085103522682896
stable,218.0,0.3560113385606389,0.221707395758695,0.6227537489537904
stable,220.0,0.3584667026301756,0.2286725221958631,0.6379184468683579
strict_bw,208.0,0.20968272406243949,0.5833566524338094,2.782092111031985
strict_bw,210.0,0.2898643849712841,0.7042471879546282,2.429574740699502
strict_bw,212.0,0.3565563432001064,0.8354453782858511,2.343094981252326
strict_bw,214.0,0.4194302283228636,0.8861952764688343,2.1128550510352593
strict_bw,216.0,0.4811453470865836,1.0356435795483185,2.1524547328978976
strict_bw,218.0,0.5426306774568634,0.9853461384934098,1.8158688393944336
strict_bw,220.0,0.6041742336652325,1.0349016754307494,1.712919250383291
current_bu,208.0,2.8240821543501093,3.8652107371997877,1.368660869601815
current_bu,210.0,2.814740872547221,3.8681234877497674,1.3742378651890892
current_bu,212.0,2.808467322830851,3.874576241843254,1.379605242455802
current_bu,214.0,2.804548298480075,3.8836515415657757,1.3847689995820436
current_bu,216.0,2.8018303814812837,3.894893223886293,1.390124559155906
current_bu,218.0,2.7997984181925832,3.9063515022404744,1.3952259837200098
current_bu,220.0,2.798092872917203,3.914333612203008,1.3989291242224022
gbu_reference,208.0,0.2615021756704353,0.20271745000776198,0.7752036842065961
gbu_reference,210.0,0.2481450793805678,0.19814416707042992,0.7985012943438062
gbu_reference,212.0,0.23797183859791304,0.19458997577956796,0.8177016949823006
gbu_reference,214.0,0.22951508616888924,0.19172081836184843,0.8353299191007
gbu_reference,216.0,0.22196788683573276,0.18924221767925567,0.8525657489333324
gbu_reference,218.0,0.2149615215386058,0.187024560005024,0.8700373846741474
gbu_reference,220.0,0.20833034009746193,0.18495933191953265,0.8878175489609638
