T_MeV,T_fm,converged,status,error,meson,omega,q,xi,temperature,eta,fd_step,scheme,reD,imD,phase,weighted_phase,dReD_domega,dImD_domega,dReD_fd,dImD_fd,dphase_ad,dphase_formula,dphase_fd,dphase_raw_fd,dphase_abs_diff,dphase_formula_abs_diff,dphase_raw_fd_abs_diff,dweighted_ad,dweighted_fd,dweighted_abs_diff
208.0,1.0540879892773143,true,ok,,pi,0.3,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,7.432703322530513,-5.469575620278391e-6,-7.358797173698103e-7,-7.358797173698103e-7,5.575484093819214,-2.714374654311292e-5,5.575484096098648,-2.7143746558210167e-5,-3.099930117498049e-6,-3.0999301174980482e-6,-3.0999301193035633e-6,-3.0999301184221726e-6,1.8055142545435852e-15,8.470329472543003e-22,9.241235333662823e-16,-3.099930117498049e-6,-3.0999301184221726e-6,9.241235333662823e-16
208.0,1.0540879892773143,true,ok,,pi,0.6,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,11.657213970123877,-2.8812262216301584e-5,-2.4716250632514326e-6,-2.4716250632514326e-6,31.997855720509286,-0.0002168124863837267,31.997855770615754,-0.00021681248701075503,-1.1814639807297506e-5,-1.1814639807297522e-5,-1.1814639850462543e-5,-1.1814639825072655e-5,4.316503785537027e-14,1.6940658945086007e-20,1.7775149028457365e-14,-1.1814639807297506e-5,-1.1814639825072655e-5,1.7775149028457365e-14
208.0,1.0540879892773143,true,ok,,pi,1.0,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,-11.621399151473835,8.737422468815462,2.4969155490146413,2.4969155490146413,23.023426039069193,-48.17468418858766,61.49458431350396,-66.41009180858859,1.696748977590964,1.696748977590965,1.10915141984793,1.1091514115824097,0.5875975577430341,8.881784197001252e-16,0.5875975660085544,1.696748977590964,1.1091514115824097,0.5875975660085544
208.0,1.0540879892773143,true,ok,,pi,0.3,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,5.492951267584452,0.21745811571631063,0.03956791307778271,0.03956791307778271,5.95438239949354,-0.3458546064422736,3.906826263300189,0.5163288880602468,-0.10571185448639163,-0.10571185448639164,0.06573829851214799,0.06573829853182,0.1714501529985396,1.3877787807814457e-17,0.17145015301821165,-0.10571185448639163,0.06573829853182,0.17145015301821165
208.0,1.0540879892773143,true,ok,,pi,0.6,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,7.447568743110622,-9.148543905790388e-6,-1.2283933483995903e-6,-1.2283933483995903e-6,10.812700429364371,-5.996650655185012e-5,10.812700434703615,-5.996650665534907e-5,-6.268388903330321e-6,-6.268388903330327e-6,-6.26838891634669e-6,-6.268388913361494e-6,1.301636885298399e-14,5.929230630780102e-21,1.00311731780745e-14,-6.268388903330321e-6,-6.268388913361494e-6,1.00311731780745e-14
208.0,1.0540879892773143,true,ok,,pi,1.0,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,-11.776850143772762,46.333082925556106,1.8197033389677473,1.8197033389677473,-653.9134919205005,-496.00536101512273,-540.6589456585564,-857.7032821413865,15.812740712562551,15.812740712562473,15.38054110212543,15.380540688525455,0.4321996104371202,7.815970093361102e-14,0.4322000240370958,15.812740712562551,15.380540688525455,0.4322000240370958
208.0,1.0540879892773143,true,ok,,pi,0.3,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,2.978422554764908,0.2105367773724048,0.07056996043780722,0.07056996043780722,1.6345621133755983,0.09203249345887868,1.0984776476208324,0.7469467267040563,-0.00785431518440044,-0.007854315184400436,0.22359842914122155,0.22359842912558767,0.231452744325622,3.469446951953614e-18,0.2314527443099881,-0.00785431518440044,0.22359842912558767,0.2314527443099881
208.0,1.0540879892773143,true,ok,,pi,0.6,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,3.578888524135703,0.4609631849831882,0.12809541051232287,0.12809541051232287,4.790448409209409,0.361368414043938,3.2407731310746253,0.9306806533160293,-0.07026557068806555,-0.07026557068806562,0.1410748070752407,0.14107480707653552,0.21134037776330625,6.938893903907228e-17,0.21134037776460107,-0.07026557068806555,0.14107480707653552,0.21134037776460107
208.0,1.0540879892773143,true,ok,,pi,1.0,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,6.693825734138513,-6.048400409357354e-20,-9.03579006921335e-21,-9.03579006921335e-21,-3.052588028803704e-10,-0.0006106385737689061,-4.085665139541561e-6,-0.0006106389375980056,-9.122415163195083e-5,-9.122415163195079e-5,-9.122420598488946e-5,-9.122420515270343e-5,5.435293862665787e-11,4.0657581468206416e-20,5.3520752594875785e-11,-9.122415163195083e-5,-9.122420515270343e-5,5.3520752594875785e-11
208.0,1.0540879892773143,true,ok,,K,0.3,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.339922904427998,-5.009982294986852e-8,-3.7390078775655894e-8,-3.7390078775655894e-8,0.19025779615675983,-1.4942570206119192e-7,0.1902577962509255,-1.4942570202196881e-7,-1.0620905695761618e-7,-1.0620905695761622e-7,-1.062090569257159e-7,-1.0620905692338497e-7,3.1900279880111616e-17,3.970466940254533e-23,3.4231208671837044e-17,-1.0620905695761618e-7,-1.0620905692338497e-7,3.4231208671837044e-17
208.0,1.0540879892773143,true,ok,,K,0.6,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.7506197172303426,-0.27460508244121495,-0.15559375085619057,-0.15559375085619057,-0.6732846186695877,0.8431050268450361,-116.658702717487,36.70052835484938,0.4111583134281531,0.411158313428153,10.258854272520347,10.258742706657774,9.847695959092194,1.1102230246251565e-16,9.84758439322962,0.4111583134281531,10.258742706657774,9.84758439322962
208.0,1.0540879892773143,true,ok,,K,1.0,0.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.3041994261562775,-0.19295331447960026,-0.14688221325152578,-0.14688221325152578,0.4534614974985776,0.29687013166053045,-0.11206833112620272,0.24861970598366587,0.2730892487411044,0.27308924874110446,0.17410622812158674,0.17410622811520057,0.09898302061951766,5.551115123125783e-17,0.09898302062590383,0.2730892487411044,0.17410622811520057,0.09898302062590383
208.0,1.0540879892773143,true,ok,,K,0.3,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.1480340493109094,-0.28500800246420416,-0.24333794225702246,-0.24333794225702246,-0.6594935161410989,0.4157970406141389,-0.5725477063456275,1.2738359736363947,0.20682232882505508,0.20682232882505505,0.9285416609024526,0.9285416603929674,0.7217193320773976,2.7755575615628914e-17,0.7217193315679122,0.20682232882505508,0.9285416603929674,0.7217193315679122
208.0,1.0540879892773143,true,ok,,K,0.6,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.1228157380873847,-0.057984672108353764,-0.05159636234879115,-0.05159636234879115,-0.2542336586872315,0.05298331651123605,0.20038633936625413,0.5265358788090341,0.03540040044942392,0.03540040044942391,0.47688702109502046,0.47688702106557507,0.4414866206455965,6.938893903907228e-18,0.4414866206161511,0.03540040044942392,0.47688702106557507,0.4414866206161511
208.0,1.0540879892773143,true,ok,,K,1.0,0.5,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.417347116777836,0.14403743005133585,0.10127697447842504,0.10127697447842504,2.3777782628849384,0.3401266886845742,2.8906138714201997,0.908552708486776,0.0687757002432278,0.06877570024322782,0.4293306762145674,0.42933067458464363,0.36055497597133956,2.7755575615628914e-17,0.3605549743414158,0.0687757002432278,0.42933067458464363,0.3605549743414158
208.0,1.0540879892773143,true,ok,,K,0.3,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.2637260916747073,0.044247730385878814,0.03499940532396517,0.03499940532396517,-2.5544883720526053,-0.18640703569325906,0.7074535654072455,-1.8151790198126654,-0.07663544256127033,-0.0766354425612703,-1.4541890522198462,-1.4541890529722739,1.3775536096585759,2.7755575615628914e-17,1.3775536104110035,-0.07663544256127033,-1.4541890529722739,1.3775536104110035
208.0,1.0540879892773143,true,ok,,K,0.6,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,1.0667845397391813,-0.05002995301523184,-0.046863561140179893,-0.046863561140179893,-0.47418664377536307,0.06244436320345334,-0.07098174443775918,0.32724668410991087,0.03760625421576509,0.0376062542157651,0.3029730109090445,0.3029730108818768,0.2653667566932794,6.938893903907228e-18,0.2653667566661117,0.03760625421576509,0.3029730108818768,0.2653667566661117
