process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.001,13.88240184508598,735.2224773106444,0.06282122003986,253.3887137725207
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0010681642539111,13.882404419228196,735.2225454748983,0.0628212473661754,253.38849333186684
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0011409748733334,13.882407168835162,735.2226182855178,0.0628212794463325,253.388234542467
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0012187485743056,13.882410105867327,735.2226960592187,0.0628213165595106,253.38793515237472
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0013018236615783,13.882413243100448,735.222779134306,0.0628213590157925,253.38759266038969
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0013905615001937,13.882416594181114,735.2228678721447,0.0628214071333636,253.3872045000028
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0014853480873719,13.882420173686144,735.2229626587318,0.0628214612709904,253.38676777740145
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0015865957315459,13.882423997185963,735.223063906376,0.0628215217907665,253.386279572002
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0016947448458453,13.882428081312389,735.2231720554903,0.0628215891110219,253.385736509652
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0018102658638321,13.8824324438309,735.2232875765083,0.0628216636642771,253.3851351018204
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.001933661285821,13.882437103717995,735.2234109719303,0.0628217459097242,253.38447164492985
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0020654678646858,13.882442081243674,735.2235427785091,0.0628218363515055,253.3837420729276
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0022062589406595,13.882447398059664,735.2236835695851,0.0628219355283046,253.38294204126876
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0023566469352843,13.882453077293578,735.2238339575797,0.0628220440060433,253.3820669858553
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0025172860153598,13.882459143649516,735.2239945966598,0.0628221624158956,253.38111181641528
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0026888749384777,13.882465623515545,735.2241661855829,0.0628222914076369,253.3800712928513
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0028721600925194,13.882472545078471,735.2243494707369,0.0628224316908271,253.37893969306825
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0030679387423392,13.882479938446489,735.2245452493868,0.0628225840278343,253.37771086928888
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0032770624977558,13.882487835780086,735.2247543731422,0.0628227492297802,253.37637828081168
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0035004410179355,13.88249627143202,735.2249777516624,0.062822928171647,253.37493487220692
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0037390459682829,13.8825052820967,735.2252163566127,0.062823121792332,253.3733730729375
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0039939152470503,13.88251490696985,735.2254712258915,0.0628233310971789,253.3716847770197
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0042661575000497,13.882525187918986,735.2257434681445,0.0628235571726049,253.3698612251201
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0045569569431079,13.88253616966555,735.2260342675876,0.0628238011786431,253.3678930648114
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.00486757851324,13.882547899979471,735.2263448891576,0.0628240643693555,253.36577018603023
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0051993733709488,13.882560429886963,735.2266766840154,0.0628243480943644,253.36348170886276
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0055537847775848,13.882573813892504,735.227031095422,0.0628246538064535,253.36101592238757
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0059323543733318,13.88258811021592,735.2274096650178,0.0628249830731396,253.35836019151745
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0063367288831264,13.882603381045678,735.2278140395275,0.0628253375841086,253.35550089723196
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0067686672796817,13.88261969280944,735.2282459779241,0.0628257191642904,253.3524233313628
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0072300484347738,13.882637116462988,735.2287073590792,0.0628261297883338,253.3491115801261
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0077228792920715,13.88265572779896,735.2292001899365,0.0628265715817721,253.34554851504944
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0082493035970611,13.882675607776545,735.2297266142415,0.0628270468530578,253.3417155349817
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0088116112220411,13.882696842873695,735.2302889218665,0.062827558092348,253.33759257633744
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0094122481267464,13.88271952546333,735.2308895587712,0.0628281080007841,253.3331578774707
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0100538269979324,13.88274375421524,735.2315311376424,0.0628286995018383,253.3283878877766
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0107391386141979,13.882769634525292,735.2322164492587,0.0628293357676686,253.3232570558507
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0114711639854828,13.88279727897402,735.2329484746299,0.0628300202349993,253.317737702253
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0122530873200453,13.882826807816372,735.2337303979645,0.0628307566384215,253.3117997519328
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.013088309875324,13.882858349504922,735.2345656205198,0.0628315490306666,253.30541057187537
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.013980464752933,13.882892041248711,735.2354577753973,0.0628324018183033,253.29853468458597
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0149334327021474,13.88292802961024,735.2364107433466,0.0628333197962248,253.29113349156933
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0159513590006212,13.882966471143108,735.237428669645,0.0628343081804979,253.2831650103011
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0170386714857669,13.883007533073169,735.2385159821303,0.06283537265765,253.27458347900685
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.0182000998152309,13.883051394026127,735.2396774104596,0.0628365194258765,253.2653390269828
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.019440696040244,13.883098244804753,735.2409180066846,0.0628377552493228,253.25537723999463
ud_to_ud,100.0,0.0,0.0,u,d,u,d,1.8629522324323888,1.8629522324323888,1.8629522324323888,1.8629522324323888,13.882364081299285,735.2214773106444,0.02076585658134,13.88314828921907,735.2422431672258,0.0628390875183473,253.24463867802544
