# schema: xs_vs_s_by_process_v1
# T_MeV: 100.0
# muB_MeV: 800.0
# xi: 0.0
# n_points: 64
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 80.0
# n_threshold: 180
# sqrt_tail_max_mev: 1100.0
# n_tail: 240
process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001,13.618370650747348,728.1972679710108,0.05613348659526831,317.3627594084521
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001065102892679065,13.618373085789065,728.1973330739035,0.05613351408408193,317.3624485808209
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001134444171993311,13.61837567935928,728.1974024151828,0.05613354561086637,317.3620920947095
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.0012082997691729822,13.618378441778688,728.1974762707799,0.05613358140131234,317.3616873983796
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.00128696357936959,13.618381384039902,728.1975549345901,0.05613362169257186,317.36123181054705
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001370748631159154,13.618384517851181,728.197638719642,0.05613366675538581,317.3607222701864
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001459988332183482,13.618387855683034,728.197727959343,0.05613371687637741,317.36015553675486
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.0015550377958863106,13.618391410817846,728.1978230088067,0.05613377236243576,317.3595281406379
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.001656275254623787,13.618395197402732,728.1979242462654,0.05613383352648322,317.3588365440928
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.0017641035647725488,13.618399230505824,728.1980320745756,0.056133900728415426,317.3580766783441
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.0018789518098246921,13.618403526176246,728.1981469228206,0.05613397433736849,317.3572443702551
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.002001277007848844,13.61840810150799,728.1982692480186,0.05613405475074606,317.3563351272029
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.0021315659301119057,13.618412974707908,728.1983995369409,0.05613414239829251,317.35534409104486
ud_to_ud,100.0,800.0,0.0,u,d,u,d,1.845151297848094,1.845151297848094,1.845151297848094,1.845151297848094,13.618333247802022,728.1962679710108,0.002270337038098333,13.6184181651682,728.1985383080489,0.05613423772692357,317.35426620966444
