point_id,series,process,T_MeV,muB_MeV,sqrt_s_GeV,literature_sigma_mb,model_sigma_mb,relative_error,abs_relative_error,scan_file
T200MeV_1,T200MeV,ud_to_ud,200.0,0.0,0.28715756548468696,0.588943068808776,0.54560522885,-0.0735857882612,0.0735857882612,xs_T200_muB0_xi0p0.csv
T200MeV_2,T200MeV,ud_to_ud,200.0,0.0,0.29780126151391384,0.7053485578096597,0.654963097251,-0.071433421109,0.071433421109,xs_T200_muB0_xi0p0.csv
T200MeV_3,T200MeV,ud_to_ud,200.0,0.0,0.30403822601945163,0.8031553265760145,0.776736069806,-0.0328943305189,0.0328943305189,xs_T200_muB0_xi0p0.csv
T200MeV_4,T200MeV,ud_to_ud,200.0,0.0,0.3092377649680633,0.8940900042952578,0.880101456578,-0.0156455699653,0.0156455699653,xs_T200_muB0_xi0p0.csv
T200MeV_5,T200MeV,ud_to_ud,200.0,0.0,0.3144377471725317,0.9870451899603472,0.97849711546,-0.00866026660873,0.00866026660873,xs_T200_muB0_xi0p0.csv
T200MeV_6,T200MeV,ud_to_ud,200.0,0.0,0.3196397240283544,1.089092661381743,1.06926782912,-0.0182030721251,0.0182030721251,xs_T200_muB0_xi0p0.csv
T200MeV_7,T200MeV,ud_to_ud,200.0,0.0,0.3274356341563722,1.2100041170424554,1.1897537629,-0.0167357729266,0.0167357729266,xs_T200_muB0_xi0p0.csv
T200MeV_8,T200MeV,ud_to_ud,200.0,0.0,0.33522600358618404,1.3056592233800917,1.29211005163,-0.0103772649929,0.0103772649929,xs_T200_muB0_xi0p0.csv
T200MeV_9,T200MeV,ud_to_ud,200.0,0.0,0.3443110494968351,1.400307030783849,1.39053100256,-0.00698134624046,0.00698134624046,xs_T200_muB0_xi0p0.csv
T200MeV_10,T200MeV,ud_to_ud,200.0,0.0,0.3559869849894668,1.4999446678654476,1.49007597621,-0.00657937047202,0.00657937047202,xs_T200_muB0_xi0p0.csv
T200MeV_11,T200MeV,ud_to_ud,200.0,0.0,0.37154617739298046,1.5930389514397874,1.58603379305,-0.00439735537438,0.00439735537438,xs_T200_muB0_xi0p0.csv
T200MeV_12,T200MeV,ud_to_ud,200.0,0.0,0.3948728219390971,1.677323707157706,1.67358642993,-0.00222811924523,0.00222811924523,xs_T200_muB0_xi0p0.csv
T200MeV_13,T200MeV,ud_to_ud,200.0,0.0,0.423371137880562,1.7255135436358993,1.72393973948,-0.00091207870303,0.00091207870303,xs_T200_muB0_xi0p0.csv
T200MeV_14,T200MeV,ud_to_ud,200.0,0.0,0.4518622811363493,1.7410078878994932,1.73816680784,-0.00163185938409,0.00163185938409,xs_T200_muB0_xi0p0.csv
T200MeV_15,T200MeV,ud_to_ud,200.0,0.0,0.48034810532185857,1.7322561368129366,1.73213567943,-6.95378614038e-05,6.95378614038e-05,xs_T200_muB0_xi0p0.csv
T200MeV_16,T200MeV,ud_to_ud,200.0,0.0,0.5088321564839422,1.7154223539429951,1.71481701901,-0.000352878070148,0.000352878070148,xs_T200_muB0_xi0p0.csv
T200MeV_17,T200MeV,ud_to_ud,200.0,0.0,0.5373146763985213,1.6916086345328578,1.69133188025,-0.000163604204176,0.000163604204176,xs_T200_muB0_xi0p0.csv
T200MeV_18,T200MeV,ud_to_ud,200.0,0.0,0.5657967933532306,1.6659580897174058,1.66475132298,-0.000724368007485,0.000724368007485,xs_T200_muB0_xi0p0.csv
T200MeV_19,T200MeV,ud_to_ud,200.0,0.0,0.5942784267560968,1.6381033544155787,1.6369578528,-0.000699285310879,0.000699285310879,xs_T200_muB0_xi0p0.csv
T200MeV_20,T200MeV,ud_to_ud,200.0,0.0,0.6218970007103846,1.6111854709615478,1.60994154197,-0.000772058223099,0.000772058223099,xs_T200_muB0_xi0p0.csv
T200MeV_21,T200MeV,ud_to_ud,200.0,0.0,0.6512420159297247,1.583863344136172,1.58192158719,-0.00122596242537,0.00122596242537,xs_T200_muB0_xi0p0.csv
T200MeV_22,T200MeV,ud_to_ud,200.0,0.0,0.6797242134764081,1.5585801644017838,1.55587297915,-0.00173695605188,0.00173695605188,xs_T200_muB0_xi0p0.csv
T200MeV_23,T200MeV,ud_to_ud,200.0,0.0,0.7082062498391437,1.5325622545052688,1.53125919979,-0.000850245859121,0.000850245859121,xs_T200_muB0_xi0p0.csv
T200MeV_24,T200MeV,ud_to_ud,200.0,0.0,0.7340995376800052,1.5113141805844865,1.51030073999,-0.000670569104976,0.000670569104976,xs_T200_muB0_xi0p0.csv
T200MeV_25,T200MeV,ud_to_ud,200.0,0.0,0.765172014996067,1.4882411014145625,1.48708629568,-0.000775953395725,0.000775953395725,xs_T200_muB0_xi0p0.csv
T200MeV_26,T200MeV,ud_to_ud,200.0,0.0,0.7936557437902547,1.4699378582203693,1.46775470734,-0.00148519944024,0.00148519944024,xs_T200_muB0_xi0p0.csv
T200MeV_27,T200MeV,ud_to_ud,200.0,0.0,0.8221397949523379,1.453104075350427,1.45038581017,-0.00187066103999,0.00187066103999,xs_T200_muB0_xi0p0.csv
T200MeV_28,T200MeV,ud_to_ud,200.0,0.0,0.850624329666265,1.438474482966864,1.43503930852,-0.0023880676963,0.0023880676963,xs_T200_muB0_xi0p0.csv
T200MeV_29,T200MeV,ud_to_ud,200.0,0.0,0.8791087031962437,1.4231101604211736,1.42178993391,-0.000927705072244,0.000927705072244,xs_T200_muB0_xi0p0.csv
T200MeV_30,T200MeV,ud_to_ud,200.0,0.0,0.9075946079737272,1.4147257744156798,1.41073700599,-0.00281946402651,0.00281946402651,xs_T200_muB0_xi0p0.csv
T200MeV_31,T200MeV,ud_to_ud,200.0,0.0,0.9360803515672627,1.4056066582480593,1.40196729991,-0.00258917266788,0.00258917266788,xs_T200_muB0_xi0p0.csv
T200MeV_32,T200MeV,ud_to_ud,200.0,0.0,0.9645664981206676,1.3983243674857535,1.3956067168,-0.00194350520595,0.00194350520595,xs_T200_muB0_xi0p0.csv
T200MeV_33,T200MeV,ud_to_ud,200.0,0.0,0.9930534505938116,1.3947157275340762,1.39183497816,-0.00206547421601,0.00206547421601,xs_T200_muB0_xi0p0.csv
T200MeV_34,T200MeV,ud_to_ud,200.0,0.0,1.0215412089866949,1.3947807383930293,1.39084562603,-0.00282131252158,0.00282131252158,xs_T200_muB0_xi0p0.csv
T200MeV_35,T200MeV,ud_to_ud,200.0,0.0,1.0500290479715517,1.3952131143330435,1.3929108301,-0.00165013086856,0.00165013086856,xs_T200_muB0_xi0p0.csv
T200MeV_36,T200MeV,ud_to_ud,200.0,0.0,1.0785179346520695,1.4004212363268769,1.39841885701,-0.00142984072849,0.00142984072849,xs_T200_muB0_xi0p0.csv
T200MeV_37,T200MeV,ud_to_ud,200.0,0.0,1.104417150480345,1.4061949050353881,1.40681210303,0.000438913548678,0.000438913548678,xs_T200_muB0_xi0p0.csv
T200MeV_38,T200MeV,ud_to_ud,200.0,0.0,1.1406805389264785,1.4347280307398051,1.4250450206,-0.00674902136854,0.00674902136854,xs_T200_muB0_xi0p0.csv
T200MeV_39,T200MeV,ud_to_ud,200.0,0.0,1.1691723269180574,1.4531612956519027,1.44594669797,-0.00496476042088,0.00496476042088,xs_T200_muB0_xi0p0.csv
T200MeV_40,T200MeV,ud_to_ud,200.0,0.0,1.1911898527097249,1.4726206530984625,1.467265173,-0.00363670038584,0.00363670038584,xs_T200_muB0_xi0p0.csv
T160MeV_1,T160MeV,ud_to_ud,160.0,0.0,0.7170810245738717,0.6687239516591417,,,,xs_T160_muB0_xi0p0.csv
T160MeV_2,T160MeV,ud_to_ud,160.0,0.0,0.7201324471406181,0.8054518844191554,0.730746177128,-0.0927500558831,0.0927500558831,xs_T160_muB0_xi0p0.csv
T160MeV_3,T160MeV,ud_to_ud,160.0,0.0,0.722748543205638,0.9253412659507712,0.879912555557,-0.04909400679,0.04909400679,xs_T160_muB0_xi0p0.csv
T160MeV_4,T160MeV,ud_to_ud,160.0,0.0,0.7262355139020396,1.0799180039121055,1.04270405678,-0.034459974732,0.034459974732,xs_T160_muB0_xi0p0.csv
T160MeV_5,T160MeV,ud_to_ud,160.0,0.0,0.7314452477353508,1.2173243643858065,1.21472401815,-0.00213611614797,0.00213611614797,xs_T160_muB0_xi0p0.csv
T160MeV_6,T160MeV,ud_to_ud,160.0,0.0,0.7353527697382625,1.3213893887140058,1.3058027933,-0.0117956111556,0.0117956111556,xs_T160_muB0_xi0p0.csv
T160MeV_7,T160MeV,ud_to_ud,160.0,0.0,0.7418497185788286,1.423776566498753,1.41296453719,-0.00759390873609,0.00759390873609,xs_T160_muB0_xi0p0.csv
T160MeV_8,T160MeV,ud_to_ud,160.0,0.0,0.7522314799472585,1.5267114115195222,1.51710493719,-0.00629226601358,0.00629226601358,xs_T160_muB0_xi0p0.csv
T160MeV_9,T160MeV,ud_to_ud,160.0,0.0,0.7729687243278265,1.6127955941291479,1.61165443556,-0.00070756553026,0.00070756553026,xs_T160_muB0_xi0p0.csv
T160MeV_10,T160MeV,ud_to_ud,160.0,0.0,0.8014643807341526,1.6488623829322657,1.64536735782,-0.00211965846986,0.00211965846986,xs_T160_muB0_xi0p0.csv
T160MeV_11,T160MeV,ud_to_ud,160.0,0.0,0.8299506884715051,1.6423148223320858,1.63899109129,-0.00202380871143,0.00202380871143,xs_T160_muB0_xi0p0.csv
T160MeV_12,T160MeV,ud_to_ud,160.0,0.0,0.8584337725299018,1.621072658489389,1.61766002923,-0.00210516736893,0.00210516736893,xs_T160_muB0_xi0p0.csv
T160MeV_13,T160MeV,ud_to_ud,160.0,0.0,0.8869153253407938,1.5928505581064973,1.59074866703,-0.00131957832813,0.00131957832813,xs_T160_muB0_xi0p0.csv
T160MeV_14,T160MeV,ud_to_ud,160.0,0.0,0.9153970393356341,1.5653631878857315,1.56246087885,-0.00185408029084,0.00185408029084,xs_T160_muB0_xi0p0.csv
T160MeV_15,T160MeV,ud_to_ud,160.0,0.0,0.9438787533304736,1.5378758176649656,1.53485639676,-0.00196337108192,0.00196337108192,xs_T160_muB0_xi0p0.csv
T160MeV_16,T160MeV,ud_to_ud,160.0,0.0,0.9723606285092619,1.5111231776063265,1.50900406831,-0.00140234054544,0.00140234054544,xs_T160_muB0_xi0p0.csv
