# schema: xs_vs_s_by_process_v1
# T_MeV: 250.0
# muB_MeV: 0.0
# xi: 0.0
# n_points: 64
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 500.0
# n_threshold: 200
# sqrt_tail_max_mev: 700.0
# n_tail: 80
process,T_MeV,muB_MeV,xi,i,j,c,d,mi_fm,mj_fm,mc_fm,md_fm,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,sigma,inv_sigma2
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.001,0.02669673984150599,32.24152569633294,0.00028550456842341664,1.2268003076937992e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0010681642539111182,0.026696852724828815,32.24159386058685,0.00028550453268837763,1.226800614797572e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.001140974873333497,0.02669697330302273,32.241666671206275,0.00028550449456049234,1.2268009424653823e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0012187485743056076,0.02669710210064005,32.24174444490725,0.00028550445387581905,1.226801292106156e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0013018236615783883,0.026697239677994034,32.24182751999452,0.00028550441046704193,1.2268016651578214e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0013905615001937207,0.02669738663359726,32.24191625783314,0.0002855043641451005,1.2268020632451829e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.001485348087371951,0.026697543606766298,32.242011044420316,0.0002855043147201675,1.2268024879996391e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0015865957315459665,0.02669771128040401,32.24211229206449,0.00028550426197957574,1.2268029412488813e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0016947448458453623,0.02669789038397173,32.24222044117879,0.0002855042057057698,1.226803424862615e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0018102658638321264,0.026698081696664107,32.242335962196776,0.0002855041456615272,1.2268039408795722e7
ud_to_ud,250.0,0.0,0.0,u,d,u,d,0.08169315121271915,0.08169315121271918,0.08169315121271915,0.08169315121271918,0.026695083820256798,32.240525696332945,0.0019336612858210092,0.02669828605080056,32.24245935761876,0.0002855040815969845,1.2268044914471284e7
