# tr_p_max_fm: 8.0
# sigma_grid_n: 128
# provenance.equilibrium_backend: models.solve_constraint(FixedMu) with phase-aware xi/T continuity and legacy fallback
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# tau_p_nodes: 28
# tau_interpolation_mode: linear
# gc_every_n: 5
# tau_threshold_subtraction: true
# tau_asym_extra_points: 10
# note.tau_threshold_hint: for near-threshold sharp channels, linear+threshold_subtraction often more robust than pchip
# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tau_asym_window: 0.6
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# git_commit: f196bce86483267108100538d0befbf4ca99803a
# tau_n_sigma_points: 6
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# provenance.integration_mode: finite_15
# tau_asym_fit_min_points: 8
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# tau_angle_nodes: 8
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
190.0,0.0,0.0,-0.5,0.9628688363590852,0.0,true,0,2.3241777224856653e-14,models,phase_aware_default_hadron,unknown,hadron,crossover_possible,0.0,0.6078405656248816,0.6078405656248816,0.2500409108521763,0.25004091085217617,2.0494817261477953,0.0,0.0,-22.69231525006585,22.69231525006585,-10.28177117907463,12.889132561314845,-4477.806046580365,4477.806046580365,-2028.8708599305444,-91.16303868561629,0.45760433100378606,0.45760433100378606,0.21861435579755317,0.45760433100378606,0.45760433100378606,0.21861435579755317,0.22283648477124418,0.22283648477124418,1.2938321283028191,0.22283648477124426,0.22283648477124426,1.2938321283028191,4.487595471749447,4.487595471749447,0.7728977957223456,4.4875954717494455,4.4875954717494455,0.7728977957223456,1.1037376783982353,0.005835592576122138,0.4322515220039961,0.08563320092703282,0.03353612199639766,0.006060630852057046,0.07077431167405791,0.39162522985650683
190.0,0.0,0.0,-0.48,0.9628688363590852,0.0,true,0,6.825926318526457e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.6050363642782425,0.6050363642782425,0.27695481260078364,0.27695481260078325,2.060297501339637,0.0,0.0,-22.651501080982936,22.651501080982936,-10.492378666879496,12.628015317310474,-4469.752309837699,4469.752309837699,-2070.4293995487083,-91.26561039490564,0.4457563714487277,0.44575637144872776,0.2122607154961804,0.4457563714487277,0.44575637144872776,0.2122607154961804,0.2803048021233791,0.2803048021233791,1.3161504230750527,0.2803048021233785,0.2803048021233785,1.3161504230750527,3.5675450167986757,3.5675450167986757,0.7597915728079172,3.5675450167986833,3.5675450167986833,0.7597915728079172,1.1649010579506556,0.006636105402253626,0.4551983791016741,0.09224735864501289,0.0360467078684715,0.006892013898120186,0.0747123169633734,0.390761409301558
190.0,0.0,0.0,-0.46,0.9628688363590852,0.0,true,0,9.625936545070687e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.6022374862477085,0.6022374862477085,0.30794265872948057,0.3079426587294802,2.071271472829962,0.0,0.0,-22.613184571457346,22.613184571457346,-10.698552439198128,12.374096743344868,-4462.191428713546,4462.191428713546,-2111.113047478021,-91.37174127079544,0.4340877171560753,0.4340877171560753,0.2061972295877567,0.4340877171560753,0.4340877171560753,0.2061972295877567,0.38424337787517143,0.38424337787517143,1.1428096574346822,0.3842433778751709,0.3842433778751709,1.1428096574346822,2.60251720024403,2.60251720024403,0.8750363575372178,2.6025172002440335,2.6025172002440335,0.8750363575372178,1.2189503678556386,0.00793716975562494,0.48715083277548116,0.09850822998545117,0.03936859739176392,0.008243251267366712,0.08368083832776378,0.3996477999612654
190.0,0.0,0.0,-0.44,0.9628688363590852,0.0,true,0,8.57374762517096e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5994111591542127,0.5994111591542127,0.34371279537401206,0.3437127953740121,2.0826776333360892,0.0,0.0,-22.577183668781814,22.577183668781814,-10.902686214998678,12.1247017381185,-4455.087479296909,4455.087479296909,-2151.3941490543943,-91.48358077753822,0.4224417954782107,0.4224417954782107,0.20035788971653595,0.4224417954782107,0.4224417954782107,0.20035788971653595,0.5937520064511483,0.5937520064511483,0.5396238678964388,0.5937520064511417,0.5937520064511417,0.5396238678964388,1.6842048349057261,1.6842048349057261,1.8531426415554948,1.684204834905745,1.684204834905745,1.8531426415554948,1.2737196341250565,0.010380516371848484,0.5403050532052471,0.10505162614603922,0.04456233768675708,0.010780820792892762,0.10262402580904012,0.42419464906528936
190.0,0.0,0.0,-0.42,0.9628688363590852,0.0,true,0,1.8948750174354944e-13,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.596519809846027,0.596519809846027,0.38489004827744244,0.384890048277443,2.094825955745571,0.0,0.0,-22.54334639062931,22.54334639062931,-11.10733210643467,11.877021929007345,-4448.410471374121,4448.410471374121,-2191.776304862725,-91.60356760726924,0.41065676067801243,0.4106567606780123,0.19467772906942143,0.41065676067801243,0.4106567606780123,0.19467772906942143,0.6604130635615068,0.6604130635615068,0.46435150386617424,0.6604130635615039,0.6604130635615039,0.46435150386617424,1.5142038447985156,1.5142038447985156,2.153540995719913,1.5142038447985222,1.5142038447985222,2.153540995719913,1.2858960124323724,0.010849175720148733,0.543162287247855,0.10826754552770661,0.045732195368039644,0.011267553077294446,0.10407138189357938,0.4223998534845918
190.0,0.0,0.0,-0.4,0.9628688363590852,0.0,true,0,9.868915177042895e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5935254109492986,0.5935254109492986,0.4317510959478572,0.431751095947857,2.108025062582764,0.0,0.0,-22.511546495217303,22.511546495217303,-11.314880219449481,11.628443930230409,-4442.135494035433,4442.135494035433,-2232.7311472916554,-91.73404181319827,0.39859198336651974,0.39859198336651974,0.18909844685464655,0.39859198336651974,0.39859198336651974,0.18909844685464655,0.9178010330286183,0.9178010330286183,0.9289363144661641,0.9178010330286163,0.9178010330286163,0.9289363144661641,1.0895607697238434,1.0895607697238434,1.0765000618741818,1.0895607697238459,1.0895607697238459,1.0765000618741818,1.794102058999854,0.01459596043658359,0.7503844988128433,0.15428565247115614,0.06453008702755769,0.015158825257836345,0.09825168455420898,0.4182507316396232
190.0,0.0,0.0,-0.38,0.9628688363590852,0.0,true,0,6.877673704498169e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5903998668588937,0.5903998668588937,0.48385002829035106,0.4838500282903506,2.122494117729764,0.0,0.0,-22.48167703059099,22.48167703059099,-11.526872179306219,11.37725559039629,-4436.241442774559,4436.241442774559,-2274.5628805992633,-91.87642364634888,0.3861788199188892,0.38617881991888925,0.18358075323262552,0.3861788199188892,0.38617881991888925,0.18358075323262552,1.094505745936474,1.094505745936474,1.501986606616017,1.094505745936478,1.094505745936478,1.501986606616017,0.9136544085882221,0.9136544085882221,0.6657848982109134,0.9136544085882188,0.9136544085882188,0.6657848982109134,2.1604391484092216,0.01686137789555547,0.9124803903191918,0.18989106214972268,0.08020215271329846,0.017511604134280354,0.09221921208947184,0.4223587556220091
190.0,0.0,0.0,-0.36,0.9628688363590852,0.0,true,0,3.1038608369831185e-13,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5871393993805812,0.5871393993805812,0.5397502100457168,0.5397502100457169,2.1382426482125543,0.0,0.0,-22.453640941143835,22.453640941143835,-11.743139498468771,11.123531096067968,-4430.709165901727,4430.709165901727,-2317.238257648813,-92.03017834186707,0.373477376281524,0.37347737628152394,0.17811950995726944,0.373477376281524,0.37347737628152394,0.17811950995726944,1.2154357400243208,1.2154357400243208,1.8132817730377115,1.2154357400243183,1.2154357400243183,1.8132817730377115,0.8227502014874024,0.8227502014874024,0.5514862691884581,0.8227502014874041,0.8227502014874041,0.5514862691884581,2.3154944738036614,0.017836815508186096,1.0063190747880357,0.20816181964216024,0.0904675921788682,0.01852465760095923,0.08899162023469996,0.43460223557992606
190.0,0.0,0.0,-0.34,0.9628688363590852,0.0,true,0,3.647117372232437e-12,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5837728330399167,0.5837728330399167,0.5972078633424803,0.5972078633424798,2.155004866214016,0.0,0.0,-22.427340489626058,22.427340489626058,-11.961445936086514,10.869491418077706,-4425.519377220568,4425.519377220568,-2360.3160077858033,-92.19236311821868,0.3606888812410273,0.3606888812410274,0.17274887951650578,0.3606888812410273,0.3606888812410274,0.17274887951650578,1.3042679329042028,1.3042679329042028,1.9660453785703094,1.3042679329042055,1.3042679329042055,1.9660453785703094,0.7667136289805946,0.7667136289805946,0.5086352588296772,0.766713628980593,0.766713628980593,0.5086352588296772,2.354457588511071,0.01809365328849131,1.0536992028282501,0.21661156883524751,0.09694098484458799,0.01879139983064484,0.08675159841041262,0.44753373684450015
190.0,0.0,0.0,-0.32,0.9628688363590852,0.0,true,0,1.2292532063726422e-11,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5803537012186522,0.5803537012186522,0.6538454365582215,0.6538454365582224,2.1723121588954584,0.0,0.0,-22.402670001258112,22.402670001258112,-12.178195635442753,10.618761330439735,-4420.651224245928,4420.651224245928,-2403.086571462378,-92.35842570424612,0.3480910951098391,0.3480910951098391,0.16752760867088692,0.3480910951098391,0.3480910951098391,0.16752760867088692,1.3942459534272533,1.3942459534272533,2.092267361399736,1.394245953427252,1.394245953427252,2.092267361399736,0.7172335681103171,0.7172335681103171,0.47795038934746636,0.7172335681103179,0.7172335681103179,0.47795038934746636,2.376847608643743,0.018253674976187365,1.084832034003456,0.22383473313693125,0.10216182474067641,0.0189575924434426,0.08469459666853965,0.4564163180080669
