# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s
120.0,0.0,0.0,0.0,0.6081276257177173,0.0,true,3,6.299558097389024e-12,0.011924161160763821,0.011924161160733521,1.8616144114604545,1.8616144114604545,2.78372281547457,8.397507226624393e-16,5.2484420166402455e-15,-21.608636761947167,21.608636761947167,-21.600885022142656,0.012746896336709775,-4263.967466324749,4263.967466324749,-4262.437838764344,-631.9307351794268,0.000455542139404129,0.000455542139404129,0.00014982603263055024,0.00045554213940305716,0.00045554213940305716,0.00014982603263017467,2008.6716808535637,2008.6716808535637,1328.7047129881053,2008.6716808518213,2008.6716808518213,1328.7047129863781,0.0004978414389628178,0.0004978414389628178,0.0007526126687329302,0.0004978414389632496,0.0004978414389632496,0.0007526126687339086,2.046173581340716,0.02793009482772638,1.3532903879333078,160.5232777682472,106.16626606085812
130.0,0.0,0.0,0.0,0.6588049278608604,0.0,true,3,4.5579752472324486e-10,0.019772139129829825,0.019772139128471505,1.8594352537086056,1.8594352537086056,2.7824001106398684,5.641161727557945e-14,3.5257260797237156e-13,-21.60968793761397,21.60968793761397,-21.589113994411782,0.031229188386602123,-4264.1748916655515,4264.1748916655515,-4260.115097175294,-458.7517653662711,0.0011260171811930957,0.0011260171811930957,0.00041107406391239034,0.001126017181122332,0.001126017181122332,0.0004110740638846829,799.1991261736208,799.1991261736208,517.2241090547667,799.1991261555224,799.1991261555224,517.2241090360421,0.0012512526193412736,0.0012512526193412736,0.0019333978878662715,0.001251252619369609,0.001251252619369609,0.0019333978879362646,2.166556392063633,0.026508250849701705,1.473545057538061,69.37600699841191,47.18486562302843
140.0,0.0,0.0,0.0,0.7094822300040036,0.0,true,4,1.902557972277563e-15,0.03221759619677126,0.03221759619677124,1.8546690788433904,1.8546690788433904,2.77944257162223,1.5178830414797062e-18,9.486769009248164e-18,-21.612180399120547,21.612180399120547,-21.56066507023373,0.07260975216606338,-4264.66672161726,4264.66672161726,-4254.501356314011,-340.98369278980715,0.002621116134333912,0.002621116134333912,0.0010456789812049502,0.0026211161343339105,0.0026211161343339105,0.001045678981204949,339.57867553573715,339.57867553573715,218.28607440724073,339.57867553574295,339.57867553574295,218.28607440724062,0.0029448256679320264,0.0029448256679320264,0.004581144274619971,0.002944825667931976,0.002944825667931976,0.004581144274619974,2.290351823943829,0.025352831204328418,1.6397886884460395,31.543308655091405,22.583587459377807
150.0,0.0,0.0,0.0,0.7601595321471466,0.0,true,4,2.38448150113868e-12,0.05305368578180749,0.05305368578181304,1.8441939875988653,1.8441939875988653,2.772825571735524,-4.581115579475418e-16,-2.863197237172136e-15,-21.617912777196306,21.617912777196306,-21.491083767434148,0.16684525339558354,-4265.797874585815,4265.797874585815,-4240.771086576478,-258.5933283059134,0.005965926425582355,0.005965926425582355,0.0025682156645575782,0.005965926425582912,0.005965926425582912,0.002568215664557839,148.01259108086722,148.01259108086722,93.65165758503299,148.0125910808702,148.0125910808702,93.65165758503832,0.006756181975448604,0.006756181975448604,0.010677867597720082,0.0067561819754484685,0.0067561819754484685,0.010677867597719475,2.406090236853511,0.024361150574927354,1.8858949347682623,14.421088930523936,11.303257937442664
160.0,0.0,0.0,0.0,0.8108368342902897,0.0,true,7,8.899420089747423e-11,0.09382502351296054,0.09382502351296054,1.8185854063822164,1.8185854063822164,2.756467977856125,0.0,0.0,-21.631474748571613,21.631474748571613,-21.29794864426197,0.4113356599069271,-4268.474017711391,4268.474017711391,-4202.660312126282,-199.40450213635154,0.014260507852633934,0.014260507852633934,0.006552395734856962,0.014260507852633934,0.014260507852633934,0.006552395734856962,61.33135484190942,61.33135484190942,38.64630408728182,61.33135484190967,61.33135484190967,38.64630408728182,0.016304873788906944,0.016304873788906944,0.02587569558376196,0.01630487378890688,0.01630487378890688,0.02587569558376196,2.509298805156087,0.02347690727624133,2.3175169202905304,6.100367776826998,5.6341259613010815
170.0,0.0,0.0,0.0,0.8615141364334329,0.0,true,8,6.287748099964574e-13,0.09125284233640787,0.09125284233640787,3.2812201717973823,3.2812201717973823,1.8646554038626455,0.0,0.0,-18.122487573357393,18.122487573357393,-17.801644630232023,0.3724175025770572,-3576.056105387894,3576.056105387894,-3512.7451299497943,-131.00917180424057,0.005710860383455657,0.005710860383455657,0.017499646368743387,0.005710860383455657,0.005710860383455657,0.017499646368743387,80.15212535557971,80.15212535557971,82.19084243528422,80.15212535557848,80.15212535557848,82.19084243528422,0.012476275526864566,0.012476275526864566,0.01216680557554066,0.012476275526864759,0.012476275526864759,0.01216680557554066,3.0649975588804197,0.015346914191961603,3.028043652174701,8.230004061761944,8.130776967304769
180.0,0.0,0.0,0.0,0.9121914385765759,0.0,true,6,6.788786199862784e-11,0.4360028766898374,0.4360028766898374,1.4585535093467379,1.458553509346738,2.536392618246754,0.0,0.0,-21.831896759388677,21.831896759388677,-17.539300788467223,4.70580602863343,-4308.022691839889,4308.022691839889,-3460.9776066858717,-119.92705691717978,0.1298509048949885,0.1298509048949885,0.06470547649189222,0.1298509048949885,0.1298509048949885,0.06470547649189222,5.727667123120023,5.727667123120023,3.8268828440458353,5.7276671231200424,5.7276671231200424,3.8268828440458353,0.17459115177337184,0.17459115177337184,0.2613092798374736,0.17459115177337126,0.17459115177337126,0.2613092798374736,2.3582724623471876,0.020311306044465297,1.4245480331175626,0.5011410262126831,0.3027213668497196
190.0,0.0,0.0,0.0,0.9628687407197191,0.0,true,5,7.246980793240709e-13,0.5368059793303134,0.5368059793303134,1.15610611424585,1.1561061142458495,2.3711123563537613,0.0,0.0,-22.149418643315858,22.149418643315858,-14.559382970858303,7.882731416521221,-4370.678332629588,4370.678332629588,-2872.9593634905564,-94.244849104753,0.2228450145707441,0.22284501457074418,0.1136134487330209,0.2228450145707441,0.22284501457074418,0.1136134487330209,2.8155808622765837,2.8155808622765837,2.0573248005330558,2.815580862275435,2.815580862275435,2.0573248005330558,0.35516649988572296,0.35516649988572296,0.48606812096023855,0.3551664998858679,0.3551664998858679,0.48606812096023855,2.0835666423241164,0.017684121933694855,0.8301726996561289,0.2643203900055786,0.10531536034783459
200.0,0.0,0.0,0.0,1.0135460428628622,0.0,true,1,8.769196480074015e-10,0.6053204268836208,0.6053204268836208,0.7272072327917661,0.7272072327917659,2.177534066428576,0.0,0.0,-22.638342630112444,22.638342630112444,-11.009132725280239,11.473785514454121,-4467.156236172198,4467.156236172198,-2172.3991332813735,-74.78870997347282,0.3433056712601641,0.3433056712601641,0.1788002710037589,0.3433056712601641,0.3433056712601641,0.1788002710037589,1.4308582821953106,1.4308582821953106,1.1749296998444623,1.4308582821944549,1.4308582821944549,1.1749296998444623,0.6988812326443249,0.6988812326443249,0.851114751914417,0.6988812326447429,0.6988812326447429,0.851114751914417,1.7109783763581214,0.014557054155279874,0.5723848511000766,0.14912065195943514,0.04988631261923223
210.0,0.0,0.0,0.0,1.0642233450060052,0.0,true,4,3.4439651130924176e-10,0.65229118871363,0.65229118871363,0.3440638520356153,0.344063852035615,2.027007944175137,0.0,0.0,-23.311769107551733,23.311769107551733,-7.292916551910821,15.052152944033116,-4600.041462685861,4600.041462685861,-1439.0893444389067,-60.206713498331666,0.45985867339416203,0.45985867339416203,0.25374874657686847,0.45985867339416203,0.45985867339416203,0.25374874657686847,0.700538834127056,0.700538834127056,0.7517858213872309,0.7005388341270884,0.7005388341270884,0.7517858213872309,1.4274726129153192,1.4274726129153192,1.3301660812846303,1.427472612915253,1.427472612915253,1.3301660812846303,1.22575322139483,0.009878381324462728,0.21495392632272878,0.08143374744811742,0.014280610031134417
