muB_MeV,T_MeV,literature_K_MeV,julia_K_MeV,fortran_mott_K_MeV,rel_diff_julia_lit,rel_diff_fortran_lit
0.0,120.0,500.6365793406769,497.65628506073784,497.6403114,0.005953009434236767,0.005984916133421447
0.0,140.0,498.6370540778123,497.5719322915216,497.5732387,0.002136066258173636,0.002133446299492837
0.0,160.0,497.63729144638,497.03672738166375,497.0342307,0.0012068309088547526,0.0012118479799357246
0.0,180.0,493.8132071100664,493.45067251204,493.4216101,0.0007341533049471365,0.0007930063522564067
0.0,200.0,501.36666192807985,500.4732580714009,500.3959666,0.0017819371021663888,0.0019360986714730668
0.0,220.0,534.3241311816598,533.0909113150082,533.7343565,0.0023079995730763566,0.00110377699086048
0.0,240.0,557.7106723020432,556.5886566641881,556.549754,0.0020118238606119027,0.0020815780649334637
0.0,260.0,578.6268304381834,577.9277371889299,577.4874871,0.0012081936275304662,0.0019690468506631297
600.0,160.0,498.08296947608545,496.5208033090608,496.5694151,0.0031363573194800056,0.00303875954176367
600.0,180.0,524.7344415060368,522.1721993063313,523.2319445,0.004882931244900902,0.002863347413835488
600.0,200.0,559.9856728963933,557.6234937745664,557.8004613,0.0042182849243429495,0.003902263400938095
600.0,220.0,575.8368775072125,573.6912010394954,573.703099,0.003726188008322383,0.0037055259754284428
600.0,240.0,595.2349202729217,593.147115693961,593.1721488,0.003507530401615894,0.0034654745591471314
600.0,260.0,623.2914363239762,621.1379144818133,620.9605299,0.003455080106448922,0.0037396734306560427
