target_id,series,meson,muB_MeV,xi,T_MeV,literature_mass_MeV,julia_mass_MeV,abs_diff_MeV,rel_diff,rtol
lit_mass_pi_muB0_xi0_T120,digitized_wpd_20260321_corrected,pi,0.0,0.0,120.0,135.72321886788995,134.9639778927633,0.7592409751266587,0.005594038967390594,0.02
lit_mass_pi_muB0_xi0_T140,digitized_wpd_20260321_corrected,pi,0.0,0.0,140.0,135.72321886788995,134.9462676046544,0.77695126323556,0.005724527237980021,0.02
lit_mass_pi_muB0_xi0_T160,digitized_wpd_20260321_corrected,pi,0.0,0.0,160.0,135.72321886788995,134.84468815911407,0.8785307087758838,0.006472958098871989,0.02
lit_mass_pi_muB0_xi0_T180,digitized_wpd_20260321_corrected,pi,0.0,0.0,180.0,135.72321886788995,134.80270547624494,0.9205133916450166,0.006782283822350429,0.02
lit_mass_pi_muB0_xi0_T200,digitized_wpd_20260321_corrected,pi,0.0,0.0,200.0,149.95312120247922,148.61615275314236,1.3369684493368652,0.008915909443002383,0.02
lit_mass_pi_muB0_xi0_T220,digitized_wpd_20260321_corrected,pi,0.0,0.0,220.0,243.32990272792347,240.9819795649807,2.3479231629427773,0.00964913533692602,0.02
lit_mass_pi_muB0_xi0_T240,digitized_wpd_20260321_corrected,pi,0.0,0.0,240.0,349.88101611931245,347.70722539662177,2.1737907226906827,0.00621294275065613,0.02
lit_mass_pi_muB0_xi0_T260,digitized_wpd_20260321_corrected,pi,0.0,0.0,260.0,441.7157882317523,439.5642456083583,2.1515426233939934,0.004870875528372911,0.02
lit_mass_K_muB0_xi0_T120,digitized_wpd_20260321_corrected,K,0.0,0.0,120.0,500.6365793406769,497.65628506073784,2.9802942799390735,0.005953009434236767,0.01
lit_mass_K_muB0_xi0_T140,digitized_wpd_20260321_corrected,K,0.0,0.0,140.0,498.6370540778123,497.5719322915216,1.0651217862907174,0.002136066258173636,0.01
lit_mass_K_muB0_xi0_T160,digitized_wpd_20260321_corrected,K,0.0,0.0,160.0,497.63729144638,497.03672738166375,0.6005640647162522,0.0012068309088547526,0.01
lit_mass_K_muB0_xi0_T180,digitized_wpd_20260321_corrected,K,0.0,0.0,180.0,493.8132071100664,493.45067251204,0.3625345980264001,0.0007341533049471365,0.01
lit_mass_K_muB0_xi0_T200,digitized_wpd_20260321_corrected,K,0.0,0.0,200.0,501.36666192807985,500.4732580714009,0.8934038566789582,0.0017819371021663888,0.01
lit_mass_K_muB0_xi0_T220,digitized_wpd_20260321_corrected,K,0.0,0.0,220.0,534.3241311816598,533.0909113150082,1.233219866651666,0.0023079995730763566,0.01
lit_mass_K_muB0_xi0_T240,digitized_wpd_20260321_corrected,K,0.0,0.0,240.0,557.7106723020432,556.5886566641881,1.1220156378551565,0.0020118238606119027,0.01
lit_mass_K_muB0_xi0_T260,digitized_wpd_20260321_corrected,K,0.0,0.0,260.0,578.6268304381834,577.9277371889299,0.6990932492535649,0.0012081936275304662,0.01
lit_mass_pi_muB600_xi0_T160,digitized_wpd_20260321_corrected,pi,600.0,0.0,160.0,138.48904251710192,135.99660197142032,2.4924405456816032,0.01799738448891228,0.03
lit_mass_pi_muB600_xi0_T180,digitized_wpd_20260321_corrected,pi,600.0,0.0,180.0,193.78446221058667,191.57460676698724,2.209855443599423,0.011403677149295698,0.03
lit_mass_pi_muB600_xi0_T200,digitized_wpd_20260321_corrected,pi,600.0,0.0,200.0,302.14616993783363,299.374925901357,2.7712440364766167,0.00917186551478312,0.03
lit_mass_pi_muB600_xi0_T220,digitized_wpd_20260321_corrected,pi,600.0,0.0,220.0,392.59360276651563,389.6908960083721,2.9027067581435517,0.007393668000927304,0.03
lit_mass_pi_muB600_xi0_T240,digitized_wpd_20260321_corrected,pi,600.0,0.0,240.0,473.11621253437954,469.93183550090714,3.1843770334724013,0.006730644499401941,0.03
lit_mass_pi_muB600_xi0_T260,digitized_wpd_20260321_corrected,pi,600.0,0.0,260.0,544.9640581316115,541.8290095119518,3.135048619659756,0.005752762173726007,0.03
lit_mass_K_muB600_xi0_T160,digitized_wpd_20260321_corrected,K,600.0,0.0,160.0,498.08296947608545,496.5208033090608,1.5621661670246567,0.0031363573194800056,0.01
lit_mass_K_muB600_xi0_T180,digitized_wpd_20260321_corrected,K,600.0,0.0,180.0,524.7344415060368,522.1721993063313,2.5622421997054516,0.004882931244900902,0.01
lit_mass_K_muB600_xi0_T200,digitized_wpd_20260321_corrected,K,600.0,0.0,200.0,559.9856728963933,557.6234937745664,2.362179121826898,0.0042182849243429495,0.01
lit_mass_K_muB600_xi0_T220,digitized_wpd_20260321_corrected,K,600.0,0.0,220.0,575.8368775072125,573.6912010394954,2.1456764677171805,0.003726188008322383,0.01
lit_mass_K_muB600_xi0_T240,digitized_wpd_20260321_corrected,K,600.0,0.0,240.0,595.2349202729217,593.147115693961,2.087804578960686,0.003507530401615894,0.01
lit_mass_K_muB600_xi0_T260,digitized_wpd_20260321_corrected,K,600.0,0.0,260.0,623.2914363239762,621.1379144818133,2.153521842162945,0.003455080106448922,0.01
