sqrt_s_NN_GeV,channel,status,reason,passed,density
3.0,pi_plus,accepted,,true,0.00011787920283532811
3.0,pi_minus,accepted,,true,0.00013143653174250758
3.0,K_plus,accepted,,true,5.963049234891327e-5
3.0,K_minus,accepted,,true,1.4796681658028416e-6
5.0,pi_plus,accepted,,true,0.0010039570388583378
5.0,pi_minus,accepted,,true,0.0011482526051399221
5.0,K_plus,accepted,,true,0.0005384669612235127
5.0,K_minus,accepted,,true,9.436301678206436e-5
7.7,pi_plus,accepted,,true,0.0021640198473203004
7.7,pi_minus,accepted,,true,0.0024761817546128015
7.7,K_plus,accepted,,true,0.001176650766615917
7.7,K_minus,accepted,,true,0.0003490454428046391
11.5,pi_plus,accepted,,true,0.003121639738927166
11.5,pi_minus,accepted,,true,0.0035149495779074045
11.5,K_plus,accepted,,true,0.0016305202440122528
11.5,K_minus,accepted,,true,0.0006488712531027375
19.6,pi_plus,accepted,,true,0.003982664995572493
19.6,pi_minus,accepted,,true,0.0043486313388694745
19.6,K_plus,accepted,,true,0.0018863996074145004
19.6,K_minus,accepted,,true,0.0010124238767864984
27.0,pi_plus,accepted,,true,0.0042986007213334084
27.0,pi_minus,accepted,,true,0.004608555684046746
27.0,K_plus,accepted,,true,0.0019131118964654933
27.0,K_minus,accepted,,true,0.0011847377228974341
39.0,pi_plus,accepted,,true,0.004530048903710754
39.0,pi_minus,accepted,,true,0.004769522299616403
39.0,K_plus,accepted,,true,0.001892559887053223
39.0,K_minus,accepted,,true,0.0013363137714041736
62.4,pi_plus,accepted,,true,0.004694742651382911
62.4,pi_minus,accepted,,true,0.0048565386284914165
62.4,K_plus,accepted,,true,0.0018418371725428698
62.4,K_minus,accepted,,true,0.001468923264044307
130.0,pi_plus,accepted,,true,0.004804069505770912
130.0,pi_minus,accepted,,true,0.0048860191391327835
130.0,K_plus,accepted,,true,0.0017716116445643003
130.0,K_minus,accepted,,true,0.0015835568929320448
200.0,pi_plus,accepted,,true,0.004830916826501007
200.0,pi_minus,accepted,,true,0.004884943071814182
200.0,K_plus,accepted,,true,0.001743614796661281
200.0,K_minus,accepted,,true,0.0016197394010930362
