sqrt_s_NN_GeV,T_MeV,muB_MeV,Kplus_over_pi_plus,Kminus_over_pi_minus,plus_passed,minus_passed,production_default
3.0,79.95694382094246,719.0764156129742,0.5058610078337089,0.011257662890113415,true,true,false
5.0,118.52360804114599,553.0655391120507,0.5363446247021059,0.08217966705206439,true,true,false
7.7,139.61211954370506,421.6498501015441,0.543733814675018,0.1409611560841256,true,true,false
11.5,151.59341394309754,315.9801908443049,0.5223281289251605,0.1846032891001064,true,true,false
19.6,160.00841768054002,205.95830446557915,0.47365259430848455,0.2328143725905496,true,true,false
27.0,162.57468967201314,156.25373312626925,0.44505457019326367,0.25707353976400754,true,true,false
39.0,164.23848793077158,112.30359749291662,0.41777912938267564,0.28017769651934515,true,true,false
62.4,165.26741420719728,72.52484031227822,0.39231909165464635,0.30246300429419165,true,true,false
130.0,165.8213120441032,35.84543710605646,0.36877310838990635,0.32409960907625696,true,true,false
200.0,165.9230564285382,23.52517985611511,0.36092834119940065,0.331577948254675,true,true,false
