comparison,T_MeV,muq_MeV,reference,candidate,kpi_candidate,kpi_reference,relative_diff
nodes_40_vs_48_qmax12_omega10,160.0,0.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,0.669700,0.691746,0.03187007948004038
nodes_40_vs_48_qmax12_omega10,160.0,300.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,1.677621,1.588464,0.05612780648475504
nodes_40_vs_48_qmax12_omega10,180.0,0.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,0.690915,0.705446,0.020598316525999256
nodes_40_vs_48_qmax12_omega10,180.0,300.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,1.655237,1.769054,0.06433777600909855
nodes_40_vs_48_qmax12_omega10,200.0,0.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,0.726196,0.758662,0.04279376059430945
nodes_40_vs_48_qmax12_omega10,200.0,300.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,1.712000,1.640952,0.04329681794470527
nodes_40_vs_48_qmax12_omega10,220.0,0.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,0.898866,0.897131,0.001933942757523753
nodes_40_vs_48_qmax12_omega10,220.0,300.0,q48w48_cutoff12_omega10,q40w40_cutoff12_omega10,1.612897,1.655959,0.026004267013857187
nodes_32_vs_40_qmax12_omega10,160.0,0.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,0.685798,0.669700,0.024037628789010092
nodes_32_vs_40_qmax12_omega10,160.0,300.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,1.507813,1.677621,0.10121952455292343
nodes_32_vs_40_qmax12_omega10,180.0,0.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,0.692614,0.690915,0.0024590579159520435
nodes_32_vs_40_qmax12_omega10,180.0,300.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,1.825497,1.655237,0.10286140292900645
nodes_32_vs_40_qmax12_omega10,200.0,0.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,0.758481,0.726196,0.0444576946168803
nodes_32_vs_40_qmax12_omega10,200.0,300.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,1.635268,1.712000,0.04482009345794394
nodes_32_vs_40_qmax12_omega10,220.0,0.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,0.894440,0.898866,0.0049239819950916384
nodes_32_vs_40_qmax12_omega10,220.0,300.0,q40w40_cutoff12_omega10,q32w32_cutoff12_omega10,1.619846,1.612897,0.0043083966304109135
cutoff_8_vs_10_q32,160.0,0.0,q32w32_cutoff10,q32w32_cutoff8,0.649801,0.676837,0.039944624776718854
cutoff_8_vs_10_q32,160.0,300.0,q32w32_cutoff10,q32w32_cutoff8,1.720711,1.689105,0.018711684590359996
cutoff_8_vs_10_q32,180.0,0.0,q32w32_cutoff10,q32w32_cutoff8,0.671719,0.698666,0.03856921619200026
cutoff_8_vs_10_q32,180.0,300.0,q32w32_cutoff10,q32w32_cutoff8,1.681883,1.666916,0.008978856763028223
cutoff_8_vs_10_q32,200.0,0.0,q32w32_cutoff10,q32w32_cutoff8,0.739132,0.787263,0.06113712952342487
cutoff_8_vs_10_q32,200.0,300.0,q32w32_cutoff10,q32w32_cutoff8,1.705972,1.688396,0.0104098801466007
cutoff_8_vs_10_q32,220.0,0.0,q32w32_cutoff10,q32w32_cutoff8,0.879329,0.888954,0.01082733189793847
cutoff_8_vs_10_q32,220.0,300.0,q32w32_cutoff10,q32w32_cutoff8,1.663175,1.624479,0.023820560315030274
cutoff_10_vs_q12omega10_q32,160.0,0.0,q32w32_cutoff12_omega10,q32w32_cutoff10,0.676837,0.685798,0.013066529794487584
cutoff_10_vs_q12omega10_q32,160.0,300.0,q32w32_cutoff12_omega10,q32w32_cutoff10,1.689105,1.507813,0.12023506893759373
cutoff_10_vs_q12omega10_q32,180.0,0.0,q32w32_cutoff12_omega10,q32w32_cutoff10,0.698666,0.692614,0.008737911737273658
cutoff_10_vs_q12omega10_q32,180.0,300.0,q32w32_cutoff12_omega10,q32w32_cutoff10,1.666916,1.825497,0.08687004141885736
cutoff_10_vs_q12omega10_q32,200.0,0.0,q32w32_cutoff12_omega10,q32w32_cutoff10,0.787263,0.758481,0.037946896494440975
cutoff_10_vs_q12omega10_q32,200.0,300.0,q32w32_cutoff12_omega10,q32w32_cutoff10,1.688396,1.635268,0.032488864210637076
cutoff_10_vs_q12omega10_q32,220.0,0.0,q32w32_cutoff12_omega10,q32w32_cutoff10,0.888954,0.894440,0.006133446625821733
cutoff_10_vs_q12omega10_q32,220.0,300.0,q32w32_cutoff12_omega10,q32w32_cutoff10,1.624479,1.619846,0.0028601484338635335
