# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-06
# bridge: path_strategy x density_regime
# path_strategy: trho_asymmetric
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: not_applicable
# rho_values: 0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000
# asym_ud_ratio_target: 0.876
# asym_s_target: 0.0
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: strict_normal_domain
# noanom_policy: none
# gamma_zero_tol: 1.0e-12
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,constraint_mode,rho_target,rho_norm,rho_u_fm3,rho_d_fm3,rho_s_fm3,rho_u_over_rho_d,asym_ud_ratio_target,asym_s_target,constraint_residual_norm,mu_u_MeV,mu_d_MeV,mu_s_MeV,muQ_MeV,muS_MeV,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
trho_asymmetric,1,120.000000,172.034941,685.940826,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,223.088591,231.426117,61.590115,-8.337527,169.836002,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.337527,161.498475,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.023840,0.068554,1.840920,1.839878,2.773809,142.705738,338.830830,NaN,NaN,0.017201,0.029066,1.689763,,,,,ok,
trho_asymmetric,1,120.000000,172.034941,685.940826,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,223.088591,231.426117,61.590115,-8.337527,169.836002,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.337527,161.498475,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.023840,0.068554,1.840920,1.839878,2.773809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.8184307841584539"
trho_asymmetric,1,120.000000,172.034941,685.940826,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,223.088591,231.426117,61.590115,-8.337527,169.836002,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.337527,161.498475,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.023840,0.068554,1.840920,1.839878,2.773809,142.705738,338.830830,NaN,NaN,0.115268,NaN,NaN,3,-0.768431,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,1,120.000000,172.034941,685.940826,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,223.088591,231.426117,61.590115,-8.337527,169.836002,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.337527,161.498475,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.023840,0.068554,1.840920,1.839878,2.773809,142.705738,338.830830,NaN,NaN,0.023655,NaN,NaN,3,-0.768431,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,2,130.000000,149.616663,592.988163,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,191.336856,200.825654,56.687478,-9.488798,144.138175,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.488798,134.649377,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.030640,0.075724,1.839913,1.838966,2.772710,144.032155,374.751766,NaN,NaN,0.022635,0.025522,1.127551,,,,,ok,
trho_asymmetric,2,130.000000,149.616663,592.988163,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,191.336856,200.825654,56.687478,-9.488798,144.138175,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.488798,134.649377,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.030640,0.075724,1.839913,1.838966,2.772710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.6823667854085792"
trho_asymmetric,2,130.000000,149.616663,592.988163,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,191.336856,200.825654,56.687478,-9.488798,144.138175,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.488798,134.649377,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.030640,0.075724,1.839913,1.838966,2.772710,144.032155,374.751766,NaN,NaN,0.122501,NaN,NaN,3,-0.632367,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,2,130.000000,149.616663,592.988163,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,191.336856,200.825654,56.687478,-9.488798,144.138175,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.488798,134.649377,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.030640,0.075724,1.839913,1.838966,2.772710,144.032155,374.751766,NaN,NaN,0.028046,NaN,NaN,3,-0.632367,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,3,140.000000,121.674404,481.688244,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,153.858379,163.914932,47.249899,-10.056553,116.665033,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-10.056553,106.608480,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.041011,0.083063,1.836846,1.836048,2.770203,144.712679,402.071411,NaN,NaN,0.029281,0.024127,0.823981,,,,,ok,
trho_asymmetric,3,140.000000,121.674404,481.688244,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,153.858379,163.914932,47.249899,-10.056553,116.665033,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-10.056553,106.608480,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.041011,0.083063,1.836846,1.836048,2.770203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.5402630669383842"
trho_asymmetric,3,140.000000,121.674404,481.688244,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,153.858379,163.914932,47.249899,-10.056553,116.665033,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-10.056553,106.608480,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.041011,0.083063,1.836846,1.836048,2.770203,144.712679,402.071411,NaN,NaN,0.132836,NaN,NaN,3,-0.490263,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,3,140.000000,121.674404,481.688244,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,153.858379,163.914932,47.249899,-10.056553,116.665033,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-10.056553,106.608480,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.041011,0.083063,1.836846,1.836048,2.770203,144.712679,402.071411,NaN,NaN,0.032888,NaN,NaN,3,-0.490263,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,4,150.000000,87.243389,348.838657,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,-0.000000,0.876000,0.876000,0.000000,0.000000,110.097340,119.370658,32.262167,-9.273318,87.108491,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.273318,77.835173,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.058935,0.092725,1.829272,1.828683,2.764737,143.982774,428.690718,NaN,NaN,0.037620,0.023320,0.619886,,,,,ok,
trho_asymmetric,4,150.000000,87.243389,348.838657,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,-0.000000,0.876000,0.876000,0.000000,0.000000,110.097340,119.370658,32.262167,-9.273318,87.108491,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.273318,77.835173,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.058935,0.092725,1.829272,1.828683,2.764737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.3944476975342474"
trho_asymmetric,4,150.000000,87.243389,348.838657,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,-0.000000,0.876000,0.876000,0.000000,0.000000,110.097340,119.370658,32.262167,-9.273318,87.108491,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.273318,77.835173,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.058935,0.092725,1.829272,1.828683,2.764737,143.982774,428.690718,NaN,NaN,0.151605,NaN,NaN,2,-0.344448,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,4,150.000000,87.243389,348.838657,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,-0.000000,0.876000,0.876000,0.000000,0.000000,110.097340,119.370658,32.262167,-9.273318,87.108491,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-9.273318,77.835173,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.058935,0.092725,1.829272,1.828683,2.764737,143.982774,428.690718,NaN,NaN,0.038733,NaN,NaN,2,-0.344448,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,5,160.000000,47.732009,197.941257,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,61.589866,68.175696,13.430466,-6.585830,54.745230,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-6.585830,48.159400,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.097213,0.116210,1.808591,1.808250,2.750851,141.277359,455.126946,NaN,NaN,0.048279,0.022837,0.473018,,,,,ok,
trho_asymmetric,5,160.000000,47.732009,197.941257,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,61.589866,68.175696,13.430466,-6.585830,54.745230,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-6.585830,48.159400,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.097213,0.116210,1.808591,1.808250,2.750851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.24405887005382423"
trho_asymmetric,5,160.000000,47.732009,197.941257,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,61.589866,68.175696,13.430466,-6.585830,54.745230,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-6.585830,48.159400,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.097213,0.116210,1.808591,1.808250,2.750851,141.277359,455.126946,NaN,NaN,0.186927,NaN,NaN,2,-0.194059,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,5,160.000000,47.732009,197.941257,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,61.589866,68.175696,13.430466,-6.585830,54.745230,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-6.585830,48.159400,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.097213,0.116210,1.808591,1.808250,2.750851,141.277359,455.126946,NaN,NaN,0.045940,NaN,NaN,2,-0.194059,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,6,170.000000,14.163213,63.314389,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,19.381430,21.966480,1.141730,-2.585049,20.824750,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-2.585049,18.239701,1,1,stable,,,,,not_applicable,none,,,,96,,,,,0.233484,0.236891,1.710132,1.710021,2.688143,137.102649,480.019667,NaN,NaN,0.061541,0.022789,0.370307,,,,,ok,
trho_asymmetric,6,170.000000,14.163213,63.314389,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,19.381430,21.966480,1.141730,-2.585049,20.824750,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-2.585049,18.239701,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.233484,0.236891,1.710132,1.710021,2.688143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,failed,"ArgumentError: strict BW omega_min must exceed μ to avoid Bose pole, got omega_min=0.05, μ=0.0924338909171944"
trho_asymmetric,6,170.000000,14.163213,63.314389,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,19.381430,21.966480,1.141730,-2.585049,20.824750,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-2.585049,18.239701,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.233484,0.236891,1.710132,1.710021,2.688143,137.102649,480.019667,NaN,NaN,0.243288,NaN,NaN,1,-0.042434,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
trho_asymmetric,6,170.000000,14.163213,63.314389,0.000000,FixedAsymmetricRho,0.050000,0.050000,0.011207,0.012793,0.000000,0.876000,0.876000,0.000000,0.000000,19.381430,21.966480,1.141730,-2.585049,20.824750,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-2.585049,18.239701,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,4.000000,12,0.050000,4.000000,12,,0.233484,0.236891,1.710132,1.710021,2.688143,137.102649,480.019667,NaN,NaN,0.052320,NaN,NaN,1,-0.042434,0.000000,0,unsafe_bose_domain,strict_normal_domain found omega <= mu_M support; use an explicit diagnostic density_policy to continue
