path_family,path_profile,path_segment,path_point_index,path_order_key,path_label,freezeout_profile,sigma_target,sqrt_s_NN_GeV,T_MeV,muB_MeV,muq_MeV,xi,equilibrium_converged,equilibrium_iterations,equilibrium_residual_norm,Phi,Phibar,m_u,m_d,m_s,M_pi,Gamma_pi,converged_pi,residual_pi,threshold_pi,gap_pi,M_K,Gamma_K,converged_K,residual_K,threshold_K,gap_K,M_eta,Gamma_eta,converged_eta,residual_eta,thr_uu_eta,thr_ss_eta,thr_min_eta,gap_uu_eta,gap_ss_eta,gap_min_eta,M_eta_prime,Gamma_eta_prime,converged_eta_prime,residual_eta_prime,thr_uu_eta_prime,thr_ss_eta_prime,thr_min_eta_prime,gap_uu_eta_prime,gap_ss_eta_prime,gap_min_eta_prime,M_sigma_pi,Gamma_sigma_pi,converged_sigma_pi,residual_sigma_pi,threshold_sigma_pi,gap_sigma_pi,M_sigma_K,Gamma_sigma_K,converged_sigma_K,residual_sigma_K,threshold_sigma_K,gap_sigma_K,M_sigma,Gamma_sigma,converged_sigma,residual_sigma,thr_uu_sigma,thr_ss_sigma,thr_min_sigma,gap_uu_sigma,gap_ss_sigma,gap_min_sigma,M_sigma_prime,Gamma_sigma_prime,converged_sigma_prime,residual_sigma_prime,thr_uu_sigma_prime,thr_ss_sigma_prime,thr_min_sigma_prime,gap_uu_sigma_prime,gap_ss_sigma_prime,gap_min_sigma_prime,message
freezeout,baseline_freezeout,baseline_freezeout,0,-39.822008,freezeout:default,default,NaN,1.000000,-39.822008,1027.494108,342.498036,0.000000,false,-1.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ArgumentError: path point T_MeV must be positive, got -39.82200768912389 for freezeout path point index 0"
freezeout,baseline_freezeout,baseline_freezeout,1,-18.820897,freezeout:default,default,NaN,1.200455,-18.820897,985.144356,328.381452,0.000000,false,-1.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ArgumentError: path point T_MeV must be positive, got -18.820897490114305 for freezeout path point index 1"
freezeout,baseline_freezeout,baseline_freezeout,2,2.368322,freezeout:default,default,NaN,1.441092,2.368322,938.698852,312.899617,0.000000,true,0.000000,0.000000,-0.000000,0.000000,1.863142,1.863142,2.784613,0.683974,0.000000,true,0.000000,3.726285,-3.042311,2.522049,0.000000,true,0.000000,4.647755,-2.125706,2.608685,0.000000,true,0.000000,3.726285,5.569225,3.726285,-1.117600,-2.960541,-1.117600,4.853566,1.360809,true,0.000000,3.726285,5.569225,3.726285,1.127282,-0.715659,1.127282,4.460014,1.276496,true,0.000000,3.726285,0.733730,5.322986,1.219157,true,0.000000,4.647755,0.675231,3.693231,0.000000,true,0.000000,3.726285,5.569225,3.726285,-0.033054,-1.875995,-0.033054,6.072422,0.973413,true,0.000000,3.726285,5.569225,3.726285,2.346137,0.503196,2.346137,
freezeout,baseline_freezeout,baseline_freezeout,3,23.271779,freezeout:default,default,NaN,1.729966,23.271779,888.417519,296.139173,0.000000,true,0.000000,0.000000,0.000006,0.000350,1.863141,1.863141,2.784612,0.683975,0.000000,true,0.000000,3.726281,-3.042306,2.522049,0.000000,true,0.000000,4.647752,-2.125703,2.608685,0.000000,true,0.000000,3.726281,5.569224,3.726281,-1.117596,-2.960539,-1.117596,4.853564,1.360806,true,0.000000,3.726281,5.569224,3.726281,1.127283,-0.715660,1.127283,4.460011,1.276494,true,0.000000,3.726281,0.733730,5.322983,1.219155,true,0.000000,4.647752,0.675231,3.693227,0.000000,true,0.000000,3.726281,5.569224,3.726281,-0.033054,-1.875997,-0.033054,6.072420,0.973412,true,0.000000,3.726281,5.569224,3.726281,2.346139,0.503196,2.346139,
freezeout,baseline_freezeout,baseline_freezeout,4,43.413028,freezeout:default,default,NaN,2.076746,43.413028,834.741724,278.247241,0.000000,true,0.000000,0.000000,0.000139,0.002946,1.863036,1.863036,2.784565,0.684007,0.000000,true,0.000000,3.726071,-3.042064,2.522058,0.000000,true,0.000000,4.647601,-2.125542,2.608696,0.000000,true,0.000000,3.726071,5.569130,3.726071,-1.117375,-2.960434,-1.117375,4.853420,1.360658,true,0.000000,3.726071,5.569130,3.726071,1.127349,-0.715710,1.127349,4.459820,1.276387,true,0.000000,3.726071,0.733748,5.322823,1.219053,true,0.000000,4.647601,0.675222,3.693019,0.000000,true,0.000000,3.726071,5.569130,3.726071,-0.033053,-1.876111,-0.033053,6.072318,0.973357,true,0.000000,3.726071,5.569130,3.726071,2.346246,0.503187,2.346246,
freezeout,baseline_freezeout,baseline_freezeout,5,62.355186,freezeout:default,default,NaN,2.493040,62.355186,778.293458,259.431153,0.000000,true,0.000000,0.000000,0.000626,0.008497,1.862585,1.862585,2.784362,0.683995,0.000000,true,0.000000,3.725169,-3.041174,2.522067,0.000000,true,0.000000,4.646947,-2.124880,2.608700,0.000000,true,0.000000,3.725169,5.568725,3.725169,-1.116469,-2.960025,-1.116469,4.852824,1.360045,true,0.000000,3.725169,5.568725,3.725169,1.127654,-0.715901,1.127654,4.459066,1.275983,true,0.000000,3.725169,0.733896,5.322161,1.218635,true,0.000000,4.646947,0.675214,3.692122,0.000000,true,0.000000,3.725169,5.568725,3.725169,-0.033047,-1.876603,-0.033047,6.071876,0.973128,true,0.000000,3.725169,5.568725,3.725169,2.346707,0.503151,2.346707,
freezeout,baseline_freezeout,baseline_freezeout,6,79.739421,freezeout:default,default,NaN,2.992783,79.739421,719.856167,239.952056,0.000000,true,0.000000,0.000000,0.001770,0.016935,1.861667,1.861667,2.783936,0.683982,0.000000,true,0.000000,3.723334,-3.039352,2.522079,0.000000,true,0.000000,4.645603,-2.123525,2.608661,0.000000,true,0.000000,3.723334,5.567873,3.723334,-1.114672,-2.959211,-1.114672,4.851630,1.358949,true,0.000000,3.723334,5.567873,3.723334,1.128297,-0.716242,1.128297,4.457631,1.275531,true,0.000000,3.723334,0.734298,5.320851,1.217942,true,0.000000,4.645603,0.675248,3.690315,0.000000,true,0.000000,3.723334,5.567873,3.723334,-0.033019,-1.877558,-0.033019,6.070959,0.972677,true,0.000000,3.723334,5.567873,3.723334,2.347626,0.503087,2.347626,
freezeout,baseline_freezeout,baseline_freezeout,7,95.312627,freezeout:default,default,NaN,3.592701,95.312627,660.336830,220.112277,0.000000,true,0.000000,0.000000,0.004087,0.027724,1.860155,1.860155,2.783187,0.684017,0.000000,true,0.000000,3.720309,-3.036292,2.522088,0.000000,true,0.000000,4.643342,-2.121254,2.608513,0.000000,true,0.000000,3.720309,5.566374,3.720309,-1.111797,-2.957862,-1.111797,4.849642,1.357436,true,0.000000,3.720309,5.566374,3.720309,1.129333,-0.716732,1.129333,4.455274,1.275339,true,0.000000,3.720309,0.734965,5.318677,1.217083,true,0.000000,4.643342,0.675335,3.687358,0.000000,true,0.000000,3.720309,5.566374,3.720309,-0.032951,-1.879016,-0.032951,6.069381,0.971990,true,0.000000,3.720309,5.566374,3.720309,2.349071,0.503006,2.349071,
freezeout,baseline_freezeout,baseline_freezeout,8,108.939636,freezeout:default,default,NaN,4.312875,108.939636,600.712329,200.237443,0.000000,true,0.000000,0.000000,0.008231,0.039981,1.857780,1.857780,2.781912,0.684065,0.000000,true,0.000000,3.715560,-3.031495,2.522058,0.000000,true,0.000000,4.639692,-2.117634,2.608129,0.000000,true,0.000000,3.715560,5.563824,3.715560,-1.107431,-2.955695,-1.107431,4.846421,1.355350,true,0.000000,3.715560,5.563824,3.715560,1.130861,-0.717403,1.130861,4.451435,1.275493,true,0.000000,3.715560,0.735875,5.315156,1.216043,true,0.000000,4.639692,0.675464,3.682731,0.000000,true,0.000000,3.715560,5.563824,3.715560,-0.032828,-1.881093,-0.032828,6.066751,0.971030,true,0.000000,3.715560,5.563824,3.715560,2.351191,0.502927,2.351191,
freezeout,baseline_freezeout,baseline_freezeout,9,120.599237,freezeout:default,default,NaN,5.177412,120.599237,541.966438,180.655479,0.000000,true,0.000000,0.000000,0.014710,0.052732,1.854211,1.854211,2.779858,0.684086,0.000000,true,0.000000,3.708423,-3.024337,2.521934,0.000000,true,0.000000,4.634070,-2.112136,2.607358,0.000000,true,0.000000,3.708423,5.559717,3.708423,-1.101065,-2.952359,-1.101065,4.841414,1.352364,true,0.000000,3.708423,5.559717,3.708423,1.132991,-0.718302,1.132991,4.445434,1.275931,true,0.000000,3.708423,0.737011,5.309687,1.214726,true,0.000000,4.634070,0.675617,3.675789,0.000000,true,0.000000,3.708423,5.559717,3.708423,-0.032634,-1.883927,-0.032634,6.062580,0.969751,true,0.000000,3.708423,5.559717,3.708423,2.354157,0.502863,2.354157,
