channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
pi,-0.3,100,1.004379940464455,-0.0,1.004387991899726,-0.0,-8.051435271161367e-6,0.0,0.6839352017348047,0.0,0.00454230393691207,0.004542303936912049
pi,-0.3,105,1.0043859475040477,-0.0,1.004400067911384,-0.0,-1.412040733628217e-5,0.0,0.6839026700806492,0.0,0.00619722276839641,0.00619722276839641
pi,-0.3,110,1.0043960965713195,-0.0,1.0044199794781903,-0.0,-2.3882906870831278e-5,0.0,0.683847907735999,0.0,0.008312107445465303,0.008312107445465303
pi,-0.3,115,1.0044127308509352,-0.0,1.0044518977914985,-0.0,-3.91669405632733e-5,0.0,0.6837585029275504,0.0,0.01099242624761033,0.01099242624761033
pi,-0.3,120,1.0044393208984388,-0.0,1.0045018986696594,-0.0,-6.2577771220651e-5,0.0,0.6836161573055375,0.0,0.014372207873787983,0.014372207873787983
pi,-0.3,125,1.0044809897014275,-0.0,1.0045788278885799,-0.0,-9.783818715236592e-5,0.0,0.683394003052114,0.0,0.01862703147938186,0.01862703147938186
pi,-0.3,130,1.004545340851257,-0.0,1.0046956718760003,-0.0,-0.00015033102474326654,0.0,0.6830523937468104,0.0,0.023995462904873772,0.023995462904873772
pi,-0.3,135,1.0046438444144452,-0.0,1.0048718641060763,-0.0,-0.00022801969163110947,0.0,0.6825319097973257,0.0,0.030816320384761894,0.030816320384761894
pi,-0.3,140,1.0047943339534222,-0.0,1.005137466093635,-0.0,-0.00034313214021275407,0.0,0.6817408380193193,0.0,0.03959796460619361,0.03959796460619361
pi,-0.3,145,1.0050259513822777,-0.0,1.0055414987053344,-0.0,-0.0005155473230566976,0.0,0.6805305272215944,0.0,0.05115899125337717,0.05115899125337717
pi,-0.3,150,1.0053902481617802,-0.0,1.0061707627227539,-0.0,-0.0007805145609736108,0.0,0.6786403927890665,0.0,0.06694989062969062,0.06694989062969063
pi,-0.3,155,1.005990879958159,-0.0,1.0072005208455683,-0.0,-0.00120964088740938,0.0,0.6755513055035044,0.0,0.08992157461950927,0.08992157461950927
pi,-0.3,160,1.0070867996780568,-0.0,1.0090718509432517,-0.0,-0.0019850512651948815,0.0,0.6699846747405973,0.0,0.1275038727414462,0.1275038727414462
pi,-0.3,165,1.009568191665804,-0.0,1.0133194801580165,-0.0,-0.0037512884922126233,0.0,0.657659886743438,0.0,0.2038774925987227,0.2038774925987227
pi,-0.3,170,1.0147208536912264,-0.0,1.0222319137725673,-0.0,-0.007511060081340837,0.0,0.6334684301073136,0.0,0.32981930955883454,0.32981930955883454
pi,-0.3,175,1.0205614793292928,-0.0,1.0324650859693403,-0.0,-0.011903606640047526,0.0,0.6092126523471106,0.0,0.42091168637306053,0.42091168637306053
pi,-0.3,180,1.027115262823713,-0.0,1.0441935646196676,-0.0,-0.017078301795954598,0.0,0.587961307464994,0.0,0.4849900494623046,0.4849900494623046
pi,-0.3,185,1.0349592962238952,-0.0,1.0587603532856813,-0.0,-0.023801057061786146,0.0,0.5770671277370638,0.0,0.5355287216623567,0.5355287216623567
pi,-0.3,190,1.0441131125883285,-0.0,1.076778733002584,-0.0,-0.03266562041425547,0.0,0.6095404864486482,0.0,0.5769408696857532,0.5769408696857532
pi,-0.3,195,1.0525169657001021,-0.0,1.093961274025991,-0.0,-0.04144430832588886,0.0,0.720362458513398,0.0,0.608273919910902,0.6082739199109019
pi,-0.3,200,1.059425906669442,2.0758459314149556e-14,1.1075146429006517,-6.484267825896287e-6,-0.04808873623120968,6.484267846654746e-6,0.8697230409174822,0.19492063440120175,0.6320829520250081,0.632082952025008
pi,-0.3,205,1.066207765189594,7.62676172322341e-15,1.1198177944949617,0.0003655414357557756,-0.053610029305367624,-0.0003655414357481488,1.0542061212235536,0.337480711801436,0.6524823468515375,0.6524823468515375
pi,-0.3,210,1.0733690579767776,1.8138869142622046e-15,1.1321077367159564,0.0007465788243106126,-0.05873867873917882,-0.0007465788243087988,1.2227274051885104,0.4695750539524694,0.6708010088879942,0.6708010088879941
pi,-0.3,215,1.081045144393829,1.2494728000103838e-14,1.1448357397928808,0.001122801654944568,-0.06379059539905185,-0.0011228016549320733,1.3795370971493848,0.6026444189867234,0.6875167932298244,0.6875167932298244
