m_fm,g_fm,m_MeV,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
2.2,0.0,434.11935688000005,0.0,0.11685939553067241,-6.460887437529511e-5,0.11685941339105202,-0.9323362980845273
2.21,0.0,436.092626684,0.0,0.11595559177182706,-6.37394738365743e-5,0.11595560929025871,-0.9357082377557595
2.22,0.0,438.065896488,0.0,0.11503815432091431,-6.288102240720184e-5,0.11503817150661547,-0.9391580298723372
2.23,0.0,440.039166292,0.0,0.1141067001064222,-6.203330696340909e-5,0.114106716968407,-0.9426887897934171
2.24,0.0,442.01243609600004,0.0,0.1131608262082346,-6.119610828584504e-5,0.11316084275531861,-0.9463038268334493
2.25,0.0,443.98570589999997,0.0,0.11220010832931615,-6.0369201411829276e-5,0.11220012457012139,-0.9500066609044002
2.26,0.0,445.95897570399995,0.0,0.11122409910844913,-5.955235590798802e-5,0.11122411505140964,-0.9538010410064722
2.27,0.0,447.932245508,0.0,0.11023232625309934,-5.874533606315541e-5,0.11023234190646701,-0.957690965821867
2.28,0.0,449.905515312,0.0,0.109224290468122,-5.794790100074887e-5,0.10922430583997281,-0.9616807067083673
2.29,0.0,451.878785116,0.0,0.10819946315202221,-5.715980470914067e-5,0.10819947825026277,-0.9657748334399682
2.3,0.0,453.85205491999994,0.0,0.10715728382770069,-5.638079598670187e-5,0.10715729866007523,-0.9699782431023722
2.31,0.0,455.825324724,0.0,0.10609715726886602,-5.561061829793129e-5,0.10609717184296365,-0.9742961926242487
2.32,0.0,457.79859452799997,0.0,0.10501845027636426,-5.48490095347437e-5,0.10501846459962667,-0.9787343355136747
2.33,0.0,459.771864332,0.0,0.10392048805026251,-5.4095701675437036e-5,0.1039205021299921,-0.983298763477004
2.34,0.0,461.745134136,0.0,0.10280255009327004,-5.3350420332359816e-5,0.10280256393663849,-0.987996053729378
2.35,0.0,463.71840394000003,0.0,0.10166386556851123,-5.2612884175705366e-5,0.1016638791825686,-0.9928333229685328
2.36,0.0,465.69167374399996,0.0,0.10050360801916604,-5.188280421877106e-5,0.10050362141085041,-0.9978182891846528
2.37,0.0,467.664943548,0.0,0.09932088933826178,-5.115988294569079e-5,0.09932090251440964,-1.0029593427295644
2.38,0.0,469.638213352,0.0,0.098114752852897,-5.04438132580623e-5,0.09811476582025437,-1.00826562838263
2.39,0.0,471.611483156,0.0,0.09688416535698051,-4.9734277211006817e-5,0.09688417812221493,-1.0137471405473302
2.4,0.0,473.58475295999995,0.0,0.09562800788833183,-4.9030944502002904e-5,0.09562802045804553,-1.0194148342169367
2.41,0.0,475.55802276400004,0.0,0.09434506499716805,-4.833347066592053e-5,0.09434507737791226,-1.025280754994352
2.42,0.0,477.53129256799997,0.0,0.09303401219014493,-4.764149491781611e-5,0.09303402438843583,-1.0313581922872508
2.43,0.0,479.504562372,0.0,0.09169340115247311,-4.695463756922841e-5,0.0916934131748096,-1.0376618608902606
2.44,0.0,481.477832176,0.0,0.0903216422435295,-4.6272496922572515e-5,0.09032165409641313,-1.0442081176024989
2.45,0.0,483.45110198000003,0.0,0.0889169836194398,-4.5594645520785626e-5,0.08891699530939755,-1.0510152214408408
2.46,0.0,485.42437178399996,0.0,0.08747748614585714,-4.492062559229015e-5,0.08747749767946744,-1.0581036485829878
2.47,0.0,487.39764158800006,0.0,0.08600099300603546,-4.424994348053296e-5,0.08600100438995849,-1.0654964766812056
2.48,0.0,489.370911392,0.0,0.08448509255443418,-4.358206277769311e-5,0.08448510379544731,-1.0732198580294081
2.49,0.0,491.344181196,0.0,0.08292707247113194,-4.2916395784943495e-5,0.08292708357617189,-1.081303607848683
2.5,0.0,493.317451,0.0,0.08132386257097993,-4.225229278226328e-5,0.08132387354719323,-1.0897819436086817
2.51,0.0,495.29072080399993,0.0,0.07967196261017889,-4.158902839112438e-5,0.07967197346498345,-1.0986944252803
2.52,0.0,497.263990608,0.0,0.07796734994657162,-4.0925784016848654e-5,0.0779673606877324,-1.1080871670510266
2.53,0.0,499.23726041199996,0.0,0.07620535967788117,-4.026162491217733e-5,0.07620537031360505,-1.1180144221593171
2.54,0.0,501.210530216,0.0,0.0743805264490654,-3.959546971547129e-5,0.07438053698812169,-1.1285406905893578
2.55,0.0,503.18380002,0.0,0.07248637169521373,-3.8926049227061554e-5,0.07248638214709016,-1.1397435756894079
2.56,0.0,505.157069824,0.0,0.07051511124736147,-3.825184940325216e-5,0.07051512162247008,-1.1517177406966876
2.57,0.0,507.13033962799994,0.0,0.0684572433104613,-3.757103052893368e-5,0.06845725362041653,-1.1645805279475314
2.58,0.0,509.103609432,0.0,0.06630095059538459,-3.6881309201437784e-5,0.06630096085338881,-1.178480177623871
2.59,0.0,511.07687923599997,0.0,0.06403120201059971,-3.617977989844173e-5,0.06403121223199434,-1.1936082760817766
2.6,0.0,513.0501490400001,0.0,0.06162834482648345,-3.546263357309676e-5,0.06162835502956678,-1.210219424206957
2.61,0.0,515.0234188439999,0.0,0.05906578030439754,-3.472469008954093e-5,0.05906579051169516,-1.22866397924693
2.62,0.0,516.996688648,0.0,0.056305863410006984,-3.39585681053689e-5,0.05630587365036361,-1.2494462985609747
2.63,0.0,518.969958452,0.0,0.053292009724359976,-3.315307662250799e-5,0.05329202003665997,-1.27333781749323
2.64,0.0,520.943228256,0.0,0.04993154124187371,-3.228969586189373e-5,0.04993155168241214,-1.301624937517127
2.65,0.0,522.91649806,0.0,0.04605094114709147,-3.13333340963215e-5,0.04605095180678362,-1.336761389133536
2.66,0.0,524.889767864,0.0,0.041235644567003404,-3.0198988887751577e-5,0.04123565562514033,-1.3847270959931246
