path_family,path_profile,path_segment,path_point_index,path_order_key,path_label,freezeout_profile,sigma_target,sqrt_s_NN_GeV,T_MeV,muB_MeV,muq_MeV,xi,equilibrium_converged,equilibrium_iterations,equilibrium_residual_norm,Phi,Phibar,m_u,m_d,m_s,M_pi,Gamma_pi,converged_pi,residual_pi,root_sign_flipped_pi,threshold_pi,gap_pi,M_K,Gamma_K,converged_K,residual_K,root_sign_flipped_K,threshold_K,gap_K,M_eta,Gamma_eta,converged_eta,residual_eta,root_sign_flipped_eta,thr_uu_eta,thr_ss_eta,thr_min_eta,gap_uu_eta,gap_ss_eta,gap_min_eta,M_eta_prime,Gamma_eta_prime,converged_eta_prime,residual_eta_prime,root_sign_flipped_eta_prime,thr_uu_eta_prime,thr_ss_eta_prime,thr_min_eta_prime,gap_uu_eta_prime,gap_ss_eta_prime,gap_min_eta_prime,M_sigma_pi,Gamma_sigma_pi,converged_sigma_pi,residual_sigma_pi,root_sign_flipped_sigma_pi,threshold_sigma_pi,gap_sigma_pi,M_sigma_K,Gamma_sigma_K,converged_sigma_K,residual_sigma_K,root_sign_flipped_sigma_K,threshold_sigma_K,gap_sigma_K,M_sigma,Gamma_sigma,converged_sigma,residual_sigma,root_sign_flipped_sigma,thr_uu_sigma,thr_ss_sigma,thr_min_sigma,gap_uu_sigma,gap_ss_sigma,gap_min_sigma,M_sigma_prime,Gamma_sigma_prime,converged_sigma_prime,residual_sigma_prime,root_sign_flipped_sigma_prime,thr_uu_sigma_prime,thr_ss_sigma_prime,thr_min_sigma_prime,gap_uu_sigma_prime,gap_ss_sigma_prime,gap_min_sigma_prime,message
isentropic,default,fixed_sigma,0,100.000000,sigma=20.000000,,20.000000,NaN,100.000000,447.072199,149.024066,0.000000,true,12,0.000000,0.002146,0.016544,1.862467,1.862467,2.784274,0.683984,0.000000,true,0.000000,false,3.724933,-3.040950,2.522051,0.000000,true,0.000000,false,4.646741,-2.124690,2.608618,0.000000,true,0.000000,false,3.724933,5.568548,3.724933,-1.116315,-2.959930,-1.116315,4.852666,1.360113,true,0.000000,false,3.724933,5.568548,3.724933,1.127733,-0.715882,1.127733,4.458930,1.276351,true,0.000000,false,3.724933,0.733997,5.321999,1.218755,true,0.000000,false,4.646741,0.675258,3.691907,0.000000,true,0.000000,false,3.724933,5.568548,3.724933,-0.033027,-1.876641,-0.033027,6.071710,0.973110,true,0.000000,false,3.724933,5.568548,3.724933,2.346777,0.503162,2.346777,
isentropic,default,fixed_sigma,1,110.000000,sigma=20.000000,,20.000000,NaN,110.000000,456.038727,152.012909,0.000000,true,6,0.000000,0.004922,0.026808,1.861198,1.861198,2.783603,0.684000,0.000000,true,0.000000,false,3.722395,-3.038395,2.522037,0.000000,true,0.000000,false,4.644800,-2.122763,2.608437,0.000000,true,0.000000,false,3.722395,5.567205,3.722395,-1.113959,-2.958769,-1.113959,4.850944,1.358913,true,0.000000,false,3.722395,5.567205,3.722395,1.128549,-0.716261,1.128549,4.456864,1.276270,true,0.000000,false,3.722395,0.734469,5.320115,1.218120,true,0.000000,false,4.644800,0.675314,3.689428,0.000000,true,0.000000,false,3.722395,5.567205,3.722395,-0.032967,-1.877777,-0.032967,6.070319,0.972585,true,0.000000,false,3.722395,5.567205,3.722395,2.347923,0.503113,2.347923,
isentropic,default,fixed_sigma,2,120.000000,sigma=20.000000,,20.000000,NaN,120.000000,462.511112,154.170371,0.000000,true,4,0.000000,0.010554,0.041229,1.858122,1.858122,2.781906,0.684026,0.000000,true,0.000000,false,3.716245,-3.032219,2.521966,0.000000,true,0.000000,false,4.640029,-2.118062,2.607893,0.000000,true,0.000000,false,3.716245,5.563813,3.716245,-1.108352,-2.955919,-1.108352,4.846697,1.356123,true,0.000000,false,3.716245,5.563813,3.716245,1.130452,-0.717116,1.130452,4.451769,1.276276,true,0.000000,false,3.716245,0.735524,5.315471,1.216744,true,0.000000,false,4.640029,0.675443,3.683430,0.000000,true,0.000000,false,3.716245,5.563813,3.716245,-0.032815,-1.880382,-0.032815,6.066837,0.971392,true,0.000000,false,3.716245,5.563813,3.716245,2.350592,0.503024,2.350592,
isentropic,default,fixed_sigma,3,130.000000,sigma=20.000000,,20.000000,NaN,130.000000,465.911310,155.303770,0.000000,true,31,0.000000,0.021611,0.061143,1.851107,1.851107,2.777881,0.684045,0.000000,true,0.000000,false,3.702215,-3.018170,2.521717,0.000000,true,0.000000,false,4.628988,-2.107272,2.606422,0.000000,true,0.000000,false,3.702215,5.555762,3.702215,-1.095792,-2.949340,-1.095792,4.836832,1.349907,true,0.000000,false,3.702215,5.555762,3.702215,1.134617,-0.718931,1.134617,4.439923,1.276551,true,0.000000,false,3.702215,0.737709,5.304691,1.213889,true,0.000000,false,4.628988,0.675702,3.669765,0.000000,true,0.000000,false,3.702215,5.555762,3.702215,-0.032449,-1.885997,-0.032449,6.058642,0.968856,true,0.000000,false,3.702215,5.555762,3.702215,2.356427,0.502879,2.356427,
isentropic,default,fixed_sigma,4,140.000000,sigma=20.000000,,20.000000,NaN,140.000000,466.796759,155.598920,0.000000,true,24,0.000000,0.043394,0.089499,1.835240,1.835240,2.768469,0.684006,0.000000,true,0.000000,false,3.670479,-2.986473,2.520971,0.000000,true,0.000000,false,4.603708,-2.082737,2.602606,0.000000,true,0.000000,false,3.670479,5.536937,3.670479,-1.067873,-2.934331,-1.067873,4.814172,1.335954,true,0.000000,false,3.670479,5.536937,3.670479,1.143693,-0.722765,1.143693,4.412674,1.277433,true,0.000000,false,3.670479,0.742195,5.279910,1.207888,true,0.000000,false,4.603708,0.676202,3.638890,0.000000,true,0.000000,false,3.670479,5.536937,3.670479,-0.031589,-1.898047,-0.031589,6.039601,0.963513,true,0.000000,false,3.670479,5.536937,3.670479,2.369122,0.502664,2.369122,
isentropic,default,fixed_sigma,5,150.000000,sigma=20.000000,,20.000000,NaN,150.000000,469.206152,156.402051,0.000000,true,26,0.000000,0.090661,0.136705,1.795283,1.795283,2.744268,0.683807,0.000000,true,0.000000,false,3.590567,-2.906760,2.518827,0.000000,true,0.000000,false,4.539551,-2.020724,2.591855,0.000000,true,0.000000,false,3.590567,5.488536,3.590567,-0.998712,-2.896680,-0.998712,4.756717,1.300744,true,0.000000,false,3.590567,5.488536,3.590567,1.166150,-0.731819,1.166150,4.343291,1.279870,true,0.000000,false,3.590567,0.752724,5.216819,1.193543,true,0.000000,false,4.539551,0.677268,3.561237,0.000000,true,0.000000,false,3.590567,5.488536,3.590567,-0.029330,-1.927298,-0.029330,5.990866,0.950962,true,0.000000,false,3.590567,5.488536,3.590567,2.400299,0.502331,2.400299,
isentropic,default,fixed_sigma,6,160.000000,sigma=20.000000,,20.000000,NaN,160.000000,498.853534,166.284511,0.000000,true,10,0.000000,0.245358,0.273763,1.620482,1.620482,2.640544,0.684221,0.000000,true,0.000000,false,3.240964,-2.556743,2.511814,0.000000,true,0.000000,false,4.261026,-1.749212,2.537996,0.000000,true,0.000000,false,3.240964,5.281088,3.240964,-0.702968,-2.743092,-0.702968,4.512594,1.145841,true,0.000000,false,3.240964,5.281088,3.240964,1.271630,-0.768495,1.271630,4.042490,1.294156,true,0.000000,false,3.240964,0.801526,4.942766,1.133294,true,0.000000,false,4.261026,0.681740,3.222528,0.000000,true,0.000000,false,3.240964,5.281088,3.240964,-0.018436,-2.058560,-0.018436,5.782440,0.900625,true,0.000000,false,3.240964,5.281088,3.240964,2.541476,0.501352,2.541476,
isentropic,default,fixed_sigma,7,170.000000,sigma=20.000000,,20.000000,NaN,170.000000,525.598812,175.199604,0.000000,true,10,0.000000,0.442652,0.455634,1.161889,1.161889,2.399097,0.703605,0.000000,true,0.000000,false,2.323778,-1.620172,2.522425,0.000000,true,0.000000,false,3.560986,-1.038560,2.284834,0.000000,true,0.000000,false,2.323778,4.798194,2.323778,-0.038944,-2.513360,-0.038944,3.955373,0.718489,true,0.000000,false,2.323778,4.798194,2.323778,1.631595,-0.842821,1.631595,3.306989,1.371894,true,0.000000,false,2.323778,0.983212,4.258290,0.986447,true,0.000000,false,3.560986,0.697304,2.344754,0.003918,true,0.000000,false,2.323778,4.798194,2.323778,0.020977,-2.453440,0.020977,5.298735,0.794529,true,0.000000,false,2.323778,4.798194,2.323778,2.974958,0.500541,2.974958,
isentropic,default,fixed_sigma,8,180.000000,sigma=20.000000,,20.000000,NaN,180.000000,525.451413,175.150471,0.000000,true,8,0.000000,0.541307,0.549400,0.597351,0.597351,2.171373,0.810207,0.000000,true,0.000000,false,1.194702,-0.384495,2.586264,0.000000,true,0.000000,false,2.768724,-0.182461,2.306725,1.322193,true,0.000000,false,1.194702,4.342746,1.194702,1.112023,-2.036022,1.112023,3.503281,0.207205,true,0.000000,false,1.194702,4.342746,1.194702,2.308579,-0.839465,2.308579,2.618679,1.574085,true,0.000000,false,1.194702,1.423977,3.511178,0.833343,true,0.000000,false,2.768724,0.742454,1.371920,0.065934,true,0.000000,false,1.194702,4.342746,1.194702,0.177218,-2.970827,0.177218,4.852612,0.725336,true,0.000000,false,1.194702,4.342746,1.194702,3.657909,0.509865,3.657909,
isentropic,default,fixed_sigma,9,190.000000,sigma=20.000000,,20.000000,NaN,190.000000,556.992724,185.664241,0.000000,true,5,0.000000,0.602333,0.608455,0.245043,0.245043,2.021966,1.128789,0.332218,true,0.000000,false,0.490087,0.638703,2.715540,0.524997,true,0.000000,false,2.267009,0.448531,2.430651,1.777125,true,0.000000,false,0.490087,4.043932,0.490087,1.940565,-1.613280,1.940565,3.300476,0.213010,false,0.005840,false,0.490087,4.043932,0.490087,2.810389,-0.743456,2.810389,2.477255,1.810611,true,0.000000,false,0.490087,1.987169,3.127510,0.823536,true,0.000000,false,2.267009,0.860500,1.222614,0.335075,true,0.000000,false,0.490087,4.043932,0.490087,0.732528,-2.821317,0.732528,4.596255,0.765473,true,0.000000,false,0.490087,4.043932,0.490087,4.106168,0.552323,4.106168,
