path_id,path_label,sigma_target,xi,path_order_key,T_MeV,muB_MeV,M_pi_MeV,Gamma_pi_MeV,gap_pi_inv_fm,gap_source_pi,M_K_MeV,Gamma_K_MeV,gap_K_inv_fm,gap_source_K,source_csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,100,100,447.072199,134.968510768,0,-3.04095,gap_pi,497.668757677,0,-2.12469,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,110,110,456.038727,134.971668,0,-3.038395,gap_pi,497.665995099,0,-2.122763,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,120,120,462.511112,134.976798502,0,-3.032219,gap_pi,497.651984882,0,-2.118062,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,130,130,465.91131,134.980547715,0,-3.01817,gap_pi,497.602850459,0,-2.107272,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,140,140,466.796759,134.972851962,0,-2.986473,gap_pi,497.455644517,0,-2.082737,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,150,150,469.206152,134.933583889,0,-2.90676,gap_pi,497.032575429,0,-2.020724,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,160,160,498.853534,135.015277267,0,-2.556743,gap_pi,495.648721178,0,-1.749212,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,170,170,525.598812,138.840263835,0,-1.620172,gap_pi,497.742557975,0,-1.03856,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,180,180,525.451413,159.875716689,0,-0.384495,gap_pi,510.339716328,0,-0.182461,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,190,190,556.992724,222.740547003,65.555581286,0.638703,gap_pi,535.84936158,103.596083019,0.448531,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,200,200,596.958118,297.741579798,127.872829175,1.22304,gap_pi,557.237043129,158.869348989,0.789189,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,210,210,633.321736,362.407610968,192.497224348,1.635453,gap_pi,570.148938047,210.983212362,1.038593,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,220,220,666.4561,420.031830816,261.004028246,1.973159,gap_pi,582.295993513,268.170352905,1.272584,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,230,230,697.563905,472.376172125,333.084226787,2.266845,gap_pi,596.646994242,331.521988928,1.508822,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,240,240,727.630433,520.389777765,408.150377492,2.529505,gap_pi,614.265335437,400.24427391,1.748888,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,250,250,757.249907,564.679230934,485.649767434,2.767972,gap_pi,635.019399989,473.044321347,1.988948,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,260,260,786.688862,605.704303542,565.173929723,2.986537,gap_pi,658.169803629,548.8255851,2.224404,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,270,270,816.026286,643.841298178,646.452526369,3.188217,gap_pi,682.84021715,626.879661239,2.451772,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
xi0__sigma20__sigma=20p000000,sigma=20.000000,20,0,280,280,845.266286,679.401794175,729.307765745,3.375263,gap_pi,708.262446541,706.810317148,2.668982,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma20p0.csv
