channel,xi,muB_MeV,T_Mott_MeV,gap_source,bracket_T_low_MeV,bracket_T_high_MeV,gap_low_inv_fm,gap_high_inv_fm,bracket_gap_jump_inv_fm,bracket_mass_jump_inv_fm,bracket_threshold_jump_inv_fm,bracket_kind,M_inv_fm,M_MeV,Gamma_inv_fm,Gamma_MeV,threshold_inv_fm,threshold_MeV,source_csv
K,-0.3,0,195.072848664,M_K-m_u+m_s,195,200,-0.00443261543066,0.299801888257,0.304234503687,0.0944234905238,0.209811013164,continuous_bracket,2.51642997452,496.559577583,0.005937530108,1.17163500362,2.51642997452,496.559577583,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,200,191.420435725,M_K-m_u+m_s,190,195,-0.0856154406688,0.215754903549,0.301370344218,0.0447481478592,0.256622196359,continuous_bracket,2.55517469734,504.204957502,0.0962768206735,18.998016193,2.55517469734,504.204957502,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,400,180.939225548,M_K-m_u+m_s,180,185,-0.0561633538634,0.24282422149,0.298987575353,0.058908176939,0.240079398415,continuous_bracket,2.57416792207,507.952833559,0.0667834934165,13.1781864054,2.57416792207,507.952833559,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,600,162.667065129,M_K-m_u+m_s,160,165,-0.195113305037,0.170669485393,0.36578279043,0.0451761041782,0.320606686251,continuous_bracket,2.62703767101,518.385462507,0.151878758605,29.9697797992,2.62703767101,518.385462507,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,800,134.442000693,M_K-m_u+m_s,130,135,-1.58160336223,0.198679298217,1.78028266044,0.239914568286,1.54036809216,continuous_bracket,2.72939280627,538.582894283,0.258775193885,51.0633326838,2.72939280627,538.582894283,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,900,114.212726088,M_K-m_u+m_s,110,115,-1.84493297325,0.344780925241,2.18971389849,0.365091390699,1.8246225078,continuous_bracket,2.82820925279,558.082047226,0.325625971668,64.2547961114,2.82820925279,558.082047226,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,-0.3,1000,74.2597453038,M_K-m_u+m_s,70,75,-2.05742056675,0.357536690101,2.41495725685,0.439306301166,1.97565095569,branch_jump,2.89670088652,571.597295835,0.352821458492,69.6211999398,2.89670088652,571.597295835,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0,0,206.035647477,M_K-m_u+m_s,205,210,-0.0533891905657,0.204368355949,0.257757546515,0.0358860620025,0.221871484513,continuous_bracket,2.54698739117,502.589380937,0.0720850547912,14.2243276068,2.54698739117,502.589380937,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0,200,203.026853068,M_K-m_u+m_s,200,205,-0.15234099963,0.0993081492012,0.251649148831,0.00579770738406,0.257446856215,continuous_bracket,2.54721280976,502.633862111,0.144370351342,28.4881683193,2.54721280976,502.633862111,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0,400,193.239597599,M_K-m_u+m_s,190,195,-0.166779620171,0.0906283063781,0.25740792655,0.00596595221723,0.263373878767,continuous_bracket,2.5638093804,505.908813607,0.14554518827,28.7199953657,2.5638093804,505.908813607,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
