# tr_p_max_fm: 8.0
# sigma_grid_n: 128
# provenance.equilibrium_backend: models.solve_constraint(FixedMu) with phase-aware xi/T continuity and legacy fallback
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# tau_p_nodes: 28
# tau_interpolation_mode: linear
# gc_every_n: 5
# tau_threshold_subtraction: true
# tau_asym_extra_points: 10
# note.tau_threshold_hint: for near-threshold sharp channels, linear+threshold_subtraction often more robust than pchip
# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tau_asym_window: 0.6
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# git_commit: f196bce86483267108100538d0befbf4ca99803a
# tau_n_sigma_points: 6
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# provenance.integration_mode: finite_15
# tau_asym_fit_min_points: 8
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# tau_angle_nodes: 8
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
120.0,0.0,0.0,0.0,0.6081276861215275,0.0,true,0,8.80361180962377e-12,models,phase_aware_default_hadron,unknown,hadron,first_order_possible,0.0,0.011924161160076155,0.011924161160045845,1.8616145963700883,1.8616145963700883,2.783723091974917,8.402476486581619e-16,5.2515478041135116e-15,-21.608645347277754,21.608645347277754,-21.600893604394997,0.012746900132427456,-4263.968736912829,4263.968736912829,-4262.439108896937,-631.9307351794364,0.00045553526805177763,0.00045553526805177763,0.00014982612488931144,0.00045553526805070514,0.00045553526805070514,0.00014982612488893569,2012.8477602009498,2012.8477602009498,2344.5291127966943,2012.8477601992024,2012.8477601992024,2344.5291127958008,0.0004968085613688769,0.0004968085613688769,0.00042652488064314983,0.0004968085613693082,0.0004968085613693082,0.0004265248806433124,2.2110360336665584,0.028705315344096118,1.4463448775043826,173.45676287537523,113.46640065257559,0.04720277665233562,0.0002721299294986252,0.654148035346991
130.0,0.0,0.0,0.0,0.6588049932983214,0.0,true,0,3.9827628100404187e-13,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,0.0,0.019772139238311143,0.019772139238311143,1.8594354383808027,1.8594354383808027,2.7824003869963057,0.0,0.0,-21.609696523361837,21.609696523361837,-21.589122571880615,0.03122919785142836,-4264.176162315369,4264.176162315369,-4260.116366594683,-458.7517653657056,0.0011260023058972434,0.0011260023058972434,0.0004110743016095275,0.0011260023058972434,0.0011260023058972434,0.0004110743016095275,802.0613660869997,802.0613660869997,940.1099807048628,802.0613660870017,802.0613660870017,940.1099807048628,0.0012467873934368383,0.0012467873934368383,0.001063705332912468,0.001246787393436835,0.001246787393436835,0.001063705332912468,2.36927213743912,0.027395449848030894,1.592845796857826,75.86721082977655,51.00501794620936,0.04158354919393519,0.0005481096344405794,0.6722933054788246
140.0,0.0,0.0,0.0,0.7094823004751154,0.0,true,0,1.919752310676902e-11,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.032217596183436656,0.032217596183436656,1.8546692630672454,1.8546692630672454,2.7794428477000324,0.0,0.0,-21.612188985856832,21.612188985856832,-21.560673636558864,0.0726097737229941,-4264.667992413267,4264.667992413267,-4254.502624092048,-340.9836927899936,0.002621090035993684,0.002621090035993684,0.001045679564131883,0.002621090035993684,0.002621090035993684,0.001045679564131883,341.2979709474489,341.2979709474489,402.9874777428798,341.2979709474486,341.2979709474486,402.9874777428798,0.0029299910492405893,0.0029299910492405893,0.0024814666837812646,0.002929991049240592,0.002929991049240592,0.0024814666837812646,2.5300040409566655,0.026332793284764774,1.7907873788347952,34.84384968074157,24.66317255947718,0.03711550417414307,0.001065195278771308,0.7078199678122443
150.0,0.0,0.0,0.0,0.7601596076519094,0.0,true,0,1.2823247546040216e-9,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.053053685449978905,0.053053685449978905,1.844194170907689,1.844194170907689,2.7728258472341016,0.0,0.0,-21.617921366201944,21.617921366201944,-21.49109230703042,0.16684530182193225,-4265.799145717272,4265.799145717272,-4240.772350443983,-258.5933283087261,0.005965886096408776,0.005965886096408776,0.002568217022705859,0.005965886096408776,0.005965886096408776,0.002568217022705859,148.98975587042398,148.98975587042398,176.8996826090784,148.98975587042378,148.98975587042378,176.8996826090784,0.006711870854192805,0.006711870854192805,0.005652921391667214,0.006711870854192814,0.006711870854192814,0.005652921391667214,2.685549666463919,0.02543466824996566,2.0831036315763667,16.096046080638853,12.485239972771815,0.033459641888276506,0.002078749136318855,0.7756712369126291
160.0,0.0,0.0,0.0,0.8108369148287032,0.0,true,0,5.874116200462949e-14,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.09382502343486614,0.09382502343486614,1.8185855870647907,1.8185855870647907,2.756468251680783,0.0,0.0,-21.631483342930093,21.631483342930093,-21.297957107041462,0.4113357813255096,-4268.475289633293,4268.475289633293,-4202.661564621211,-199.40450213808793,0.014260448975245194,0.014260448975245194,0.006552399001338762,0.014260448975245194,0.014260448975245194,0.006552399001338762,61.81208555791935,61.81208555791935,73.97880768853663,61.81208555791958,61.81208555791958,73.97880768853663,0.016178066003985206,0.016178066003985206,0.013517384657105724,0.016178066003985147,0.016178066003985147,0.013517384657105724,2.8248255240133435,0.024619779534023983,2.5893091970316324,6.867444195859841,6.294879547526134,0.030363417209766697,0.0044213562344011205,0.916626239397928
170.0,0.0,0.0,0.0,0.8615142220054972,0.0,true,0,8.611903273544995e-11,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.23141317295479225,0.23141317295479225,1.714054632067997,1.714054632067998,2.6903441842720452,0.0,0.0,-21.672213665193492,21.672213665193492,-20.320320577501693,1.569205769516794,-4276.512481136248,4276.512481136248,-4009.747500318393,-154.91282390147126,0.0481851231629056,0.04818512316290556,0.023306493134539325,0.0481851231629056,0.04818512316290556,0.023306493134539325,17.517622246608408,17.517622246608408,21.275954541145975,17.517622246608422,17.517622246608422,21.275954541145975,0.05708537299881611,0.05708537299881611,0.047001416461295825,0.05708537299881607,0.05708537299881607,0.047001416461295825,2.8613396910928555,0.023452817709547404,3.291599011776864,1.8234317937627444,2.0976210231437316,0.02722278647350961,0.014929424048998292,1.1503698851357547
180.0,0.0,0.0,0.0,0.9121915291822912,0.0,true,0,6.9100792994873696e-15,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.4360028762816586,0.4360028762816586,1.4585536547223803,1.45855365472238,2.5363928705287178,0.0,0.0,-21.831905432386264,21.831905432386264,-17.53930777433488,4.705807410752176,-4308.023975351138,4308.023975351138,-3460.9786414157466,-119.92705693771168,0.12985066615839508,0.12985066615839508,0.0647055049058973,0.12985066615839508,0.12985066615839508,0.0647055049058973,5.7673369971997275,5.7673369971997275,7.282937696001123,5.767336997199743,5.767336997199743,7.282937696001123,0.1733902493448085,0.1733902493448085,0.13730722982143245,0.17339024934480807,0.17339024934480807,0.13730722982143245,2.6793400608957674,0.02136098462339249,1.6056426549103766,0.5693688302614793,0.3412044979234989,0.02341721441169373,0.04112837438069715,0.5992679609222772
190.0,0.0,0.0,0.0,0.9628688363590852,0.0,true,0,1.1093557391150005e-9,models,phase_aware_continuity_hadron,hadron,hadron,crossover_possible,0.0,0.5368059790504806,0.5368059790504806,1.1561062304557737,1.156106230455774,2.3711125926329784,0.0,0.0,-22.149427440983732,22.149427440983732,-14.559388788870276,7.882733728109656,-4370.679634518219,4370.679634518219,-2872.960226177385,-94.24484913483711,0.22284467382920156,0.22284467382920148,0.11361349899062093,0.22284467382920156,0.22284467382920148,0.11361349899062093,2.8321485838434093,2.8321485838434093,3.8358958053843333,2.83214858384341,2.83214858384341,3.8358958053843333,0.3530888194583828,0.3530888194583828,0.2606952979787224,0.35308881945838266,0.35308881945838266,0.2606952979787224,2.378382261275592,0.01861013874142292,0.9336639389867005,0.3017204872459833,0.11844418081220673,0.01932780254036864,0.06405863491997904,0.39256260618339406
200.0,0.0,0.0,0.0,1.013546143535879,0.0,true,0,1.2833765185790037e-15,models,phase_aware_continuity_crossover,hadron,crossover,crossover_possible,0.0,0.6053204265570653,0.6053204265570653,0.727207300876926,0.7272073008769261,2.177534282434879,0.0,0.0,-22.638351619287125,22.638351619287125,-11.00913715504279,11.473788873266692,-4467.157566267379,4467.157566267379,-2172.39979161404,-74.78871001129801,0.34330632415084317,0.34330632415084317,0.17880035043993414,0.34330632415084317,0.34330632415084317,0.17880035043993414,1.4190506304729236,1.4190506304729236,2.10663550975305,1.4190506304729238,1.4190506304729238,2.10663550975305,0.7046964911088003,0.7046964911088003,0.47469056482259,0.7046964911088002,0.7046964911088002,0.47469056482259,1.9390120263152242,0.015129369598311893,0.6360204133270672,0.16899491944051867,0.05543246614977903,0.014927164090952235,0.0883290701304554,0.3280126191562206
210.0,0.0,0.0,0.0,1.064223450712673,0.0,true,0,4.869522940188868e-10,models,phase_aware_continuity_quark,crossover,quark,no_transition,0.0,0.6522911882882693,0.6522911882882693,0.3440638884363037,0.34406388843630364,2.027008146773125,0.0,0.0,-23.311778359753102,23.311778359753102,-7.2929195567716505,15.052157319268039,-4600.042831484145,4600.042831484145,-1439.0897944378562,-60.20671355906822,0.45985730163580707,0.45985730163580707,0.2537488524240062,0.45985730163580707,0.45985730163580707,0.2537488524240062,0.2596351325245926,0.2596351325245926,1.061226202738872,0.2596351325245932,0.2596351325245932,1.061226202738872,3.8515588790946085,3.8515588790946085,0.9423061713130942,3.8515588790945996,3.8515588790945996,0.9423061713130942,0.7449980523793287,0.00447333382009791,0.13491949273308168,0.049494437015062814,0.008963465493439488,0.004203378357338654,0.08492627880703897,0.1811004636887092
