# tr_p_max_fm: 8.0
# sigma_grid_n: 128
# provenance.equilibrium_backend: models.solve_constraint(FixedMu) with phase-aware xi/T continuity and legacy fallback
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# tau_p_nodes: 28
# tau_interpolation_mode: hybrid_threshold
# gc_every_n: 5
# tau_threshold_subtraction: true
# tau_asym_extra_points: 10
# note.tau_threshold_hint: for near-threshold sharp channels, linear+threshold_subtraction often more robust than pchip
# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tau_asym_window: 0.6
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# git_commit: f196bce86483267108100538d0befbf4ca99803a
# tau_n_sigma_points: 6
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# provenance.integration_mode: finite_15
# tau_asym_fit_min_points: 8
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# tau_angle_nodes: 8
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
200.0,0.0,0.0,-0.5,1.013546143535879,0.0,true,0,8.165094551234914e-14,models,phase_aware_default_crossover,unknown,crossover,crossover_possible,0.0,0.6517561450872602,0.6517561450872602,0.14256890255876997,0.1425689025587698,1.9338943987313224,0.0,0.0,-23.4352024415726,23.4352024415726,-6.737332758570709,16.474701018297342,-4624.397732858229,4624.397732858229,-1329.45752919876,-73.00603221081805,0.5687930790269694,0.5687930790269694,0.30650817121081003,0.5687930790269694,0.5687930790269694,0.30650817121081003,0.6113719229797152,0.6113719229797152,1.0796595897416836,0.6113719229797149,0.6113719229797149,1.0796595897416836,1.6356655620136797,1.6356655620136797,0.9262178648728135,1.6356655620136806,1.6356655620136806,0.9262178648728135,2.378921075220968,0.015620859438128165,0.9343859974025398,0.1443984368868886,0.05671641605907021,0.015412085120893359,0.1067330467916774,0.39277721616542005
200.0,0.0,0.0,-0.48,1.013546143535879,0.0,true,0,6.782802260945567e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6495242381258406,0.6495242381258406,0.152037777100344,0.15203777710034405,1.9455926237250742,0.0,0.0,-23.380590060855344,23.380590060855344,-6.977128325196979,16.18422786202204,-4613.621236678837,4613.621236678837,-1376.7756642744291,-73.07801055403645,0.5563127081637018,0.5563127081637018,0.2980634964764382,0.5563127081637018,0.5563127081637018,0.2980634964764382,0.6103670537020752,0.6103670537020752,1.0923294191983066,0.6103670537020779,0.6103670537020779,1.0923294191983066,1.6383584171764742,1.6383584171764742,0.9154747482073037,1.6383584171764671,1.6383584171764671,0.9154747482073037,2.2576238678505876,0.014994972567245763,0.8529291259574864,0.13949530908103033,0.05270125539686527,0.014794563289377213,0.10605778349710179,0.3777994811728906
200.0,0.0,0.0,-0.46,1.013546143535879,0.0,true,0,1.6957458535570957e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6473681829963216,0.6473681829963216,0.1621966253950246,0.16219662539502433,1.9566222025995437,0.0,0.0,-23.329080812020674,23.329080812020674,-7.205294448613291,15.90829037852938,-4603.457072143619,4603.457072143619,-1421.7989964377437,-73.14779041590309,0.5444588609108715,0.5444588609108715,0.29015860877023647,0.5444588609108715,0.5444588609108715,0.29015860877023647,0.6096826061942354,0.6096826061942354,1.1046911732737927,0.6096826061942355,0.6096826061942355,1.1046911732737927,1.6401976862062808,1.6401976862062808,0.9052303704359865,1.6401976862062804,1.6401976862062804,0.9052303704359865,2.1478656602440007,0.014421671464534928,0.781152747183209,0.13501549249709868,0.04910350066513066,0.014228924412087616,0.10538734591804995,0.3636878980105623
200.0,0.0,0.0,-0.44,1.013546143535879,0.0,true,0,1.1938681032730196e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6452812512920074,0.6452812512920074,0.17312138492122653,0.1731213849212266,1.967069077356479,0.0,0.0,-23.280410033816157,23.280410033816157,-7.422909926051041,15.645563064789826,-4593.853014446804,4593.853014446804,-1464.740401488839,-73.21564168619169,0.5331684328634733,0.5331684328634733,0.28273699178338596,0.5331684328634733,0.5331684328634733,0.28273699178338596,0.610997755364067,0.610997755364067,1.1174984127007375,0.610997755364065,0.610997755364065,1.1174984127007375,1.6366672237676938,1.6366672237676938,0.8948558571848252,1.6366672237676991,1.6366672237676991,0.8948558571848252,2.0524808397361847,0.013929625810143065,0.7193185482162873,0.13118612805666746,0.04597588116436065,0.013743454996087175,0.10476302029548826,0.350462978406534
200.0,0.0,0.0,-0.42,1.013546143535879,0.0,true,0,2.5734223724002145e-15,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6432570361749483,0.6432570361749483,0.18489762851779026,0.18489762851779018,1.9770120022783666,0.0,0.0,-23.234343982662676,23.234343982662676,-7.630964046564994,15.394839234120504,-4584.762939673736,4584.762939673736,-1505.7950928496352,-73.28183732949545,0.5223835224555692,0.5223835224555692,0.2757489891279469,0.5223835224555692,0.5223835224555692,0.2757489891279469,0.6122059433979378,0.6122059433979378,1.1302031219616477,0.6122059433979403,0.6122059433979403,1.1302031219616477,1.6334372620587148,1.6334372620587148,0.8847967065108974,1.6334372620587079,1.6334372620587079,0.8847967065108974,1.9647456213636787,0.01346814157710332,0.6640281990917475,0.12762365306219603,0.0431331687842522,0.01328813854504746,0.10411971626115127,0.3379715887244797
200.0,0.0,0.0,-0.4,1.013546143535879,0.0,true,0,3.3915612706039544e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6412893408340298,0.6412893408340298,0.197621551019992,0.19762155101999224,1.9865245609105602,0.0,0.0,-23.190675585894667,23.190675585894667,-7.830374200131482,15.155009452432925,-4576.145986800595,4576.145986800595,-1545.1440963140105,-73.34665799892889,0.5120503375949854,0.5120503375949854,0.26915059934029595,0.5120503375949854,0.5120503375949854,0.26915059934029595,0.6144142055559795,0.6144142055559795,1.1435421452555612,0.6144142055559745,0.6144142055559745,1.1435421452555612,1.627566535664823,1.627566535664823,0.8744758591967049,1.6275665356648363,1.6275665356648363,0.8744758591967049,1.886454172455287,0.013055241944945053,0.6153996523553291,0.12447726795395982,0.040607012109552684,0.012880757356937153,0.10347879230207185,0.3262203033293752
200.0,0.0,0.0,-0.38,1.013546143535879,0.0,true,0,1.9787511267130293e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6393720692937035,0.6393720692937035,0.21140076535082358,0.2114007653508234,1.9956769881664744,0.0,0.0,-23.149220914594586,23.149220914594586,-8.022001676140675,14.92504247086449,-4567.965861689476,4567.965861689476,-1582.9573675165782,-73.41039697976254,0.5021182222468045,0.5021182222468045,0.26290247678566614,0.5021182222468045,0.5021182222468045,0.26290247678566614,0.6146566385325226,0.6146566385325226,1.1581017308578132,0.6146566385325244,0.6146566385325244,1.1581017308578132,1.6269245905933352,1.6269245905933352,0.8634820010667749,1.6269245905933305,1.6269245905933305,0.8634820010667749,1.8108827193746415,0.012632630409145027,0.5704895311986599,0.12133183023831967,0.03822364541423083,0.012463794065729025,0.10272485003521065,0.3150339473092266
200.0,0.0,0.0,-0.36,1.013546143535879,0.0,true,0,3.4652255362769013e-15,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.637499118765392,0.637499118765392,0.22635465933888765,0.22635465933888776,2.0045378447134055,0.0,0.0,-23.109816241308966,23.109816241308966,-8.206665934322135,14.703968242625223,-4560.190256496376,4560.190256496376,-1619.3966079713316,-73.4733653482373,0.49253878984370425,0.49253878984370425,0.25696909621326214,0.49253878984370425,0.49253878984370425,0.25696909621326214,0.6140635864062067,0.6140635864062067,1.173561496414812,0.6140635864062051,0.6140635864062051,1.173561496414812,1.6284958465823995,1.6284958465823995,0.8521070289498793,1.6284958465824038,1.6284958465824038,0.8521070289498793,1.7397504846400225,0.012219931957674603,0.5297612557728958,0.1183184332238064,0.036028454838277935,0.012056611369506951,0.10189968748741922,0.30450415760769883
200.0,0.0,0.0,-0.34,1.013546143535879,0.0,true,0,5.589897131221592e-14,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6356642753377867,0.6356642753377867,0.24261390952713413,0.24261390952713396,2.0131755522010146,0.0,0.0,-23.072315574850844,23.072315574850844,-8.385157342102891,14.490862923625771,-4552.790363221207,4552.790363221207,-1654.6177784960532,-73.53589703343104,0.4832651713895975,0.48326517138959757,0.2513180532740826,0.4832651713895975,0.48326517138959757,0.2513180532740826,0.5319722647275604,0.5319722647275604,1.1912850388828085,0.5319722647275607,0.5319722647275607,1.1912850388828085,1.8797972494151198,1.8797972494151198,0.8394296640691499,1.879797249415119,1.879797249415119,0.8394296640691499,1.5261910841501707,0.0104542066835301,0.4441856625902303,0.10532092479198617,0.030652809631235556,0.010314485186692465,0.0979338645863969,0.2910419718757342
200.0,0.0,0.0,-0.32,1.013546143535879,0.0,true,0,2.9566528402187605e-15,models,phase_aware_continuity_crossover,crossover,crossover,crossover_possible,0.0,0.6338611191391901,0.6338611191391901,0.2603185303025002,0.26031853030250035,2.021659742291058,0.0,0.0,-23.036588583644512,23.036588583644512,-8.558247957622513,14.284836184677836,-4545.740463927685,4545.740463927685,-1688.7732269921175,-73.59835313173673,0.4742514159089693,0.4742514159089693,0.24591948791497678,0.4742514159089693,0.4742514159089693,0.24591948791497678,0.3396917741783322,0.3396917741783322,1.209514655450193,0.33969177417833296,0.33969177417833296,1.209514655450193,2.943845203254812,2.943845203254812,0.8267779108701998,2.9438452032548055,2.9438452032548055,0.8267779108701998,1.136377397196822,0.006993461662657686,0.30821415854098017,0.07955130758977273,0.021576317330931384,0.006899993362177024,0.08673639153436241,0.27122517510579897
