# schema: xi_smoothness_sampling_v1
# generated_utc: 2026-04-27T14:24:32Z
# seed: 4242
# random_count: 0
# near_count: 12
# T_range_MeV: [50.0, 270.0]
# muq_range_MeV: [0.0, 360.0]
sample_id,source,T_MeV,muq_MeV,muB_MeV,anchor_type,anchor_T_MeV,anchor_muq_MeV,delta_T,delta_muq,rng_seed
S001,near_phase_line,50.0,352.01137575252994,1056.0341272575897,boundary,55.0,355.1317898668947,-5.0,-3.120414114364735,4242
S002,near_phase_line,53.45412858192915,345.14682908713536,1035.4404872614061,boundary,70.0,349.9642977409437,-16.545871418070853,-4.817468653808362,4242
S003,near_phase_line,56.81759783611075,360.0,1080.0,boundary,65.0,351.91042959330935,-8.18240216388925,8.089570406690655,4242
S004,near_phase_line,57.783780479168655,334.57817417461854,1003.7345225238556,boundary,50.0,356.4642128342139,7.783780479168655,-21.886038659595386,4242
S005,near_phase_line,65.38384797168516,360.0,1080.0,boundary,80.0,345.2366351011186,-14.616152028314843,14.763364898881377,4242
S006,near_phase_line,70.23791845803795,360.0,1080.0,boundary,60.0,353.6220426214759,10.237918458037953,6.3779573785241155,4242
S007,near_phase_line,82.89244976068659,360.0,1080.0,boundary,75.0,347.75199066010737,7.892449760686588,12.248009339892633,4242
S008,near_phase_line,88.2458448518137,346.37272091085697,1039.118162732571,boundary,85.0,342.377137941382,3.2458448518137004,3.995582969474981,4242
S009,near_phase_line,89.99777219185536,313.6876734971241,941.0630204913723,boundary,95.0,335.4474618119282,-5.002227808144639,-21.759788314804098,4242
S010,near_phase_line,92.88496492997076,319.17831343788254,957.5349403136477,boundary,105.0,326.5665438661767,-12.115035070029236,-7.38823042829415,4242
S011,near_phase_line,102.72286133856485,340.9780063900322,1022.9340191700966,boundary,90.0,339.1300535847124,12.722861338564854,1.8479528053197782,4242
S012,near_phase_line,117.06161520371973,360.0,1080.0,boundary,100.0,331.27783912704615,17.061615203719725,28.72216087295385,4242
