# schema: xi_smoothness_sampling_v1
# generated_utc: 2026-04-27T12:41:10Z
# seed: 42
# random_count: 12
# near_count: 12
# T_range_MeV: [50.0, 270.0]
# muq_range_MeV: [0.0, 360.0]
sample_id,source,T_MeV,muq_MeV,muB_MeV,anchor_type,anchor_T_MeV,anchor_muq_MeV,delta_T,delta_muq,rng_seed
S001,random_uniform,61.77437524625411,109.11348946576595,327.34046839729785,,,,,,42
S002,random_uniform,73.64947562259474,117.20950865023953,351.6285259507186,,,,,,42
S003,random_uniform,92.73195496886666,290.3934396542267,871.1803189626801,,,,,,42
S004,random_uniform,95.92010265000084,166.54965342299903,499.6489602689971,,,,,,42
S005,random_uniform,132.73298356275103,288.88397523922345,866.6519257176703,,,,,,42
S006,random_uniform,148.4670321927325,51.69270892597596,155.07812677792788,,,,,,42
S007,random_uniform,155.1253810347213,63.975350008631686,191.92605002589505,,,,,,42
S008,random_uniform,164.29762363203946,284.63405558515865,853.902166755476,,,,,,42
S009,random_uniform,203.38846240173106,264.4483630536163,793.3450891608488,,,,,,42
S010,random_uniform,206.3812508155582,23.21469039539761,69.64407118619283,,,,,,42
S011,random_uniform,239.50111329196523,211.63789381039257,634.9136814311777,,,,,,42
S012,random_uniform,244.64096681184054,202.25668003279017,606.7700400983705,,,,,,42
S013,near_phase_line,52.86441060770649,88.00007679220141,264.00023037660424,boundary,65.0,117.30347653110312,-12.135589392293511,-29.303399738901703,42
S014,near_phase_line,54.757782999281474,116.14924339420872,348.4477301826262,boundary,55.0,118.3772632889649,-0.2422170007185258,-2.228019894756173,42
S015,near_phase_line,55.53332699659043,93.39272938017787,280.1781881405336,boundary,50.0,118.82140427807131,5.533326996590432,-25.428674897893444,42
S016,near_phase_line,62.616597882179114,117.22922413907392,351.68767241722173,boundary,80.0,115.07887836703954,-17.383402117820886,2.1503457720343846,42
S017,near_phase_line,64.90797193334816,144.7336875212456,434.2010625637368,boundary,70.0,116.6547659136479,-5.092028066651835,28.078921607597692,42
S018,near_phase_line,72.7715421290248,107.26136491278832,321.78409473836496,boundary,60.0,117.87401420715862,12.771542129024795,-10.6126492943703,42
S019,near_phase_line,74.7477706447836,92.44697102462315,277.34091307386944,boundary,75.0,115.9173302200358,-0.2522293552164001,-23.47035919541264,42
S020,near_phase_line,83.20486927178817,139.61645496779317,418.8493649033795,boundary,100.0,110.42594637568205,-16.79513072821183,29.19050859211113,42
S021,near_phase_line,97.06318434292832,107.07661115248192,321.22983345744575,boundary,85.0,114.12571264712733,12.063184342928324,-7.049101494645413,42
S022,near_phase_line,104.07112101897816,107.97705555179724,323.93116665539173,boundary,95.0,111.81582060397606,9.071121018978161,-3.838765052178829,42
S023,near_phase_line,104.18829509938087,101.27890716683798,303.83672150051393,boundary,90.0,113.04335119490413,14.188295099380866,-11.764444028066151,42
S024,near_phase_line,119.44575241175019,97.15846891942964,291.4754067582889,boundary,105.0,108.85551462205889,14.445752411750192,-11.697045702629254,42
