# schema: xi_smoothness_sampling_v1
# generated_utc: 2026-04-27T14:26:48Z
# base_params_csv: data/outputs/results/relaxtime/plan_c/sampling/params_24_seed42.csv
# appended_params_csv: data/outputs/results/relaxtime/plan_c/sampling/params_12_right_seed4242_raw.csv
# appended_samples: 12
# appended_sample_id_range: S025-S036
# note: S013-S024 retain previous near_phase_line semantics as left-side reference
sample_id,source,T_MeV,muq_MeV,muB_MeV,anchor_type,anchor_T_MeV,anchor_muq_MeV,delta_T,delta_muq,rng_seed
S001,random_uniform,61.77437524625411,109.11348946576595,327.34046839729785,,,,,,42
S002,random_uniform,73.64947562259474,117.20950865023953,351.6285259507186,,,,,,42
S003,random_uniform,92.73195496886666,290.3934396542267,871.1803189626801,,,,,,42
S004,random_uniform,95.92010265000084,166.54965342299903,499.6489602689971,,,,,,42
S005,random_uniform,132.73298356275103,288.88397523922345,866.6519257176703,,,,,,42
S006,random_uniform,148.4670321927325,51.69270892597596,155.07812677792788,,,,,,42
S007,random_uniform,155.1253810347213,63.975350008631686,191.92605002589505,,,,,,42
S008,random_uniform,164.29762363203946,284.63405558515865,853.902166755476,,,,,,42
S009,random_uniform,203.38846240173106,264.4483630536163,793.3450891608488,,,,,,42
S010,random_uniform,206.3812508155582,23.21469039539761,69.64407118619283,,,,,,42
S011,random_uniform,239.50111329196523,211.63789381039257,634.9136814311777,,,,,,42
S012,random_uniform,244.64096681184054,202.25668003279017,606.7700400983705,,,,,,42
S013,near_phase_line,52.86441060770649,88.00007679220141,264.00023037660424,boundary,65.0,117.30347653110312,-12.135589392293511,-29.303399738901703,42
S014,near_phase_line,54.757782999281474,116.14924339420872,348.4477301826262,boundary,55.0,118.3772632889649,-0.2422170007185258,-2.228019894756173,42
S015,near_phase_line,55.53332699659043,93.39272938017787,280.1781881405336,boundary,50.0,118.82140427807131,5.533326996590432,-25.428674897893444,42
S016,near_phase_line,62.616597882179114,117.22922413907392,351.68767241722173,boundary,80.0,115.07887836703954,-17.383402117820886,2.1503457720343846,42
S017,near_phase_line,64.90797193334816,144.7336875212456,434.2010625637368,boundary,70.0,116.6547659136479,-5.092028066651835,28.078921607597692,42
S018,near_phase_line,72.7715421290248,107.26136491278832,321.78409473836496,boundary,60.0,117.87401420715862,12.771542129024795,-10.6126492943703,42
S019,near_phase_line,74.7477706447836,92.44697102462315,277.34091307386944,boundary,75.0,115.9173302200358,-0.2522293552164001,-23.47035919541264,42
S020,near_phase_line,83.20486927178817,139.61645496779317,418.8493649033795,boundary,100.0,110.42594637568205,-16.79513072821183,29.19050859211113,42
S021,near_phase_line,97.06318434292832,107.07661115248192,321.22983345744575,boundary,85.0,114.12571264712733,12.063184342928324,-7.049101494645413,42
S022,near_phase_line,104.07112101897816,107.97705555179724,323.93116665539173,boundary,95.0,111.81582060397606,9.071121018978161,-3.838765052178829,42
S023,near_phase_line,104.18829509938087,101.27890716683798,303.83672150051393,boundary,90.0,113.04335119490413,14.188295099380866,-11.764444028066151,42
S024,near_phase_line,119.44575241175019,97.15846891942964,291.4754067582889,boundary,105.0,108.85551462205889,14.445752411750192,-11.697045702629254,42
S025,near_phase_line,50.0,352.01137575252994,1056.0341272575897,boundary,55.0,355.1317898668947,-5.0,-3.120414114364735,4242
S026,near_phase_line,53.45412858192915,345.14682908713536,1035.4404872614061,boundary,70.0,349.9642977409437,-16.545871418070853,-4.817468653808362,4242
S027,near_phase_line,56.81759783611075,360.0,1080.0,boundary,65.0,351.91042959330935,-8.18240216388925,8.089570406690655,4242
S028,near_phase_line,57.783780479168655,334.57817417461854,1003.7345225238556,boundary,50.0,356.4642128342139,7.783780479168655,-21.886038659595386,4242
S029,near_phase_line,65.38384797168516,360.0,1080.0,boundary,80.0,345.2366351011186,-14.616152028314843,14.763364898881377,4242
S030,near_phase_line,70.23791845803795,360.0,1080.0,boundary,60.0,353.6220426214759,10.237918458037953,6.3779573785241155,4242
S031,near_phase_line,82.89244976068659,360.0,1080.0,boundary,75.0,347.75199066010737,7.892449760686588,12.248009339892633,4242
S032,near_phase_line,88.2458448518137,346.37272091085697,1039.118162732571,boundary,85.0,342.377137941382,3.2458448518137004,3.995582969474981,4242
S033,near_phase_line,89.99777219185536,313.6876734971241,941.0630204913723,boundary,95.0,335.4474618119282,-5.002227808144639,-21.759788314804098,4242
S034,near_phase_line,92.88496492997076,319.17831343788254,957.5349403136477,boundary,105.0,326.5665438661767,-12.115035070029236,-7.38823042829415,4242
S035,near_phase_line,102.72286133856485,340.9780063900322,1022.9340191700966,boundary,90.0,339.1300535847124,12.722861338564854,1.8479528053197782,4242
S036,near_phase_line,117.06161520371973,360.0,1080.0,boundary,100.0,331.27783912704615,17.061615203719725,28.72216087295385,4242
