sample_id,field,label,reason,S2,S1jump,N_spike
S001,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S002,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S003,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S004,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S005,tau_u,suspect,S1jump_above_smooth,0.042102021,0.17377954,0
S005,tau_s,suspect,S1jump_above_smooth,0.028610806,0.21704345,0
S005,eta_over_s,suspect,S1jump_above_smooth,0.048642572,0.15064085,0
S005,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S005,sigma_over_T,suspect,S2_above_smooth;S1jump_above_smooth,0.086736354,0.23601805,0
S006,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S007,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S008,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S009,tau_s,suspect,S2_above_smooth;S1jump_above_smooth,0.086445564,0.27302026,0
S009,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S010,tau_u,suspect,S1jump_above_smooth,0.039479493,0.22757312,0
S010,tau_s,suspect,S1jump_above_smooth,0.04611475,0.23717447,0
S010,eta_over_s,suspect,S1jump_above_smooth,0.035204179,0.22426613,0
S010,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S010,sigma_over_T,suspect,S1jump_above_smooth,0.041120646,0.22507424,0
S011,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.17481282,0.51974121,1
S011,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S012,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S013,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S014,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S015,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S016,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S017,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S018,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S019,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S020,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S021,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S022,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S023,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S024,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S025,tau_u,not_smooth,S2_above_suspect;S1jump_above_suspect,0.53932337,2.5407807,2
S025,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.64825365,3.1994632,2
S025,eta_over_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.40561905,0.96717935,2
S025,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S025,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect;N_spike_above_suspect,0.53757414,1.5006169,5
S026,tau_u,not_smooth,S2_above_suspect;S1jump_above_suspect,0.27817113,1.3694283,2
S026,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.37779056,1.8777969,2
S026,eta_over_s,suspect,S2_above_smooth;S1jump_above_smooth,0.093512692,0.3313952,0
S026,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S026,sigma_over_T,not_smooth,S1jump_above_suspect,0.12167596,0.49977073,0
S027,tau_u,suspect,S2_above_smooth;S1jump_above_smooth,0.07080983,0.16924639,0
S027,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.24377112,1.2248649,2
S027,eta_over_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.3446387,1.685953,2
S027,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S027,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect,0.21813329,1.0259447,1
S028,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S029,tau_u,not_smooth,S1jump_above_suspect,0.10386908,0.48430012,0
S029,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.25169976,1.2637476,2
S029,eta_over_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.20789347,1.052982,1
S029,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S029,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect,0.15225345,0.75371951,0
S030,tau_u,not_smooth,S2_above_suspect;S1jump_above_suspect,0.16500815,0.81448319,0
S030,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.30213952,1.5190187,2
S030,eta_over_s,not_smooth,S1jump_above_suspect,0.10953944,0.55807233,0
S030,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S030,sigma_over_T,not_smooth,S1jump_above_suspect,0.093238648,0.46937961,0
S031,tau_u,not_smooth,S2_above_suspect;S1jump_above_suspect,0.17309193,0.87537247,0
S031,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.27440217,1.4048068,2
S031,eta_over_s,suspect,S1jump_above_smooth,0.03344226,0.18244237,0
S031,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S031,sigma_over_T,suspect,S1jump_above_smooth,0.048385074,0.25895847,0
S032,tau_u,not_smooth,S1jump_above_suspect,0.13791582,0.70970594,0
S032,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.20075628,1.023084,1
S032,eta_over_s,suspect,S2_above_smooth;S1jump_above_smooth,0.059280383,0.29358729,0
S032,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S032,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect,0.15815531,0.81142446,0
S033,tau_u,not_smooth,S1jump_above_suspect,0.12838346,0.64879144,0
S033,tau_s,not_smooth,S1jump_above_suspect,0.14404496,0.72777304,0
S033,eta_over_s,not_smooth,S1jump_above_suspect,0.10133775,0.49097534,0
S033,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S033,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect,0.28266856,1.4812586,2
S034,tau_u,not_smooth,S1jump_above_suspect,0.13789363,0.69975164,0
S034,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.15789789,0.80004808,0
S034,eta_over_s,suspect,S2_above_smooth;S1jump_above_smooth,0.081090768,0.39952162,0
S034,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S034,sigma_over_T,not_smooth,S2_above_suspect;S1jump_above_suspect,0.23146021,1.1943249,2
S035,tau_u,not_smooth,S1jump_above_suspect,0.13953963,0.73812436,0
S035,tau_s,not_smooth,S2_above_suspect;S1jump_above_suspect,0.19128683,1.0070413,0
S035,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
S035,sigma_over_T,suspect,S2_above_smooth;S1jump_above_smooth,0.065864353,0.35558485,0
S036,zeta_over_s,not_smooth,exceeds_dual_threshold_policy,NaN,NaN,0
