# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# sigma_grid_n: 60
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: finite_lambda
# gc_every_n: 5
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
100.0,0.0,0.0,0.0,0.5067730214314311,0.0,true,3,3.6974004587186915e-16,0.0037916169047974625,0.0037916169047974586,1.8629520473899848,2.7845077865987404,5.457787229951133e-5,1.3641929899894827e-5,5.457787229951128e-5,1.3641929899894818e-5,25419.699030873846,16013.865438327131,25419.699030873944,16013.865438327124,3.933956884325956e-5,6.244588502702342e-5,3.9339568843259406e-5,6.244588502702344e-5,20,4,8,6,60,finite_lambda,5
110.0,0.0,0.0,0.0,0.5574503235745741,0.0,true,3,6.084022174945858e-14,0.006923124692394325,0.006923124692393824,1.8625677648712236,2.784286877263618,0.0001680806336745457,4.8823493369441536e-5,0.00016808063367453426,4.8823493369438026e-5,8789.690855082417,5248.379807389234,8789.690855082505,5248.379807389001,0.00011376964406225676,0.00019053499112089647,0.00011376964406225564,0.00019053499112090493,20,4,8,6,60,finite_lambda,5
120.0,0.0,0.0,0.0,0.6081276257177173,0.0,true,3,6.299558097389024e-12,0.011924161160763821,0.011924161160733521,1.8616144114604545,2.78372281547457,0.000455542139404129,0.00014982603263055024,0.00045554213940305716,0.00014982603263017467,3489.2686801455447,2045.8422462148549,3489.2686801422865,2045.8422462117085,0.0002865930060617424,0.0004887962411814326,0.00028659300606201,0.0004887962411821844,20,4,8,6,60,finite_lambda,5
130.0,0.0,0.0,0.0,0.6588049278608604,0.0,true,3,4.5579752472324486e-10,0.019772139129829825,0.019772139128471505,1.8594352537086056,2.7824001106398684,0.0011260171811930957,0.00041107406391239034,0.001126017181122332,0.0004110740638846829,1529.521600720397,852.5643342121963,1529.521600682892,852.5643341752549,0.0006537992006971364,0.0011729320121325979,0.0006537992007131679,0.0011729320121834207,20,4,8,6,60,finite_lambda,5
140.0,0.0,0.0,0.0,0.7094822300040036,0.0,true,4,1.902557972277563e-15,0.03221759619677126,0.03221759619677124,1.8546690788433904,2.77944257162223,0.002621116134333912,0.0010456789812049502,0.0026211161343339105,0.001045678981204949,714.9867472215072,387.6515304688512,714.9867472215258,387.651530468851,0.0013986273226546868,0.0025796364038355125,0.0013986273226546506,0.0025796364038355142,20,4,8,6,60,finite_lambda,5
150.0,0.0,0.0,0.0,0.7601595321471466,0.0,true,4,2.38448150113868e-12,0.05305368578180749,0.05305368578181304,1.8441939875988653,2.772825571735524,0.005965926425582355,0.0025682156645575782,0.005965926425582912,0.002568215664557839,341.8785381369487,178.2234526449054,341.87853813695534,178.22345264491804,0.002925015432233488,0.005610933831432456,0.0029250154322334313,0.005610933831432058,20,4,8,6,60,finite_lambda,5
160.0,0.0,0.0,0.0,0.8108368342902897,0.0,true,7,8.899420089747423e-11,0.09382502351296054,0.09382502351296054,1.8185854063822164,2.756467977856125,0.014260507852633934,0.006552395734856962,0.014260507852633934,0.006552395734856962,154.60607623623372,79.0784776925155,154.60607623623483,79.0784776925155,0.006468051090514892,0.012645665788969106,0.0064680510905148455,0.012645665788969106,20,4,8,6,60,finite_lambda,5
170.0,0.0,0.0,0.0,0.8615141364334329,0.0,true,8,6.287748099964574e-13,0.09125284233640787,0.09125284233640787,3.2812201717973823,1.8646554038626455,0.005710860383455657,0.017499646368743387,0.005710860383455657,0.017499646368743387,229.41399382760795,222.85286629293668,229.41399382760284,222.85286629293668,0.004358932004607553,0.004487265596510279,0.0043589320046076505,0.004487265596510279,20,4,8,6,60,finite_lambda,5
180.0,0.0,0.0,0.0,0.9121914385765759,0.0,true,6,6.788786199862784e-11,0.4360028766898374,0.4360028766898374,1.4585535093467379,2.536392618246754,0.1298509048949885,0.06470547649189222,0.1298509048949885,0.06470547649189222,15.719607684167764,8.802224868326732,15.719607684167839,8.802224868326732,0.06361481915398975,0.11360764067711167,0.06361481915398945,0.11360764067711167,20,4,8,6,60,finite_lambda,5
190.0,0.0,0.0,0.0,0.9628687407197191,0.0,true,5,7.246980793240709e-13,0.5368059793303134,0.5368059793303134,1.15610611424585,2.3711123563537613,0.2228450145707441,0.1136134487330209,0.2228450145707441,0.1136134487330209,7.5538600808053795,4.943641189478655,7.553860080800649,4.943641189478655,0.13238264798431132,0.20228005263170357,0.13238264798439422,0.20228005263170357,20,4,8,6,60,finite_lambda,5
200.0,0.0,0.0,0.0,1.0135460428628622,0.0,true,1,8.769196480074015e-10,0.6053204268836208,0.6053204268836208,0.7272072327917661,2.177534066428576,0.3433056712601641,0.1788002710037589,0.3433056712601641,0.1788002710037589,3.6760406043166145,2.901274207030281,3.676040604313804,2.901274207030281,0.272031815651259,0.3446761418058417,0.272031815651467,0.3446761418058417,20,4,8,6,60,finite_lambda,5
210.0,0.0,0.0,0.0,1.0642233450060052,0.0,true,4,3.4439651130924176e-10,0.65229118871363,0.65229118871363,0.3440638520356153,2.027007944175137,0.45985867339416203,0.25374874657686847,0.45985867339416203,0.25374874657686847,1.6591681567943235,1.9065822295281958,1.6591681567943874,1.9065822295281958,0.60271166361588,0.5244987520142054,0.6027116636158568,0.5244987520142054,20,4,8,6,60,finite_lambda,5
220.0,0.0,0.0,0.0,1.1149006471491483,0.0,true,5,2.511280072781119e-11,0.6869411605314418,0.6869411605314418,0.196801160589876,1.920890906170985,0.5589308002452996,0.3357053337806414,0.5589308002452996,0.3357053337806414,1.4832342963340523,1.683589468120622,1.4832342963340621,1.683589468120622,0.6742023175108548,0.593969028041196,0.6742023175108504,0.593969028041196,20,4,8,6,60,finite_lambda,5
230.0,0.0,0.0,0.0,1.1655779492922915,0.0,true,6,1.8207657603852567e-12,0.7158142914118882,0.7158142914118882,0.13492306660166745,1.8140698922351808,0.6607994345048472,0.43095264927669114,0.6607994345048472,0.43095264927669114,1.668123521575566,1.6387730779554845,1.6681235215755714,1.6387730779554845,0.599475990276479,0.6102126117714779,0.5994759902764771,0.6102126117714779,20,4,8,6,60,finite_lambda,5
240.0,0.0,0.0,0.0,1.2162552514354346,0.0,true,7,4.1625325408745084e-10,0.7406441461307808,0.7406441461307808,0.10193518151608072,1.7005448492367277,0.770003137566643,0.5410560976097588,0.770003137566643,0.5410560976097588,1.9052429587954118,1.6428798415729213,1.9052429587954127,1.6428798415729213,0.5248674429597415,0.6086872421799168,0.5248674429597413,0.6086872421799168,20,4,8,6,60,finite_lambda,5
250.0,0.0,0.0,0.0,1.2669325535785776,0.0,true,9,1.0391687510491465e-13,0.7622712591918144,0.7622712591918144,0.08169314255411593,1.5822974973939088,0.8875606464443491,0.665867808445326,0.8875606464443491,0.665867808445326,2.1687280925565884,1.7009219927780763,2.1687280925565875,1.7009219927780763,0.46109975862449304,0.5879164384056927,0.4610997586244932,0.5879164384056927,20,4,8,6,60,finite_lambda,5
260.0,0.0,0.0,0.0,1.3176098557217208,0.0,true,9,8.748557434046234e-13,0.7812600019536059,0.7812600019536059,0.06812524466419909,1.46325004700828,1.0138093734474642,0.8042828023214761,1.0138093734474642,0.8042828023214761,2.463588991851324,1.5591221790181014,2.4635889918513194,1.5591221790181014,0.40591186407620927,0.6413865529318405,0.40591186407621,0.6413865529318405,20,4,8,6,60,finite_lambda,5
270.0,0.0,0.0,0.0,1.3682871578648639,0.0,true,4,4.902744876744691e-13,0.7980353193382965,0.7980353193382965,0.058458547896206685,1.3475804738810935,1.1488691930675028,0.9546557213268732,1.1488691930675028,0.9546557213268732,2.801533886444485,1.9719488703840609,2.8015338864444854,1.9719488703840609,0.3569473154826378,0.5071125397917837,0.35694731548263775,0.5071125397917837,20,4,8,6,60,finite_lambda,5
280.0,0.0,0.0,0.0,1.4189644600080071,0.0,true,16,3.0020430585864233e-13,0.8129360494107609,0.8129360494107609,0.05124830797818782,1.2386699916247401,1.292757934410997,1.1152734691820798,1.292757934410997,1.1152734691820798,3.195474794983763,2.2711730110180346,3.1954747949837707,2.2711730110180346,0.31294254036044783,0.4403011109892321,0.31294254036044705,0.4403011109892321,20,4,8,6,60,finite_lambda,5
290.0,0.0,0.0,0.0,1.4696417621511502,0.0,true,15,6.732392421326949e-13,0.826239781646965,0.826239781646965,0.04567015907301798,1.1385970623595743,1.445429102651795,1.2847164171198275,1.445429102651795,1.2847164171198275,3.658921267428582,2.690568077310115,3.6589212674285996,2.690568077310115,0.2733045963305957,0.37166872246538585,0.27330459633059434,0.37166872246538585,20,4,8,6,60,finite_lambda,5
300.0,0.0,0.0,0.0,1.5203190642942932,0.0,true,5,1.191136078659838e-11,0.8381757689835014,0.8381757689835014,0.04122306023277545,1.0481756996573617,1.6067856265305094,1.4619925444242445,1.6067856265305094,1.4619925444242445,4.205968222759493,3.212376077420567,4.205968222759521,3.212376077420567,0.23775738356480264,0.31129605497590657,0.23775738356480103,0.31129605497590657,20,4,8,6,60,finite_lambda,5
310.0,0.0,0.0,0.0,1.5709963664374365,0.0,true,5,2.922107000813412e-12,0.8489334327655331,0.8489334327655331,0.03758819121303759,0.9672981762440244,1.7766857668661886,1.6464896768962092,1.7766857668661886,1.6464896768962092,4.8514103432361715,3.8129724308862234,4.85141034323618,3.8129724308862234,0.20612562724037525,0.2622625833587726,0.20612562724037486,0.2622625833587726,20,4,8,6,60,finite_lambda,5
320.0,0.0,0.0,0.0,1.6216736685805795,0.0,true,5,3.8546943414985435e-12,0.8586693881453772,0.8586693881453772,0.034555141753756846,0.8953218082082173,1.9549471988656237,1.8378548586367762,1.9549471988656237,1.8378548586367762,5.611216826238065,4.5440910356660416,5.611216826238077,4.5440910356660416,0.17821446416470618,0.22006601367602813,0.17821446416470582,0.22006601367602813,20,4,8,6,60,finite_lambda,5
330.0,0.0,0.0,0.0,1.6723509707237225,0.0,true,5,1.4921397450962104e-12,0.8675136075092739,0.8675136075092739,0.03198056728731518,0.8313658540739444,2.141351185276683,2.035878492199106,2.141351185276683,2.035878492199106,6.502592022087866,5.445808345365698,6.502592022087833,5.445808345365698,0.1537848286657415,0.18362746842734284,0.15378482866574228,0.18362746842734284,20,4,8,6,60,finite_lambda,5
340.0,0.0,0.0,0.0,1.7230282728668658,0.0,true,4,7.909317645271585e-10,0.8755746589065729,0.8755746589065729,0.02976393411593429,0.7744959425157266,2.3356470983556736,2.2404117162414274,2.3356470983556736,2.2404117162414274,7.544539438313912,6.4735627947767425,7.544539438313952,6.4735627947767425,0.1325461955863915,0.15447444192660953,0.1325461955863908,0.15447444192660953,20,4,8,6,60,finite_lambda,5
350.0,0.0,0.0,0.0,1.7737055750100088,0.0,true,4,4.265032771400001e-12,0.882943968823193,0.882943968823193,0.027832809713345338,0.7238215092352842,2.5375570785425343,2.451316881429418,2.5375570785425343,2.451316881429418,8.758360687542622,7.6816376759738665,8.758360687542563,7.6816376759738665,0.11417661771138762,0.1301805737502741,0.11417661771138839,0.1301805737502741,20,4,8,6,60,finite_lambda,5
