# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# sigma_cache_max_refine: 6
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# sigma_grid_n: 18
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# y_unit.tauinv_s: 1/fm
# p_cut_factor: 8.0
# y_unit.tauinv_ubar: 1/fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_unit.tauinv_sbar: 1/fm
# title: relaxation_times_vs_T
# y_unit.tauinv_u: 1/fm
# y_scale.tau_u: log
# y_scale.tau_ubar: log
# sigma_cache_rtol: 0.01
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,p_cut_factor,sigma_cache_rtol,sigma_cache_max_refine
125.0,800.0,266.6666666666667,0.0,0.6334662767892888,1.3513947238171495,true,8,6.661338147750939e-16,0.07508452948942712,0.1343823272820807,1.757923127590392,2.7297714549375303,0.057504186596324065,0.012364425889747715,0.0007879981570331078,0.00027367773027530003,68.4655798007911,60.37095258420934,29.25758767586972,60.35504129700246,0.014605879376317575,0.01656425743167022,0.03417916784796147,0.016568624236028236,6,2,6,6,18,8.0,0.01,6
126.0,800.0,266.6666666666667,0.0,0.6385340070036032,1.3513947238171495,true,3,4.468647674116255e-15,0.08042669511099901,0.13966532017505415,1.749327763108297,2.7251426544178767,0.06230950305166158,0.013718761929401444,0.0008725747183314027,0.00030542370439059856,62.91366168245599,55.59766847839513,26.809449524903403,55.163692759202064,0.015894798891968778,0.017986365748207465,0.037300280972613634,0.018127865448840645,6,2,6,6,18,8.0,0.01,6
127.0,800.0,266.6666666666667,0.0,0.6436017372179175,1.3513947238171495,true,3,6.827871601444713e-15,0.08620770452233091,0.1452606233954276,1.739846887685835,2.720039273146179,0.06760940287621282,0.015232085471891482,0.0009668803357842725,0.00034093596868557875,57.759274437013545,51.174318319829325,24.523269912713786,50.33279216691806,0.0173132368740279,0.01954105169999918,0.040777596281381806,0.01986776328012385,6,2,6,6,18,8.0,0.01,6
128.0,800.0,266.6666666666667,0.0,0.6486694674322317,1.3513947238171495,true,3,9.409140133698202e-15,0.09247648929300444,0.15120634735993216,1.729350675771854,2.7143950081969948,0.07347438244729872,0.016926982569714387,0.0010723447698269082,0.00038074528791377343,52.93164364111426,46.87905825107746,22.384597992164565,45.83796056148396,0.018892290720843162,0.021331486538064492,0.04467357422947854,0.021815979326974357,6,2,6,6,18,8.0,0.01,6
129.0,800.0,266.6666666666667,0.0,0.6537371976465461,1.3513947238171495,true,3,1.4099832412739488e-14,0.09928979127117413,0.15754757559433807,1.7176819007309916,2.708130464700308,0.07998921327771648,0.01883032566638641,0.0011906988791808863,0.00042548518427343264,48.41131550909113,42.83045211645886,20.384045229112598,41.651295236031764,0.020656327750734445,0.0233478740145197,0.04905797591990205,0.024008857211598032,6,2,6,6,18,8.0,0.01,6
130.0,800.0,266.6666666666667,0.0,0.6588049278608604,1.3513947238171495,true,3,2.1094237467877974e-14,0.10671375054173853,0.16433789932534187,1.7046481312624597,2.701149687554872,0.08725682279171379,0.02097435621354323,0.0013240613472461184,0.0004759191844281404,44.18509908661994,38.864521381844945,18.513959756703194,37.7509174908231,0.02263206421783986,0.025730408208941354,0.05401329662272483,0.026489422415841703,6,2,6,6,18,8.0,0.01,6
131.0,800.0,266.6666666666667,0.0,0.6638726580751747,1.3513947238171495,true,3,3.2307490016592055e-14,0.11482583011267464,0.17164131106062816,1.6900111207781925,2.693335548775569,0.0954034958033518,0.02339810641551108,0.0014750568403866635,0.0005329771060934557,40.27058245617601,35.29578439271534,16.76429159169595,34.11607126946017,0.024832022260622585,0.02833199537014366,0.059650596896998705,0.02931169864494844,6,2,6,6,18,8.0,0.01,6
132.0,800.0,266.6666666666667,0.0,0.668940388289489,1.3513947238171495,true,3,4.8683279629813114e-14,0.12371711833694285,0.1795345214790964,1.6734721650154707,2.684543545418147,0.10458593262222983,0.026149283060329754,0.0016469792721838749,0.0005978038851952894,36.637861889042966,32.03246853443833,15.127075211164497,30.72654803021479,0.027294169158355364,0.031218324586033484,0.06610663238204519,0.032545146269494875,6,2,6,6,18,8.0,0.01,6
133.0,800.0,266.6666666666667,0.0,0.6740081185038034,1.3513947238171495,true,3,7.403799795469013e-14,0.13349501972219108,0.18810974906760247,1.6546515651107212,2.674593365373642,0.11500095293038273,0.029286785409995204,0.0018440208271590347,0.0006718259536878133,33.278100783391444,29.147250966878165,13.592789499890864,27.564280275278634,0.030049791798788097,0.034308552842131225,0.07356841654967355,0.036278835870670725,6,2,6,6,18,8.0,0.01,6
134.0,800.0,266.6666666666667,0.0,0.6790758487181177,1.3513947238171495,true,3,1.7418011477587925e-13,0.14428627492389143,0.1974779852603194,1.6330592921309623,2.6632572789929467,0.1268990296446758,0.032884099616125505,0.002071598573055239,0.0007568423929073395,30.153463007361516,26.538772649901905,12.152437275191652,24.61228815525942,0.03316368669681041,0.03768071768773739,0.08228801987247693,0.04063011101169434,6,2,6,6,18,8.0,0.01,6
