xi,process,s_label,s_value,n_points,sigma
-0.1,uubar_to_uubar,near_up,34.30263280626495,6,0.21991427175577874
-0.1,uubar_to_uubar,near_up,34.30263280626495,8,0.21988556047478713
-0.1,uubar_to_uubar,near_up,34.30263280626495,10,0.2198722007982002
-0.1,uubar_to_uubar,near_up,34.30263280626495,12,0.21986636796488093
-0.1,uubar_to_uubar,near_th,8.21643294043836,6,0.46611054201026214
-0.1,uubar_to_uubar,near_th,8.21643294043836,8,0.46610712624146866
-0.1,uubar_to_uubar,near_th,8.21643294043836,10,0.4661126079367926
-0.1,uubar_to_uubar,near_th,8.21643294043836,12,0.46611488281077373
-0.1,uubar_to_uubar,mid,21.259532873351652,6,0.30654596058572886
-0.1,uubar_to_uubar,mid,21.259532873351652,8,0.30650599280714447
-0.1,uubar_to_uubar,mid,21.259532873351652,10,0.30649358634204127
-0.1,uubar_to_uubar,mid,21.259532873351652,12,0.3064910698081131
-0.1,uubar_to_ddbar,near_up,34.30263280626495,6,0.14556053266754315
-0.1,uubar_to_ddbar,near_up,34.30263280626495,8,0.14544511019296968
-0.1,uubar_to_ddbar,near_up,34.30263280626495,10,0.1453902404632015
-0.1,uubar_to_ddbar,near_up,34.30263280626495,12,0.14536605150170986
-0.1,uubar_to_ddbar,near_th,8.21643294043836,6,0.28093185699122
-0.1,uubar_to_ddbar,near_th,8.21643294043836,8,0.28103272365810755
-0.1,uubar_to_ddbar,near_th,8.21643294043836,10,0.2810774317648038
-0.1,uubar_to_ddbar,near_th,8.21643294043836,12,0.2810910039104747
-0.1,uubar_to_ddbar,mid,21.259532873351652,6,0.15053988310493846
-0.1,uubar_to_ddbar,mid,21.259532873351652,8,0.15038944089960182
-0.1,uubar_to_ddbar,mid,21.259532873351652,10,0.15034426046265809
-0.1,uubar_to_ddbar,mid,21.259532873351652,12,0.1503363220740689
-0.1,udbar_to_udbar,near_up,34.30263280626495,6,0.08831957837681478
-0.1,udbar_to_udbar,near_up,34.30263280626495,8,0.08829317140702382
-0.1,udbar_to_udbar,near_up,34.30263280626495,10,0.08827938632931777
-0.1,udbar_to_udbar,near_up,34.30263280626495,12,0.08827315593043886
-0.1,udbar_to_udbar,near_th,8.21643294043836,6,0.33656364064833005
-0.1,udbar_to_udbar,near_th,8.21643294043836,8,0.3366174903868682
-0.1,udbar_to_udbar,near_th,8.21643294043836,10,0.3366343628758793
-0.1,udbar_to_udbar,near_th,8.21643294043836,12,0.33663887415483196
-0.1,udbar_to_udbar,mid,21.259532873351652,6,0.18440822752054192
-0.1,udbar_to_udbar,mid,21.259532873351652,8,0.1843736427133266
-0.1,udbar_to_udbar,mid,21.259532873351652,10,0.18436349609062172
-0.1,udbar_to_udbar,mid,21.259532873351652,12,0.18436204533406672
0.1,uubar_to_uubar,near_up,35.84497320623613,6,0.2162041799296833
0.1,uubar_to_uubar,near_up,35.84497320623613,8,0.21617807818739634
0.1,uubar_to_uubar,near_up,35.84497320623613,10,0.21617111704334432
0.1,uubar_to_uubar,near_up,35.84497320623613,12,0.2161702601688278
0.1,uubar_to_uubar,near_th,9.758773340409547,6,0.3960012798057495
0.1,uubar_to_uubar,near_th,9.758773340409547,8,0.3960121325233797
0.1,uubar_to_uubar,near_th,9.758773340409547,10,0.39601454550694154
0.1,uubar_to_uubar,near_th,9.758773340409547,12,0.39601493070321153
0.1,uubar_to_uubar,mid,22.80187327332284,6,0.2982962098463624
0.1,uubar_to_uubar,mid,22.80187327332284,8,0.2982785642423529
0.1,uubar_to_uubar,mid,22.80187327332284,10,0.2982795604995083
0.1,uubar_to_uubar,mid,22.80187327332284,12,0.29828245555193816
0.1,uubar_to_ddbar,near_up,35.844973206236126,6,0.14315380610462983
0.1,uubar_to_ddbar,near_up,35.844973206236126,8,0.14304279576221504
0.1,uubar_to_ddbar,near_up,35.844973206236126,10,0.14301040931347397
0.1,uubar_to_ddbar,near_up,35.844973206236126,12,0.14300481652852517
0.1,uubar_to_ddbar,near_th,9.758773340409546,6,0.24145725908074425
0.1,uubar_to_ddbar,near_th,9.758773340409546,8,0.24152989745065123
0.1,uubar_to_ddbar,near_th,9.758773340409546,10,0.2415426414188907
0.1,uubar_to_ddbar,near_th,9.758773340409546,12,0.24154450634595656
0.1,uubar_to_ddbar,mid,22.801873273322833,6,0.14648433529916496
0.1,uubar_to_ddbar,mid,22.801873273322833,8,0.14641426696840615
0.1,uubar_to_ddbar,mid,22.801873273322833,10,0.14641829482824015
0.1,uubar_to_ddbar,mid,22.801873273322833,12,0.14642989158418676
0.1,udbar_to_udbar,near_up,35.84497320623613,6,0.08687936855023287
0.1,udbar_to_udbar,near_up,35.84497320623613,8,0.08685226030824147
0.1,udbar_to_udbar,near_up,35.84497320623613,10,0.08684330156964579
0.1,udbar_to_udbar,near_up,35.84497320623613,12,0.0868413922975096
0.1,udbar_to_udbar,near_th,9.75877334040954,6,0.2906193852834568
0.1,udbar_to_udbar,near_th,9.75877334040954,8,0.2906448523652751
0.1,udbar_to_udbar,near_th,9.75877334040954,10,0.2906488114945597
0.1,udbar_to_udbar,near_th,9.75877334040954,12,0.29064935884117143
0.1,udbar_to_udbar,mid,22.801873273322833,6,0.17947052573530886
0.1,udbar_to_udbar,mid,22.801873273322833,8,0.17945379177233522
0.1,udbar_to_udbar,mid,22.801873273322833,10,0.17945484586928734
0.1,udbar_to_udbar,mid,22.801873273322833,12,0.1794577510569769
