# git_commit: f196bce86483267108100538d0befbf4ca99803a
# script: scripts/relaxtime/run_gap_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/scan/_bugprobe_single_xim010_r2.csv
# title: gap_transport_scan_channel_diagnostics
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
190.0,0.0,0.0,-0.1,u,uu_to_uu,u,1.0,0.24932734901244896,0.15932535772604758,0.03972416907229555,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,ud_to_ud,u,1.0,0.24932734901244896,0.2063097420252496,0.05143866105459772,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,uubar_to_uubar,ubar,1.0,0.24932734901244896,6.676881105371706,1.6647290656736373,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,uubar_to_ddbar,ubar,1.0,0.24932734901244896,6.296789501709672,1.569961833750692,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,uubar_to_ssbar,ubar,1.0,0.24932734901244896,0.03218851803135731,0.00802547786939773,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,udbar_to_udbar,ubar,1.0,0.24932734901244896,0.3129926715906873,0.0780376330680301,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,us_to_us,s,1.0,0.12559373224198267,0.19933917088885583,0.025035750453953787,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,u,usbar_to_usbar,sbar,1.0,0.12559373224198267,0.24385882544904092,0.030627140028291235,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,uu_to_uu,d,1.0,0.24932734901244896,0.15932535772604758,0.03972416907229555,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,ud_to_ud,d,1.0,0.24932734901244896,0.2063097420252496,0.05143866105459772,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,uubar_to_uubar,dbar,1.0,0.24932734901244896,6.676881105371706,1.6647290656736373,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,uubar_to_ddbar,dbar,1.0,0.24932734901244896,6.296789501709672,1.569961833750692,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,uubar_to_ssbar,dbar,1.0,0.24932734901244896,0.03218851803135731,0.00802547786939773,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,udbar_to_udbar,dbar,1.0,0.24932734901244896,0.3129926715906873,0.0780376330680301,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,us_to_us,s,1.0,0.12559373224198267,0.19933917088885583,0.025035750453953787,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,d,usbar_to_usbar,sbar,1.0,0.12559373224198267,0.24385882544904092,0.030627140028291235,3.467579730970895,3.467579730970895,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,s,us_to_us,u,2.0,0.24932734901244896,0.19933917088885583,0.09940141406411593,0.29816698153758225,0.29816698153758225,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,s,usbar_to_usbar,ubar,2.0,0.24932734901244896,0.24385882544904092,0.12160134896499779,0.29816698153758225,0.29816698153758225,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,s,ss_to_ss,s,1.0,0.12559373224198267,0.0781023572766403,0.009809166547270029,0.29816698153758225,0.29816698153758225,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,s,ssbar_to_ssbar,sbar,1.0,0.12559373224198267,0.26087878378015084,0.03276474011769836,0.29816698153758225,0.29816698153758225,models,hadron,crossover_possible
190.0,0.0,0.0,-0.1,s,ssbar_to_uubar,sbar,2.0,0.12559373224198267,0.13770715793704832,0.03459031184350013,0.29816698153758225,0.29816698153758225,models,hadron,crossover_possible
