# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s
120.0,0.0,0.0,0.0,0.6081276257177173,0.0,true,3,6.299558097389024e-12,0.011924161160763821,0.011924161160733521,1.8616144114604545,1.8616144114604545,2.78372281547457,8.397507226624393e-16,5.2484420166402455e-15,-21.608636761947167,21.608636761947167,-21.600885022142656,0.012746896336709775,-4263.967466324749,4263.967466324749,-4262.437838764344,-631.9307351794268,0.000455542139404129,0.000455542139404129,0.00014982603263055024,0.00045554213940305716,0.00045554213940305716,0.00014982603263017467,2008.6716808535637,2008.6716808535637,1328.704712988105,2008.6716808518213,2008.6716808518213,1328.704712986378,0.0004978414389628178,0.0004978414389628178,0.0007526126687329303,0.0004978414389632496,0.0004978414389632496,0.0007526126687339087,2.046173581340716,0.02793009482772638,1.3532903879333076,160.5232777682472,106.1662660608581
130.0,0.0,0.0,0.0,0.6588049278608604,0.0,true,3,2.818578703767116e-13,0.019772139241017925,0.019772139241017925,1.8594352536870888,1.8594352536870888,2.7824001106270027,0.0,0.0,-21.609687937613963,21.609687937613963,-21.589113994297144,0.031229188560598156,-4264.174891665551,4264.174891665551,-4260.115097152672,-458.7517653656625,0.0011260171874025093,0.0011260171874025093,0.0004110740662259292,0.0011260171874025093,0.0011260171874025093,0.0004110740662259292,799.1957126668805,799.1957126668805,517.2241063731431,799.1957126668631,799.1957126668631,517.2241063731431,0.001251257963663299,0.001251257963663299,0.001933397897890254,0.0012512579636633264,0.0012512579636633264,0.001933397897890254,2.166548172330605,0.026508141929883672,1.4735393696788446,69.37574340513405,47.18468322734482
140.0,0.0,0.0,0.0,0.7094822300040036,0.0,true,3,1.3574474877486864e-11,0.032217596193066786,0.032217596193066786,1.8546690788444125,1.8546690788444125,2.7794425716228544,0.0,0.0,-21.612180399120536,21.612180399120536,-21.560665070239704,0.0726097521576307,-4264.666721617258,4264.666721617258,-4254.50135631519,-340.9836927898307,0.002621116134036775,0.002621116134036775,0.001045678981084328,0.002621116134036775,0.002621116134036775,0.001045678981084328,339.57701244308794,339.57701244308794,218.28607423085128,339.5770124430911,339.5770124430911,218.28607423085128,0.002944840090339145,0.002944840090339145,0.004581144278321837,0.0029448400903391175,0.0029448400903391175,0.004581144278321837,2.2903419343604097,0.025352711993394523,1.6397814881271746,31.543172456893082,22.58348829737531
150.0,0.0,0.0,0.0,0.7601595321471466,0.0,true,3,9.067313289090606e-10,0.05305368548265703,0.05305368548265703,1.8441939877140467,1.8441939877140467,2.7728255718067767,0.0,0.0,-21.61791277719631,21.61791277719631,-21.491083768182502,0.1668452524111171,-4265.797874585816,4265.797874585816,-4240.7710867241485,-258.59332830815475,0.005965926392071566,0.005965926392071566,0.0025682156499483052,0.005965926392071566,0.005965926392071566,0.0025682156499483052,148.0127469659862,148.0127469659862,93.65165829657336,148.01274696598827,148.01274696598827,93.65165829657336,0.006756174859924755,0.006756174859924755,0.010677867516592488,0.00675617485992466,0.00675617485992466,0.010677867516592488,2.4060924448342225,0.024361175011487074,1.8858966914116446,14.421102249319391,11.303268532716038
160.0,0.0,0.0,0.0,0.8108368342902897,0.0,true,4,4.085620730620576e-14,0.09382502355727601,0.09382502355727601,1.8185854063585865,1.8185854063585865,2.756467977841399,0.0,0.0,-21.631474748571602,21.631474748571602,-21.2979486440864,0.4113356601234446,-4268.474017711388,4268.474017711388,-4202.660312091637,-199.40450213594528,0.014260507859485913,0.014260507859485913,0.006552395738021589,0.014260507859485913,0.014260507859485913,0.006552395738021589,61.33102201955918,61.33102201955918,38.646304123911584,61.33102201955862,61.33102201955862,38.646304123911584,0.01630496226984589,0.01630496226984589,0.025875695559236443,0.01630496226984604,0.01630496226984604,0.025875695559236443,2.509286960930755,0.02347678562887295,2.31750586378515,6.100338979065664,5.634099078814735
170.0,0.0,0.0,0.0,0.8615141364334329,0.0,true,4,6.085099091279744e-11,0.23141317367002856,0.23141317367002853,1.7140544612469204,1.7140544612469206,2.690343916686611,6.938893903907228e-18,4.336808689942018e-17,-21.672205054864207,21.672205054864207,-20.320312495547974,1.5692053120717326,-4276.51120686119,4276.51120686119,-4009.746303808995,-154.91282388746745,0.04818522655799811,0.04818522655799809,0.023306482590369906,0.0481852265579981,0.04818522655799808,0.023306482590369906,17.39074188582466,17.39074188582466,11.061059749295229,17.390741885842175,17.390741885842175,11.061059749295227,0.057501859700137825,0.057501859700137825,0.09040725054068317,0.05750185970007991,0.05750185970007991,0.09040725054068319,2.528307976151935,0.022321507234958154,1.2615135478332122,1.6112027895278749,0.803918733978607
180.0,0.0,0.0,0.0,0.9121914385765759,0.0,true,17,7.771561172376096e-16,0.4360028767074019,0.4360028767074019,1.4585535090526704,1.4585535090526685,2.536392618108211,0.0,0.0,-21.831896759388673,21.831896759388673,-17.539300787940224,4.705806029211155,-4308.0226918398885,4308.0226918398885,-3460.9776065818805,-119.92705691641865,0.1298509049215482,0.1298509049215483,0.0647054765007915,0.1298509049215482,0.1298509049215483,0.0647054765007915,5.727678487175037,5.727678487175037,3.8268828464706712,5.727678487181872,5.727678487181872,3.8268828464706712,0.17459080537413554,0.17459080537413554,0.26130927967189965,0.1745908053739272,0.1745908053739272,0.26130927967189965,2.358276467313586,0.020311344337011056,1.4245504806035172,0.5011418772203217,0.30272188691175567
190.0,0.0,0.0,0.0,0.9628687407197191,0.0,true,5,7.843917737559991e-10,0.5368059794459048,0.5368059794459048,1.1561061140560418,1.1561061140560418,2.371112356255404,0.0,0.0,-22.149418643315865,22.149418643315865,-14.559382968539227,7.882731418929735,-4370.67833262959,4370.67833262959,-2872.95936303294,-94.24484910205499,0.22284501463220927,0.22284501463220927,0.11361344876368827,0.22284501463220927,0.22284501463220927,0.11361344876368827,2.815581153882231,2.815581153882231,2.057324798873705,2.815581153882213,2.815581153882213,2.057324798873705,0.35516646310164485,0.35516646310164485,0.4860681213522805,0.3551664631016471,0.3551664631016471,0.4860681213522805,2.08356682436294,0.017684123670906965,0.8301727738123514,0.26432041301818615,0.10531536972308347
200.0,0.0,0.0,0.0,1.0135460428628622,0.0,true,5,1.7541523789077473e-14,0.6053204269768667,0.6053204269768667,0.7272072255263509,0.7272072255263515,2.1775340647989894,0.0,0.0,-22.638342630112447,22.638342630112447,-11.009132714724236,11.473785524869047,-4467.156236172199,4467.156236172199,-2172.3991311983896,-74.78870996346993,0.34330567201896006,0.34330567201895995,0.17880027119511674,0.34330567201896006,0.34330567201895995,0.17880027119511674,1.430869734359464,1.430869734359464,1.1749296937382696,1.4308697343603096,1.4308697343603096,1.1749296937382696,0.6988756390515556,0.6988756390515556,0.8511147563377206,0.6988756390511426,0.6988756390511426,0.8511147563377206,1.7109896533682827,0.014557163795012719,0.5723887490782121,0.14912163467408115,0.04988665230298916
210.0,0.0,0.0,0.0,1.0642233450060052,0.0,true,4,3.4429170625571714e-10,0.6522911887136236,0.6522911887136236,0.34406385203565376,0.3440638520356542,2.0270079441751476,0.0,0.0,-23.311769107551733,23.311769107551733,-7.292916551911034,15.052152944032915,-4600.041462685861,4600.041462685861,-1439.0893444389487,-60.20671349833184,0.459858673394156,0.459858673394156,0.2537487465768648,0.459858673394156,0.459858673394156,0.2537487465768648,0.7005384189817263,0.7005384189817263,0.7517858216869917,0.7005384189813123,0.7005384189813123,0.7517858216869917,1.4274734588483509,1.4274734588483509,1.330166080754251,1.4274734588491944,1.4274734588491944,1.330166080754251,1.2257526606065128,0.0098783759331164,0.21495383041442315,0.08143371019176593,0.01428060365940121
