# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
150.0,0.0,0.0,-0.3,0.7601596076519094,0.0,true,missing,missing,0.06694989063723338,0.06694989063733467,1.8344532263467213,1.8344532263467213,2.766782408040982,-1.002106383984902e-14,-6.263164899905638e-14,-21.622641293415256,21.622641293415256,-21.43002504798306,0.2533892139141358,-4266.730514701982,4266.730514701982,-4228.722132614863,-258.4528455838679,0.009027605393261218,0.009027605393261218,0.0038896860040882266,0.009027605393273403,0.009027605393273403,0.0038896860040939204,100.11285282264913,100.11285282264913,121.48257000217254,100.11285282269723,100.11285282269723,121.48257000220312,0.009988727439138204,0.009988727439138204,0.008231633558477702,0.009988727439133404,0.009988727439133404,0.008231633558475629,3.537197556420931,0.029588454656087733,3.1767772451439984,13.95954271999737,12.537144719271634,0.038924002746587416,0.0027883436819766223,0.8981056880403312
150.0,0.0,0.0,-0.1,0.7601596076519094,0.0,true,missing,missing,0.056743171610845286,0.05674317161085822,1.8417657124886562,1.841765712488656,2.7713171506662184,-1.1259800961986126e-15,-7.037375601241329e-15,-21.619119512067922,21.619119512067922,-21.475884058289132,0.18842813053594765,-4266.035572223084,4266.035572223084,-4237.771352642692,-258.5585462243851,0.006730038824891351,0.006730038824891351,0.002898466386370158,0.00673003882489272,0.00673003882489272,0.0028984663863707984,132.5783081640889,132.5783081640889,158.49693909673366,132.57830816409486,132.57830816409486,158.49693909673985,0.007542712030706598,0.007542712030706598,0.006309270107668649,0.007542712030706257,0.007542712030706257,0.0063092701076684025,2.8926136322444798,0.026497094255508346,2.339468509876458,15.35128339923023,12.415707268454497,0.03485727732542432,0.0022706425527374598,0.8087732436153883
150.0,0.0,0.0,0.1,0.7601596076519094,0.0,true,missing,missing,0.049970018023378436,0.04997001802338098,1.8461317607889174,1.8461317607889174,2.7740304892294763,-1.97758476261356e-16,-1.235990476633475e-15,-21.616954717263557,21.616954717263557,-21.503213209720425,0.14962845486420157,-4265.608399801154,4265.608399801154,-4243.164131571523,-258.62094405526994,0.005355935671206595,0.005355935671206595,0.002304414731555125,0.005355935671206835,0.005355935671206835,0.0023044147315552377,165.86738575908458,165.86738575908458,196.09610933301516,165.86738575908439,165.86738575908439,196.09610933301684,0.006028912769219489,0.006028912769219489,0.005099540237699341,0.006028912769219497,0.006028912769219497,0.0050995402376992965,2.530888748357915,0.02463302156496521,1.8938152183712837,16.914488294722258,12.656785235736447,0.03240506509028445,0.0019158170513733862,0.748280705582189
150.0,0.0,0.0,0.3,0.7601596076519094,0.0,true,missing,missing,0.04507788670659419,0.04507788670659489,1.849027037528046,1.8490270375280458,2.775831931060993,-4.951189921017137e-17,-3.0944937006357104e-16,-21.61549201942456,21.61549201942456,-21.521295756041788,0.12391642812190302,-4265.3197700533465,4265.3197700533465,-4246.732305835061,-258.6619574320646,0.004443966762450003,0.004443966762450005,0.0019098235411382834,0.004443966762450064,0.004443966762450064,0.0019098235411383123,199.80735033075067,199.80735033075067,234.34855381616427,199.80735033074993,199.80735033074993,234.34855381616504,0.005004820885441162,0.005004820885441162,0.004267148159081256,0.0050048208854411805,0.0050048208854411805,0.004267148159081242,2.3056616493279773,0.02340058473193325,1.6289056517360285,18.60658577940754,13.145195325785128,0.030783778164978206,0.001654456036692531,0.7064807849021558
190.0,0.0,0.0,-0.3,0.9628688363590852,0.0,true,missing,missing,0.5769408696865108,0.5769408696865108,0.7078353164115053,0.7078353164115057,2.189660186546972,0.0,0.0,-22.37951524191555,22.37951524191555,-12.38976139866907,10.374989267511172,-4416.08216550297,4416.08216550297,-2444.834204675848,-92.52374749230115,0.33593920617857304,0.335939206178573,0.16251363973368882,0.33593920617857304,0.335939206178573,0.16251363973368882,1.505369800927848,1.505369800927848,2.2275538429503308,1.5053698009278402,1.5053698009278402,2.2275538429503308,0.6642886016337256,0.6642886016337256,0.4489229309382389,0.664288601633729,0.664288601633729,0.4489229309382389,2.419971995952638,0.01859752569932332,1.1136996838491644,0.2332505541505161,0.10734465888429076,0.019314703100836154,0.08280667615637224,0.46021180646379717
190.0,0.0,0.0,-0.1,0.9628688363590852,0.0,true,missing,missing,0.5479411216919674,0.5479411216919674,1.0594612973176376,1.0594612973176383,2.3261967456894332,0.0,0.0,-22.20833690727066,22.20833690727066,-14.012588563052255,8.511801436225882,-4382.304061617594,4382.304061617594,-2765.061788734676,-93.81430517496328,0.24932770051794617,0.24932770051794617,0.12559371538268665,0.24932770051794617,0.24932770051794617,0.12559371538268665,0.21791715587175564,0.21791715587175564,3.3475363433897307,0.21791715587173685,0.21791715587173685,3.3475363433897307,4.588899832138505,4.588899832138505,0.2987271525743602,4.588899832138901,4.588899832138901,0.2987271525743602,0.7909682688701462,0.003328772777141825,0.2959556337105463,0.09292607150159979,0.03477003498354309,0.003457140423953255,0.03720312683070583,0.374168781932684
190.0,0.0,0.0,0.1,0.9628688363590852,0.0,true,missing,missing,0.5271802255877169,0.5271802255877169,1.2280241609570934,1.2280241609570937,2.4065438382829556,0.0,0.0,-22.10124560163101,22.10124560163101,-15.000727104760445,7.374336180325344,-4361.172057648629,4361.172057648629,-2960.048183386813,-94.59013979770991,0.20240112809032496,0.20240112809032496,0.10411975126500467,0.20240112809032496,0.20240112809032496,0.10411975126500467,3.252293946848283,3.252293946848283,4.292413522705948,3.2522939468483254,3.2522939468483254,4.292413522705948,0.3074752824753356,0.3074752824753356,0.2329691663466752,0.3074752824753316,0.3074752824753316,0.2329691663466752,2.3430075450213743,0.018533582119574763,0.895612798235626,0.31772453651794386,0.121449955132926,0.01924829366132168,0.060581703485259826,0.3822492164563028
190.0,0.0,0.0,0.3,0.9628688363590852,0.0,true,missing,missing,0.5110830076195158,0.5110830076195158,1.3293276111816663,1.329327611181666,2.4592582419730085,0.0,0.0,-22.026654478150864,22.026654478150864,-15.677766322093849,6.593720677537131,-4346.453216487647,4346.453216487647,-3093.6462877555928,-95.11747221909793,0.17259454364778776,0.17259454364778778,0.08990136995838928,0.17259454364778776,0.17259454364778778,0.08990136995838928,3.9947377779691844,3.9947377779691844,5.132718377601795,3.994737777972115,3.994737777972115,5.132718377601795,0.2503293221184527,0.2503293221184527,0.1948285345955877,0.2503293221182691,0.2503293221182691,0.1948285345955877,2.248948356241387,0.018094364984159752,0.846901226182691,0.3410742532517177,0.12844056756420313,0.018792138971472302,0.05509691450560308,0.376576555807665
200.0,0.0,0.0,-0.3,1.013546143535879,0.0,true,missing,missing,0.6320829520250074,0.6320829520250074,0.2796135620784485,0.2796135620784487,2.0300622896828013,0.0,0.0,-23.002518831799865,23.002518831799865,-8.72669933489479,14.08502177029863,-4539.017582673203,4539.017582673203,-1722.0132286134772,-73.66112428855024,0.46545400955362937,0.46545400955362937,0.24074560655629648,0.46545400955362937,0.46545400955362937,0.24074560655629648,0.6306915925144683,0.6306915925144683,1.2306730620443012,0.630691592514759,0.630691592514759,1.2306730620443012,1.5855610124960715,1.5855610124960715,0.8125634913458457,1.5855610124953405,1.5855610124953405,0.8125634913458457,1.589971678170242,0.011402384008835165,0.442549584248119,0.1128838637312615,0.031419872220668645,0.011249990029123452,0.0996598597644203,0.2783380297423978
200.0,0.0,0.0,-0.1,1.013546143535879,0.0,true,missing,missing,0.6143017358120229,0.6143017358120229,0.56753812107342,0.56753812107342,2.1239281014687084,0.0,0.0,-22.734562711116585,22.734562711116585,-10.292653387399513,12.27562198629848,-4486.142610499073,4486.142610499073,-2031.0182132393772,-74.38327809530534,0.3816611171261396,0.3816611171261396,0.19681061938792843,0.3816611171261396,0.3816611171261396,0.19681061938792843,1.2006030300458754,1.2006030300458754,1.7741676604620906,1.2006030300458836,1.2006030300458836,1.7741676604620906,0.8329147728052875,0.8329147728052875,0.563644587986428,0.8329147728052817,0.8329147728052817,0.563644587986428,1.9318751083140164,0.015121657609915896,0.5839637008498499,0.15737492653898044,0.0475710071148855,0.014919555174036925,0.09480261882976306,0.30227818472151957
200.0,0.0,0.0,0.1,1.013546143535879,0.0,true,missing,missing,0.5970612039985943,0.5970612039985943,0.855860812484725,0.8558608124847253,2.2262433964555375,0.0,0.0,-22.55958493431985,22.55958493431985,-11.629859270107644,10.783648809596896,-4451.614774166668,4451.614774166668,-2294.8850122472895,-75.15298906498509,0.3111770044706314,0.3111770044706314,0.16376482069405449,0.3111770044706314,0.3111770044706314,0.16376482069405449,1.6847975206108128,1.6847975206108128,2.440816558289449,1.6847975206114896,1.6847975206114896,2.440816558289449,0.5935431336802159,0.5935431336802159,0.40969895775404397,0.5935431336799775,0.5935431336799775,0.40969895775404397,1.9735579257012532,0.015416598948963703,0.6447490604431373,0.1830139278965472,0.059789508340566844,0.015210554593184107,0.0831114591550771,0.3266937605664867
200.0,0.0,0.0,0.3,1.013546143535879,0.0,true,missing,missing,0.5831811328940721,0.5831811328940721,1.0341828670847115,1.0341828670847115,2.3028024686285957,0.0,0.0,-22.438160474533245,22.438160474533245,-12.597364015884356,9.709273249580994,-4427.654452170276,4427.654452170276,-2485.7998022540773,-75.72461222110552,0.2636508864082697,0.2636508864082697,0.14104681134923522,0.2636508864082697,0.2636508864082697,0.14104681134923522,2.085362544072938,2.085362544072938,3.035481956434324,2.0853625440729346,2.0853625440729346,3.035481956434324,0.47953292478673376,0.47953292478673376,0.3294369771759953,0.4795329247867346,0.4795329247867346,0.3294369771759953,1.917552671684088,0.0149324783804812,0.5882370179775692,0.19749703426740417,0.06058507190566037,0.014732904343543188,0.07459810421049333,0.3067644642381327
250.0,0.0,0.0,0.3,1.266932679419849,0.0,true,missing,missing,0.7423466609854568,0.7423466609854568,-2.172921303413168,-2.172921303413167,0.07449048128593772,0.0,0.0,-22.278189516866654,22.278189516866654,9.74453348721972,25.27578893832792,-4396.087866142231,4396.087866142231,1922.8593684397492,-22.15879581267292,0.4618531369579211,0.4618531369579213,0.765111121844603,0.4618531369579211,0.4618531369579213,0.765111121844603,0.005971987999362257,0.005971987999362257,0.0050564264703353914,0.0059719879993622126,0.0059719879993622126,0.0050564264703353914,167.44842757667783,167.44842757667783,197.76812851263912,167.44842757667908,167.44842757667908,197.76812851263912,0.012584379858380233,6.110963892820063e-5,NaN,0.0004978827718923314,NaN,4.8234322092144486e-5,0.09687887353245335,NaN
