# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
100.0,0.0,0.0,-0.3,0.5067730717679395,0.0,true,missing,missing,0.00454230393691207,0.004542303936912049,1.8628713432310233,1.8628713432310233,2.7844634470562935,2.439454888092385e-19,1.5246593050577406e-18,-21.608108026255344,21.608108026255344,-21.606958306734647,0.00226870681326184,-4263.862708977971,4263.862708977971,-4263.635838296645,-1310.4390832513177,7.785234518934716e-5,7.785234518934716e-5,1.9532107778228e-5,7.785234518934683e-5,7.785234518934683e-5,1.953210777822792e-5,12238.431254785111,12238.431254785111,14383.071895768742,12238.431254785097,12238.431254785097,14383.071895768742,8.170981878163588e-5,8.170981878163588e-5,6.952617683112487e-5,8.170981878163597e-5,8.170981878163597e-5,6.952617683112487e-5,2.499215513270917,0.036571990649384656,1.8809939635065582,1101.603564930306,829.104030768151,0.0721664048206011,6.551032251349584e-5,0.7526337578805903
105.0,0.0,0.0,-0.3,0.5321117253563366,0.0,true,missing,missing,0.00619722276839641,0.00619722276839641,1.8626620922830448,1.8626620922830448,2.7843441900583583,0.0,0.0,-21.608185719312665,21.608185719312665,-21.606052557789173,0.004008860210823523,-4263.87803991437,4263.87803991437,-4263.457109592234,-1078.0930863016258,0.0001392991020748535,0.0001392991020748535,3.7818448552586285e-5,0.0001392991020748535,0.0001392991020748535,3.7818448552586285e-5,6750.802287889932,6750.802287889932,7970.097969660331,6750.80228788993,6750.80228788993,7970.097969660331,0.0001481305417274434,0.0001481305417274434,0.00012546897212640135,0.00014813054172744345,0.00014813054172744345,0.00012546897212640135,2.600459364327895,0.03547180608760029,1.9566363657620682,648.6779851557093,488.0779730057299,0.06666232747238574,0.00010276644035697319,0.7524195119533326
110.0,0.0,0.0,-0.3,0.5574503789447335,0.0,true,missing,missing,0.008312107445465303,0.008312107445465303,1.862321806815415,1.862321806815415,2.784147242465885,0.0,0.0,-21.60832036681693,21.60832036681693,-21.60450623239589,0.006842105710393662,-4263.904609499805,4263.904609499805,-4263.151977871662,-895.0287303431473,0.0002402766820406383,0.0002402766820406383,7.00601292730541e-5,0.0002402766820406383,0.0002402766820406383,7.00601292730541e-5,3871.154941671792,3871.154941671792,4581.113629159199,3871.1549416718062,3871.1549416718062,4581.113629159199,0.00025832084095506164,0.00025832084095506164,0.00021828753463675517,0.0002583208409550607,0.0002583208409550607,0.00021828753463675517,2.7026432080296376,0.034488364435225564,2.037193809426818,395.00167381572663,297.74369114645083,0.06186804375398011,0.00015662729516139305,0.7537783024315793
115.0,0.0,0.0,-0.3,0.5827890325331305,0.0,true,missing,missing,0.01099242624761033,0.01099242624761033,1.8617834659548316,1.861783465954832,2.7838311037182297,0.0,0.0,-21.60854643463955,21.60854643463955,-21.601938421279424,0.011338602806923503,-4263.949218780608,4263.949218780608,-4262.645279457812,-749.2156843717842,0.000401688278262018,0.00040168827826201774,0.00012497332153158566,0.000401688278262018,0.00040168827826201774,0.00012497332153158566,2295.668618031469,2295.668618031469,2726.4383495394422,2295.6686180340816,2295.6686180340816,2726.4383495394422,0.00043560294031352745,0.00043560294031352745,0.0003667788784473791,0.0004356029403130317,0.0004356029403130317,0.0003667788784473791,2.807540910645526,0.03362248711811184,2.125173695842402,247.60907128091688,187.42818070536367,0.057692381361347016,0.00023299785045392777,0.7569519958851713
120.0,0.0,0.0,-0.3,0.6081276861215275,0.0,true,missing,missing,0.014372207873787983,0.014372207873787983,1.8609506157975564,1.8609506157975548,2.783335293629738,0.0,0.0,-21.608915946452502,21.608915946452502,-21.59776870337434,0.018330431803324877,-4264.02213343088,4264.02213343088,-4261.822481614481,-631.9138223619813,0.0006539633899860444,0.0006539633899860455,0.00021586219094104083,0.0006539633899860444,0.0006539633899860455,0.00021586219094104083,1400.5751590370062,1400.5751590370062,1669.7585810707737,1400.5751590362513,1400.5751590362513,1669.7585810707737,0.0007139923863047594,0.0007139923863047594,0.0005988889719367248,0.0007139923863051442,0.0007139923863051442,0.0005988889719367248,2.913762464941433,0.03285055676678252,2.221316650509904,158.95765556449786,121.18190527879376,0.054019176427066516,0.0003398337515436491,0.7623533754851058
125.0,0.0,0.0,-0.3,0.6334663397099245,0.0,true,missing,missing,0.01862703147938186,0.01862703147938186,1.8596842930902309,1.8596842930902309,2.782571767361502,0.0,0.0,-21.609506577495907,21.609506577495907,-21.591113260823832,0.02903598110753037,-4264.138680871206,4264.138680871206,-4260.509183232764,-536.6835034041167,0.001041397830231944,0.001041397830231944,0.0003628771483003563,0.001041397830231944,0.001041397830231944,0.0003628771483003563,875.2764294364353,875.2764294364353,1045.876593995091,875.2764294364488,875.2764294364488,1045.876593995091,0.001142496206191535,0.001142496206191535,0.0009561357484635455,0.0011424962061915172,0.0011424962061915172,0.0009561357484635455,3.020616125658499,0.032165044010493464,2.327568894910168,104.0301037003745,80.16153772419014,0.05077624807219024,0.00048809187212227545,0.7705609710345945
130.0,0.0,0.0,-0.3,0.6588049932983214,0.0,true,missing,missing,0.023995462904873772,0.023995462904873772,1.8577822708669443,1.8577822708669451,2.7814113656234554,0.0,0.0,-21.61043377901547,21.61043377901547,-21.580615407296136,0.04526130193708073,-4264.3216427472835,4264.3216427472835,-4258.437673495463,-458.71834619743174,0.0016290297453312968,0.0016290297453312955,0.0005965736559752657,0.0016290297453312968,0.0016290297453312955,0.0005965736559752657,557.5623649083914,557.5623649083914,667.8835393387103,557.5623649081044,557.5623649081044,667.8835393387103,0.0017935213402796692,0.0017935213402796692,0.0014972670250117666,0.001793521340280592,0.001793521340280592,0.0014972670250117666,3.1270141776733515,0.0315441154861043,2.446326144522342,69.0880298145272,54.04895661028627,0.04788080814047569,0.0006930405783609094,0.7823201320892399
135.0,0.0,0.0,-0.3,0.6841436468867184,0.0,true,missing,missing,0.030816320384761894,0.030816320384761894,1.8549440413167402,1.8549440413167406,2.7796611167224516,0.0,0.0,-21.611869638128027,21.611869638128027,-21.564153093167004,0.06974638320207127,-4264.604976490245,4264.604976490245,-4255.189214757965,-394.3876917161393,0.0025141963434428495,0.0025141963434428486,0.0009638358520693751,0.0025141963434428495,0.0025141963434428486,0.0009638358520693751,360.48349071800357,360.48349071800357,433.04047136047035,360.48349071873133,360.48349071873133,433.04047136047035,0.00277405214315979,0.00277405214315979,0.002309252982425245,0.0027740521431541894,0.0027740521431541894,0.002309252982425245,3.233389568491784,0.030989163696278715,2.5826473845647477,46.3592435915123,37.02912274436118,0.045296282202281345,0.0009770712093882055,0.7987430310692272
140.0,0.0,0.0,-0.3,0.7094823004751154,0.0,true,missing,missing,0.03959796460619361,0.03959796460619361,1.8507071451265753,1.8507071451265775,2.7770232950236187,0.0,0.0,-21.614073790708737,21.614073790708737,-21.538296026391528,0.10680712438698417,-4265.039915263336,4265.039915263336,-4250.086917849158,-340.9176914112957,0.003847440105141133,0.0038474401051411256,0.0015384652179038668,0.003847440105141133,0.0038474401051411256,0.0015384652179038668,235.29395356022303,235.29395356022303,283.5647164561077,235.29395356033132,235.29395356033132,283.5647164561077,0.004250002963820538,0.004250002963820538,0.0035265318354753333,0.004250002963818582,0.004250002963818582,0.0035265318354753333,3.3385946235630772,0.030487936071191307,2.7426462799885534,31.258164122710227,25.678495659628304,0.04297208831111728,0.0013747476704780769,0.821497243370474
145.0,0.0,0.0,-0.3,0.7348209540635123,0.0,true,missing,missing,0.05115899125337717,0.05115899125337717,1.8443199192540733,1.8443199192540742,2.7730142845986343,0.0,0.0,-21.61744785446331,21.61744785446331,-21.49719769932936,0.16364551727734117,-4265.705709075703,4265.705709075703,-4241.977109070489,-296.1651178822371,0.005874051817236051,0.005874051817236048,0.002441956204229425,0.005874051817236051,0.005874051817236048,0.002441956204229425,154.01054360694644,154.01054360694644,186.2531580419966,154.01054360679885,154.01054360679885,186.2531580419966,0.006493061946149096,0.006493061946149096,0.005369036479770822,0.0064930619461553195,0.0064930619461553195,0.005369036479770822,3.4408456006620924,0.030026659187392266,2.9356937515366277,21.02621359820482,17.939347196179583,0.040862551647917474,0.0019434098991273562,0.8531896202990733
