# sigma_grid_n: 128
# provenance.equilibrium_backend: TransportWorkflow.EquilibriumFacade.solve_equilibrium_backend(:models)
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# x_unit: MeV
# gc_every_n: 5
# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# y_unit.tau_sbar: fm
# git_commit: 9765c65b60195aa39b55f1db62e2d0bda6505c80
# provenance.integration_mode: semi_infinite
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: semi_infinite
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
130.0,0.0,0.0,0.0,0.6588049932983214,0.0,true,missing,missing,0.019772139238380865,0.01977213923838087,1.8594354383807898,2.7824003869962977,0.0011260023059011344,0.000411074301610978,0.0011260023059011346,0.0004110743016109781,801.3416404165523,940.473212356613,801.3416404165462,940.4732123566132,0.001247907196586192,0.0010632945062775646,0.0012479071965862015,0.0010632945062775644,28,8,8,6,128,semi_infinite,5
135.0,0.0,0.0,0.0,0.6841436468867184,0.0,true,missing,missing,0.02525785042563651,0.025257850425636507,1.8575076787188474,2.781211411196079,0.0017273268554667055,0.0006603575298135958,0.0017273268554667052,0.0006603575298135958,519.4196377507457,611.6535759775174,519.4196377507476,611.6535759775176,0.0019252256313032792,0.0016349123740539645,0.0019252256313032723,0.0016349123740539643,28,8,8,6,128,semi_infinite,5
140.0,0.0,0.0,0.0,0.7094823004751154,0.0,true,missing,missing,0.032217596187105686,0.032217596187105686,1.8546692630662345,2.7794428476994164,0.002621090036287976,0.0010456795642513484,0.002621090036287976,0.0010456795642513484,340.7199883539993,402.67296961168364,340.7199883540699,402.67296961168364,0.002934961358830013,0.0024834048358506576,0.002934961358829405,0.0024834048358506576,28,8,8,6,128,semi_infinite,5
145.0,0.0,0.0,0.0,0.7348209540635123,0.0,true,missing,missing,0.04118803482779029,0.04118803482779029,1.850475455673751,2.7768059406351067,0.003953535061912504,0.0016407698525454444,0.003953535061912504,0.0016407698525454444,225.11661654049547,266.9377482955818,225.11661654049414,266.9377482955818,0.004442142101136783,0.0037461917858567302,0.0044421421011368095,0.0037461917858567302,28,8,8,6,128,semi_infinite,5
150.0,0.0,0.0,0.0,0.7601596076519094,0.0,true,missing,missing,0.05305368574651335,0.05305368574651335,1.844194170793517,2.7728258471634737,0.005965886129626436,0.0025682170371873745,0.005965886129626436,0.0025682170371873745,148.67797552519116,176.96407476804873,148.67797552513443,176.96407476804873,0.006725945766127046,0.005650864455459251,0.0067259457661296125,0.005650864455459251,28,8,8,6,128,semi_infinite,5
155.0,0.0,0.0,0.0,0.7854982612403063,0.0,true,missing,missing,0.0694362712452182,0.0694362712452182,1.8344992285192645,2.766645957210372,0.009094805877777784,0.004050201285987026,0.009094805877777784,0.004050201285987026,97.18604349924225,116.1169870911352,97.18604349924226,116.1169870911352,0.010289543271794956,0.008612004367760105,0.010289543271794955,0.008612004367760105,28,8,8,6,128,semi_infinite,5
160.0,0.0,0.0,0.0,0.8108369148287032,0.0,true,missing,missing,0.09382502343488669,0.09382502343488669,1.8185855870647807,2.7564682516807784,0.014260448975248367,0.006552399001340213,0.014260448975248367,0.006552399001340213,61.6203316562698,73.962268782343,61.620331656293025,73.962268782343,0.016228409895263054,0.013520407316638857,0.016228409895256937,0.013520407316638857,28,8,8,6,128,semi_infinite,5
165.0,0.0,0.0,0.0,0.8361755684171003,0.0,true,missing,missing,0.1359825467375407,0.1359825467375407,1.7886742617201974,2.7373668731053273,0.023996553990390114,0.011342694293675029,0.023996553990390114,0.011342694293675029,36.23356374739127,43.7214234675216,36.23356374739798,43.7214234675216,0.027598720539102298,0.022872082395552572,0.02759872053909719,0.022872082395552572,28,8,8,6,128,semi_infinite,5
170.0,0.0,0.0,0.0,0.8615142220054972,0.0,true,missing,missing,0.23141317287698346,0.23141317287698346,1.7140546321292187,2.6903441843085876,0.04818512314521524,0.02330649312610835,0.04818512314521524,0.02330649312610835,17.470585537965192,21.296044061455724,17.47058553796535,21.296044061455724,0.05723906607634346,0.046957077902084476,0.05723906607634294,0.046957077902084476,28,8,8,6,128,semi_infinite,5
175.0,0.0,0.0,0.0,0.8868528755938943,0.0,true,missing,missing,0.35707721599442366,0.35707721599442366,1.5857035071962877,2.6116615584404284,0.08941158614536897,0.043933800917952605,0.08941158614536897,0.043933800917952605,8.859968397241838,11.01487703981842,8.859968397245362,11.01487703981842,0.11286721974215011,0.09078630622793452,0.11286721974210522,0.09078630622793452,28,8,8,6,128,semi_infinite,5
180.0,0.0,0.0,0.0,0.9121915291822912,0.0,true,missing,missing,0.4360028762798056,0.4360028762798056,1.4585536547510705,2.536392870542253,0.12985066615576535,0.06470550490500804,0.12985066615576535,0.06470550490500804,5.737640138416292,7.283992408023151,5.737640138416265,7.283992408023151,0.1742876820218322,0.13728734792454245,0.17428768202183303,0.13728734792454245,28,8,8,6,128,semi_infinite,5
185.0,0.0,0.0,0.0,0.9375301827706882,0.0,true,missing,missing,0.4922410571922333,0.4922410571922333,1.319414099734396,2.4576962347246547,0.1733306172255769,0.08744531651061856,0.1733306172255769,0.08744531651061856,4.005024834749365,5.217894136241904,4.005024834749339,5.217894136241904,0.24968634184825972,0.1916481963584321,0.2496863418482614,0.1916481963584321,28,8,8,6,128,semi_infinite,5
190.0,0.0,0.0,0.0,0.9628688363590852,0.0,true,missing,missing,0.5368059789366947,0.5368059789366947,1.1561062306379006,2.3711125927280974,0.22284467376916575,0.11361349896055567,0.22284467376916575,0.11361349896055567,2.8221011121726463,3.838936157835289,2.822101112172647,3.838936157835289,0.3543459147110897,0.2604888330739741,0.3543459147110896,0.2604888330739741,28,8,8,6,128,semi_infinite,5
195.0,0.0,0.0,0.0,0.9882074899474821,0.0,true,missing,missing,0.5739554173808215,0.5739554173808215,0.9588386697996693,2.2758797246321696,0.27993131041176184,0.14407479104251913,0.27993131041176184,0.14407479104251913,1.7799733702728282,2.8456121473017277,1.7799733702729819,2.8456121473017277,0.5618061577217436,0.35141823559764535,0.5618061577216951,0.35141823559764535,28,8,8,6,128,semi_infinite,5
200.0,0.0,0.0,0.0,1.013546143535879,0.0,true,missing,missing,0.6053204265570575,0.6053204265570575,0.727207300877497,2.177534282435005,0.34330632415078255,0.17880035043991913,0.34330632415078255,0.17880035043991913,1.4222457651988591,2.111271252994907,1.4222457651993974,2.111271252994907,0.7031133609036828,0.47364828113936913,0.7031133609034167,0.47364828113936913,28,8,8,6,128,semi_infinite,5
205.0,0.0,0.0,0.0,1.038884797124276,0.0,true,missing,missing,0.6311483358094255,0.6311483358094255,0.5011501907940484,2.0917933290284676,0.4054715127010031,0.21591756084923727,0.4054715127010031,0.21591756084923727,1.0357967485491633,1.5735128618238832,1.0357967485495032,1.5735128618238832,0.9654403737033317,0.6355207029200158,0.9654403737030148,0.6355207029200158,28,8,8,6,128,semi_infinite,5
210.0,0.0,0.0,0.0,1.064223450712673,0.0,true,missing,missing,0.6522911882693126,0.6522911882693126,0.34406388851343417,2.0270081467948207,0.45985730162035054,0.2537488524143688,0.45985730162035054,0.2537488524143688,0.5298763982215438,1.2064352532510156,0.5298763982215433,1.2064352532510156,1.8872325760429425,0.8288882451878552,1.887232576042944,0.8288882451878552,28,8,8,6,128,semi_infinite,5
