point_id,series,muB_MeV,T_MeV,literature_tau_fm,model_tau_fm,relative_error,scan_entrypoint,scan_tau_path,scan_git_commit
tau_s_muB800_1,tau_s_muB800,800.0,135.35931360836344,16.006538409959983,16.421469776,0.0259226170859,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_2,tau_s_muB800,800.0,136.6515554989632,13.641541150893026,14.3438129842,0.0514803881426,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_3,tau_s_muB800,800.0,137.7283837564185,11.878896537831087,12.6124966115,0.0617565841489,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_4,tau_s_muB800,800.0,139.02067362867177,10.18621732342342,10.5347626751,0.0342173488555,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_5,tau_s_muB800,800.0,140.5280092747264,8.155053809005077,8.44183450586,0.0351660091489,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_6,tau_s_muB800,800.0,141.82013920813483,6.851109839439508,7.17328229704,0.0470248565783,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_7,tau_s_muB800,800.0,144.8342507142873,4.087230516324613,4.21416981934,0.0310575345598,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_8,tau_s_muB800,800.0,147.2585237546317,3.5866417992801125,3.72730666418,0.0392191004219,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_9,tau_s_muB800,800.0,151.7309111201801,3.1837283057478674,3.23888555593,0.017324735307,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_10,tau_s_muB800,800.0,156.4731909243921,2.9806598336450203,3.0078023566,0.0091062128772,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_11,tau_s_muB800,800.0,161.2155710538795,2.826658070704493,2.85081065883,0.00854457366856,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_12,tau_s_muB800,800.0,165.95801661289443,2.7031874833449017,2.72497227437,0.00805892715767,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
tau_s_muB800_13,tau_s_muB800,800.0,170.70045344797222,2.582221274794257,2.6143117503,0.0124274692571,workflow,TransportWorkflow.solve_gap_and_transport,9765c65b60195aa39b55f1db62e2d0bda6505c80
