# sigma_grid_n: 18
# p_cut_factor: 8.0
# y_unit.tauinv_s: 1/fm
# y_unit.tauinv_ubar: 1/fm
# x_unit: MeV
# y_unit.tauinv_sbar: 1/fm
# gc_every_n: 1
# y_unit.tau_ubar: fm
# sigma_compute_missing: false
# y_unit.tau_u: fm
# sigma_cache_max_refine: 6
# sigma_direct: true
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_unit.tauinv_u: 1/fm
# y_scale.tau_ubar: log
# sigma_cache_rtol: 0.01
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,p_cut_factor,sigma_cache_rtol,sigma_cache_max_refine,sigma_compute_missing,gc_every_n,sigma_direct
125.0,800.0,266.6666666666667,0.0,0.6334662767892888,1.3513947238171495,true,8,6.661338147750939e-16,0.07508452948942712,0.1343823272820807,1.757923127590392,2.7297714549375303,0.057504186596324065,0.012364425889747715,0.0007879981570331078,0.00027367773027530003,68.49911347605,60.387755096317775,29.26188189748413,60.35129713447575,0.014598729082087165,0.016559648531478136,0.03417415200783712,0.016569652144705085,6,2,6,6,18,8.0,0.01,6,false,1,true
126.0,800.0,266.6666666666667,0.0,0.6385340070036032,1.3513947238171495,true,3,4.468647674116255e-15,0.08042669511099901,0.13966532017505415,1.749327763108297,2.7251426544178767,0.06230950305166158,0.013718761929401444,0.0008725747183314027,0.00030542370439059856,62.93709398939139,55.61031016434378,26.811598378806707,55.16008077473017,0.01588888104952159,0.017982276974264747,0.03729729148824087,0.018129052495117412,6,2,6,6,18,8.0,0.01,6,false,1,true
127.0,800.0,266.6666666666667,0.0,0.6436017372179175,1.3513947238171495,true,3,6.827871601444713e-15,0.08620770452233091,0.1452606233954276,1.739846887685835,2.720039273146179,0.06760940287621282,0.015232085471891482,0.0009668803357842725,0.00034093596868557875,57.774179134961145,51.155496463948275,24.524808636760092,50.32946530310755,0.017308770370652753,0.019548241520923326,0.040775037832552374,0.019869076573286303,6,2,6,6,18,8.0,0.01,6,false,1,true
128.0,800.0,266.6666666666667,0.0,0.6486694674322317,1.3513947238171495,true,3,9.409140133698202e-15,0.09247648929300444,0.15120634735993216,1.729350675771854,2.7143950081969948,0.07347438244729872,0.016926982569714387,0.0010723447698269082,0.00038074528791377343,52.940688998796155,46.90743445153614,22.38562823661216,45.83580111011069,0.01888906281561125,0.021318582260839287,0.04467151823617258,0.021817007138103996,6,2,6,6,18,8.0,0.01,6,false,1,true
129.0,800.0,266.6666666666667,0.0,0.6537371976465461,1.3513947238171495,true,3,1.4099832412739488e-14,0.09928979127117413,0.15754757559433807,1.7176819007309916,2.708130464700308,0.07998921327771648,0.01883032566638641,0.0011906988791808863,0.00042548518427343264,48.424421541494574,42.86105221887081,20.385034687477475,41.64947724693916,0.020650737131534064,0.023331205097193608,0.04905559472088119,0.024009905192111155,6,2,6,6,18,8.0,0.01,6,false,1,true
130.0,800.0,266.6666666666667,0.0,0.6588049278608604,1.3513947238171495,true,3,2.1094237467877974e-14,0.10671375054173853,0.16433789932534187,1.7046481312624597,2.701149687554872,0.08725682279171379,0.02097435621354323,0.0013240613472461184,0.0004759191844281404,44.200071251711975,38.87927284130313,18.516130495193053,37.749712831030116,0.022624397917939274,0.025720645653065224,0.0540069643740958,0.02649026773994434,6,2,6,6,18,8.0,0.01,6,false,1,true
131.0,800.0,266.6666666666667,0.0,0.6638726580751747,1.3513947238171495,true,3,3.2307490016592055e-14,0.11482583011267464,0.17164131106062816,1.6900111207781925,2.693335548775569,0.0954034958033518,0.02339810641551108,0.0014750568403866635,0.0005329771060934557,40.27902442644671,35.31461414930677,16.765350038872818,34.114760475199354,0.024826817785174864,0.028316888746740848,0.059646830974680494,0.02931282489076765,6,2,6,6,18,8.0,0.01,6,false,1,true
132.0,800.0,266.6666666666667,0.0,0.668940388289489,1.3513947238171495,true,3,4.8683279629813114e-14,0.12371711833694285,0.1795345214790964,1.6734721650154707,2.684543545418147,0.10458593262222983,0.026149283060329754,0.0016469792721838749,0.0005978038851952894,36.62314294450214,32.0341021269977,15.124366731367179,30.72568765077255,0.027305138761994748,0.03121673259439415,0.06611847079362669,0.03254605759734255,6,2,6,6,18,8.0,0.01,6,false,1,true
133.0,800.0,266.6666666666667,0.0,0.6740081185038034,1.3513947238171495,true,3,7.403799795469013e-14,0.13349501972219108,0.18810974906760247,1.6546515651107212,2.674593365373642,0.11500095293038273,0.029286785409995204,0.0018440208271590347,0.0006718259536878133,33.28657999645074,29.17924759751711,13.59278669128358,27.563455855002417,0.030042137104701876,0.034270931649556684,0.07356843175073537,0.036279920967113154,6,2,6,6,18,8.0,0.01,6,false,1,true
134.0,800.0,266.6666666666667,0.0,0.6790758487181177,1.3513947238171495,true,3,1.7418011477587925e-13,0.14428627492389143,0.1974779852603194,1.6330592921309623,2.6632572789929467,0.1268990296446758,0.032884099616125505,0.002071598573055239,0.0007568423929073395,30.146018363096164,26.54483846055654,12.151159609430293,24.611796958717417,0.03317187656278248,0.0376721071965052,0.08229667226360177,0.040630921898037325,6,2,6,6,18,8.0,0.01,6,false,1,true
