# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# schema: scan_csv_v1
# tau_n_sigma_points: 6
# tau_p_nodes: 20
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: finite_15
# title: gap_transport_scan
# gc_every_n: 5
# tau_angle_nodes: 4
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s
120.0,0.0,0.0,0.0,0.6081276861215275,0.0,true,missing,missing,0.011924161160076151,0.011924161160045833,1.8616145963700896,1.8616145963700894,2.7837230919749185,8.401392284409134e-16,5.250870177755708e-15,-21.60864534727775,21.60864534727775,-21.600893604394994,0.012746900132427427,-4263.968736912828,4263.968736912828,-4262.439108896936,-631.9307351794363,0.0004555422751034263,0.00045554227510342634,0.00014982607725360037,0.000455542275102354,0.000455542275102354,0.00014982607725322455,2015.3025896660229,2015.3025896660229,1332.0769822231425,2015.302589663157,2015.302589663157,1332.0769822214047,0.0004962034014781476,0.0004962034014781476,0.0007507073640226637,0.0004962034014788532,0.0004962034014788532,0.000750707364023643,2.052768336561624,0.028021583746838667,1.3576680104834655,161.04059145638803,106.50966088842505,0.046078454223244934,0.0002861294398296072,0.6613839400687329
140.0,0.0,0.0,0.0,0.7094823004751154,0.0,true,missing,missing,0.03221759618714125,0.032217596187141255,1.8546692630662245,1.8546692630662245,2.779442847699411,-3.6140072416183483e-19,-2.2587545260114674e-18,-21.612188985856843,21.612188985856843,-21.5606736365529,0.07260977373141987,-4264.667992413269,4264.667992413269,-4254.50262409087,-340.9836927899702,0.0026211169140139593,0.0026211169140139593,0.0010456792920540935,0.0026211169140139597,0.0026211169140139597,0.0010456792920540937,341.64118340491797,341.64118340491797,219.08855645649876,341.6411834049256,341.6411834049256,219.08855645649876,0.0029270475825942384,0.0029270475825942384,0.004564364365596409,0.0029270475825941733,0.0029270475825941733,0.004564364365596409,2.3036136092280874,0.025504394917346927,1.6493422053486169,31.72594391698624,22.71515418088832,0.03594789454263698,0.0011330756505369187,0.7159804051953362
160.0,0.0,0.0,0.0,0.8108369148287032,0.0,true,missing,missing,0.09382502342277974,0.09382502342277972,1.8185855870712606,1.8185855870712626,2.7564682516848134,5.782411586589357e-19,3.6140072416183476e-18,-21.631483342930103,21.631483342930103,-21.297957107089353,0.4113357812664593,-4268.475289633295,4268.475289633295,-4202.661564630661,-199.40450213819886,0.014260512077759503,0.014260512077759482,0.006552397673010207,0.014260512077759503,0.01426051207775948,0.006552397673010207,61.89919034689423,61.89919034689423,38.82255765144335,61.899190346893356,61.899190346893356,38.822557651443354,0.01615530016460344,0.01615530016460344,0.025758220490731166,0.01615530016460367,0.01615530016460367,0.025758220490731162,2.5309986483726745,0.023689302851870504,2.33765997001917,6.1531205492991585,5.683094144695515,0.02921586624712947,0.0047481381216327966,0.9236117022512781
180.0,0.0,0.0,0.0,0.9121915291822912,0.0,true,missing,missing,0.43600287628160433,0.43600287628160433,1.458553654723059,1.4585536547230582,2.5363928705290384,0.0,0.0,-21.831905432386264,21.831905432386264,-17.539307774336272,4.705807410750648,-4308.023975351138,4308.023975351138,-3460.978641416021,-119.9270569377137,0.12985094323485596,0.12985094323485602,0.06470549553654599,0.12985094323485596,0.12985094323485602,0.06470549553654599,5.791712237430692,5.791712237430692,3.8429301086438485,5.791712237430652,5.791712237430652,3.8429301086438485,0.17266051195313148,0.17266051195313148,0.26021810746719387,0.17266051195313267,0.17266051195313267,0.26021810746719387,2.3822664803967495,0.020531336599432484,1.4391421615933853,0.5062396890604458,0.30582257962907583,0.022507703637455648,0.04446056704725929,0.6041062884592602
200.0,0.0,0.0,0.0,1.013546143535879,0.0,true,missing,missing,0.6053204265563431,0.6053204265563431,0.7272073009375706,0.7272073009375708,2.1775342824482373,0.0,0.0,-22.638351619287118,22.638351619287118,-11.009137155129412,11.47378887318122,-4467.157566267378,4467.157566267378,-2172.399791631133,-74.78871001138006,0.3433057728821322,0.34330577288213215,0.17880032346651403,0.3433057728821322,0.34330577288213215,0.17880032346651403,1.4463802031721558,1.4463802031721558,1.1802635683602682,1.446380203171297,1.446380203171297,1.1802635683602682,0.6913811443262506,0.6913811443262506,0.84726837869722,0.6913811443266612,0.6913811443266612,0.84726837869722,1.7276331276340446,0.014709519888899935,0.578056067057676,0.1505721559573234,0.050380573797102146,0.01451292571405184,0.09638518902635114,0.33459422478736034
220.0,0.0,0.0,0.0,1.114900757889467,0.0,true,missing,missing,0.6869411600437805,0.6869411600437806,0.1968011811968023,0.19680118119680215,1.9208910986131813,0.0,0.0,-24.162920169316937,24.162920169316937,-3.4617016243526706,18.567767936719456,-4767.996074657568,4767.996074657568,-683.0871285792875,-49.15702348761942,0.5589309638057691,0.5589309638057691,0.3357054311049242,0.5589309638057691,0.5589309638057691,0.3357054311049242,0.6251233441659507,0.6251233441659507,0.6225586297883916,0.6251233441659518,0.6251233441659518,0.6225586297883916,1.599684301238527,1.599684301238527,1.6062744168206313,1.599684301238524,1.599684301238524,1.6062744168206313,1.3590228191829612,0.010357515626092844,0.19390061227174965,0.07319257887187235,0.010442860602985752,0.009290078558830529,0.12692650951803905,0.14267649485703401
240.0,0.0,0.0,0.0,1.216255372243055,0.0,true,missing,missing,0.740644145463239,0.740644145463239,0.10193519226620515,0.1019351922662052,1.7005450215098812,0.0,0.0,-26.432497457728,26.432497457728,5.711200435685075,26.428411850821014,-5215.844907764143,5215.844907764143,1126.9739364329002,-33.62775175944864,0.7700033604490687,0.7700033604490687,0.5410562523964898,0.7700033604490687,0.7700033604490687,0.5410562523964898,0.5951072715610987,0.5951072715610987,0.5057069376961998,0.5951072715610985,0.5951072715610985,0.5057069376961998,1.6803693179160417,1.6803693179160417,1.977429861958397,1.680369317916042,1.680369317916042,1.977429861958397,1.8281816149205534,0.012415239266964827,0.19205054396725593,0.0691748571665974,0.007266821216927939,0.010207756981223661,0.1475645545120504,0.10505003572941071
260.0,0.0,0.0,0.0,1.3176099865966429,0.0,true,missing,missing,0.7812600011112422,0.7812600011112422,0.06812525192607469,0.06812525192607467,1.4632501979779182,0.0,0.0,-29.563934646472894,29.563934646472894,17.31146111349095,35.57607807834088,-5833.761952531438,5833.761952531438,3416.0183478371905,-23.68269479326402,1.0138096627585282,1.0138096627585282,0.8042830289352108,1.0138096627585282,1.0138096627585282,0.8042830289352108,0.5861410079823494,0.5861410079823494,0.38668897618182646,0.586141007982348,0.586141007982348,0.38668897618182646,1.7060741125113588,1.7060741125113588,2.586057688724455,1.7060741125113628,1.7060741125113628,2.586057688724455,2.32799675375337,0.014554606195300709,0.15838919330724252,0.06543713864768813,0.0044521263124748895,0.011046217274730083,0.16880654476967022,0.06803668993604722
280.0,0.0,0.0,0.0,1.4189646009502308,0.0,true,missing,missing,0.812936048389058,0.812936048389058,0.05124831351250364,0.0512483135125036,1.2386701224387573,0.0,0.0,-33.68582100448756,33.68582100448756,31.527717223742563,45.95853778491649,-6647.1213411104245,6647.1213411104245,6221.269238666191,-17.15080056021723,1.2927582970288882,1.2927582970288882,1.115273778201415,1.2927582970288882,1.2927582970288882,1.115273778201415,0.5927801820678281,0.5927801820678281,0.4577138464279289,0.5927801820678279,0.5927801820678279,0.4577138464279289,1.6869659787067177,1.6869659787067177,2.1847711355121935,1.6869659787067184,1.6869659787067184,2.1847711355121935,3.1606612140890027,0.0175924490259548,0.133962146237273,0.06877201422031155,0.0029148478758007647,0.012398088729044935,0.18027810977482184,0.04238421556860371
300.0,0.0,0.0,0.0,1.5203192153038187,0.0,true,missing,missing,0.8381757677959664,0.8381757677959664,0.04122306475465967,0.04122306475465966,1.0481758132066512,0.0,0.0,-38.91924124307492,38.91924124307492,48.49771121945288,57.499077550669845,-7679.816353955117,7679.816353955117,9569.906911245838,-12.77695088052819,1.6067860683858928,1.6067860683858928,1.4619929420989222,1.6067860683858928,1.6067860683858928,1.4619929420989222,0.6171026356892937,0.6171026356892937,0.5051346825400072,0.6171026356892948,0.6171026356892948,0.5051346825400072,1.6204759827075055,1.6204759827075055,1.9796700455641334,1.6204759827075028,1.6204759827075028,1.9796700455641334,4.155642576860812,0.02119481673707861,0.09713155246792893,0.0722732042648639,0.0016892714910484224,0.013941030622863676,0.19289349025917202,0.0233734135386837
