"shard_label","run_id","dest","files","bytes"
"a_muB0_alpha1p0","27246554475","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB0_alpha1p0","27","1573102"
"a_muB0_alpha1p1","27246561257","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB0_alpha1p1","27","1595905"
"a_muB0_alpha1p2","27246567405","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB0_alpha1p2","27","1696993"
"a_muB450_alpha1p0","27246574295","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB450_alpha1p0","27","1579028"
"a_muB450_alpha1p1","27246582982","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB450_alpha1p1","27","1544362"
"a_muB450_alpha1p2","27246592047","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB450_alpha1p2","27","1649016"
"a_muB900_alpha1p0","27246598301","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB900_alpha1p0","27","1507783"
"a_muB900_alpha1p1","27246605064","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB900_alpha1p1","27","1506179"
"a_muB900_alpha1p2","27246611493","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\a_muB900_alpha1p2","27","1511148"
"b_T120_muB0","27246617302","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T120_muB0","27","1557064"
"b_T120_muB450","27246622499","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T120_muB450","27","1610647"
"b_T120_muB900","27246627637","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T120_muB900","27","1439442"
"b_T160_muB0","27246634399","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T160_muB0","27","1565312"
"b_T160_muB450","27246639390","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T160_muB450","27","1565382"
"b_T160_muB900","27246646432","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T160_muB900","27","1526140"
"b_T200_muB0","27246651646","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T200_muB0","27","1498349"
"b_T200_muB450","27246657527","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T200_muB450","27","1544099"
"b_T200_muB900","27246669072","D:\Temp\jrt_sharded_p128_a20_phi36_ns24_g560_artifacts\b_T200_muB900","27","1498450"
