T_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T
200.1529177469735,0.0,-0.5,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.45,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.4,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.35,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.3,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.25,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.2,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.15,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.1,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
200.1529177469735,0.0,-0.05,mode_a_fixed_muB_phase_scaled,crossover,muB0.0_alpha1.0,"muB=0.0 MeV, alpha_T=1.0",muB0.0,"muB=0.0 MeV",alpha1.0,"alpha_T=1.0, T=200.153 MeV",200.1529177469735,1.0
