# git_commit: 1782dcaaa952727ec2deae56f933df54e3da288a
# script: scripts/relaxtime/run_phase_guided_transport_scan.jl
# title: phase_guided_transport_scan
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s,quality_flag,quality_reason,quality_metric,run_id
120.0,0.0,0.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,1.3938109973402607e-10,models,phase_aware_default_hadron,unknown,hadron,first_order_possible,-0.5,0.01716628543660906,0.017166285436260895,1.8600541012263234,1.8600541012263234,2.7828116637075984,1.3657243015894697e-14,8.535776884934185e-14,-21.609279277822512,21.609279277822512,-21.593550946670135,0.025863534108581415,-4264.093828513009,4264.093828513009,-4260.990204419979,-631.8909529668675,0.0009217873255020327,0.0009217873255020327,0.0003050411773926536,0.0009217873254845994,0.0009217873254845994,0.0003050411773865485,1008.2409913358824,1008.2409913358824,1227.941524838496,1008.24099132891,1008.24099132891,1227.9415248351274,0.0009918263674987431,0.0009918263674987431,0.0008143710264473092,0.000991826367505602,0.000991826367505602,0.0008143710264495432,4.0843876107690535,0.03885606546795912,3.6356694532162304,157.92070772779155,140.5712551870446,0.06389458390847572,0.000404599148698162,0.8901382042268184,false,ok,1.0000000000069154,20260601T095924_94546540
120.0,0.0,0.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,2.582807762372051e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.01632143418797703,0.01632143418797703,1.8603406213316798,1.8603406213316798,2.782979002932707,0.0,0.0,-21.60916342440643,21.60916342440643,-21.5948980727984,0.023457822976302046,-4264.070967508244,4264.070967508244,-4261.256028751088,-631.8982615353294,0.0008362118058414492,0.0008362118058414492,0.0002765510718813332,0.0008362118058414492,0.0008362118058414492,0.0002765510718813332,1103.5389233102399,1103.5389233102399,1336.8200283969404,1103.5389233102396,1103.5389233102396,1336.8200283969404,0.0009061755583575988,0.0009061755583575988,0.0007480438494021958,0.0009061755583575989,0.0009061755583575989,0.0007480438494021958,3.6819127117732493,0.036856176264890496,3.1387374780341073,156.95884121441503,133.8034429369245,0.0606059830953416,0.0003861265961600102,0.8524747118522691,false,ok,1.0000000000000002,20260601T095924_94546540
120.0,0.0,0.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,5.404460191854795e-11,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.0155880464679443,0.0155880464679443,1.8605785148131726,1.8605785148131726,2.783117951011031,0.0,0.0,-21.609067041605925,21.609067041605925,-21.596017302871086,0.021458879496286595,-4264.051948581258,4264.051948581258,-4261.476883041703,-631.9043308788756,0.0007651420162942488,0.0007651420162942488,0.0002528859063896178,0.0007651420162942488,0.0007651420162942488,0.0002528859063896178,1200.3209010819066,1200.3209010819066,1446.4895347094332,1200.3209010819064,1200.3209010819064,1446.4895347094332,0.0008331105449373181,0.0008331105449373181,0.0006913288869392873,0.0008331105449373183,0.0008331105449373183,0.0006913288869392873,3.366172632937828,0.03523647619990678,2.7564604052214348,156.86618835435166,128.45313781171254,0.057942562070533936,0.00036937572512213423,0.8188707787145584,false,ok,1.0000000000000002,20260601T095924_94546540
120.0,0.0,0.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,3.2549507036411896e-11,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.014943825540546976,0.014943825540546976,1.8607791487534064,1.8607791487534064,2.7832351401570374,0.0,0.0,-21.608985622817304,21.608985622817304,-21.596961572818994,0.019772245652876805,-4264.035882457551,4264.035882457551,-4261.663212979207,-631.9094491980289,0.0007051941135640418,0.0007051941135640418,0.000232923380685521,0.0007051941135640418,0.0007051941135640418,0.000232923380685521,1298.3462884154153,1298.3462884154153,1557.2309114801506,1298.346288415415,1298.346288415415,1557.2309114801506,0.0007702105431521384,0.0007702105431521384,0.0006421655212646006,0.0007702105431521386,0.0007702105431521386,0.0006421655212646006,3.113608005587319,0.03390021253504338,2.456467154064866,157.47366587741632,124.23814660159542,0.055745221453819487,0.0003539971025835758,0.7889455415250652,false,ok,1.0000000000000002,20260601T095924_94546540
120.0,0.0,0.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,7.432061630533604e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.014372207819693063,0.014372207819693063,1.8609506171082533,1.8609506166006065,2.7833352942030953,0.0,0.0,-21.60891594645251,21.60891594645251,-21.59776870342519,0.018330431719715174,-4264.022133430882,4264.022133430882,-4261.822481624516,-631.9138223623531,0.0006539562855840164,0.0006539562859763938,0.00021586223446035086,0.0006539562855840164,0.0006539562859763938,0.00021586223446035086,1397.4641121888083,1397.4641121888083,1668.5395999573097,1397.464112188809,1397.464112188809,1668.5395999573097,0.0007155818824096516,0.0007155818824096516,0.0005993265008667373,0.0007155818824096513,0.0007155818824096513,0.0005993265008667373,2.9080311241870027,0.032780481988333554,2.21687857841997,158.64498821701451,120.93979085258647,0.05390394605678707,0.0003397771758352082,0.7623297288607054,false,ok,1.0000000000000004,20260601T095924_94546540
120.0,0.0,0.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,7.244217637550329e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.3,0.013860610613116022,0.013860610613116022,1.861098831102487,1.861098831604809,2.7834218649541844,0.0,0.0,-21.608855650392574,21.608855650392574,-21.598466404960046,0.01708398691529358,-4264.010235391444,4264.010235391444,-4261.96015696161,-631.917601168596,0.0006096645415347942,0.0006096645411721324,0.0002011157213769521,0.0006096645415347942,0.0006096645411721324,0.0002011157213769521,1497.3968752599724,1497.3968752599724,1779.2526292349612,1497.3968752599712,1497.3968752599712,1779.2526292349612,0.0006678256222662303,0.0006678256222662303,0.0005620337345967433,0.0006678256222662309,0.0006678256222662309,0.0005620337345967433,2.7377260645096033,0.03182572339063512,2.022289234657714,160.25100452744974,118.37337763630346,0.052333949130997315,0.000326574858518487,0.7386747932430403,false,ok,1.0000000000000007,20260601T095924_94546540
120.0,0.0,0.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,7.104756439863125e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.2,0.01339928827728961,0.01339928827728961,1.861228213631242,1.861228214129289,2.783497434375645,0.0,0.0,-21.608802964339304,21.608802964339304,-21.599075427470236,0.015995878975859072,-4263.999839011643,4263.999839011643,-4262.080333534541,-631.9208985038638,0.0005709996344147998,0.000570999634077404,0.00018824464930398114,0.0005709996344147998,0.000570999634077404,0.00018824464930398114,1598.3039786770375,1598.3039786770375,1891.2284045700678,1598.303978677035,1598.303978677035,1891.2284045700678,0.0006256632113421434,0.0006256632113421434,0.0005287568638370412,0.0006256632113421443,0.0006256632113421443,0.0005287568638370412,2.595635031702244,0.031009008261721517,1.862719036561244,162.26898413144835,116.44993309667156,0.050990949712368,0.0003142371907071412,0.7176351890040773,false,ok,1.0000000000000016,20260601T095924_94546540
120.0,0.0,0.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,1.2743097008455608e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012980564064741351,0.012980564064741351,1.8613421327159836,1.8613421327159843,2.783563969823321,0.0,0.0,-21.608756535963195,21.608756535963195,-21.59961160734515,0.015037842918104418,-4263.990677440382,4263.990677440382,-4262.186136290209,-631.9238004961043,0.0005369556408054135,0.0005369556408054132,0.00017691392758642488,0.0005369556408054135,0.0005369556408054132,0.00017691392758642488,1699.9295957743332,1699.9295957743332,2003.9444281771632,1699.9295957743332,1699.9295957743332,2003.9444281771632,0.000588259656450355,0.000588259656450355,0.0004990158339418745,0.000588259656450355,0.000588259656450355,0.0004990158339418745,2.47543665687391,0.030300312904770272,1.730115642405405,164.61381265618041,115.05078566304728,0.04982557708894559,0.0003026816297184821,0.6989133160006893,false,ok,1.0,20260601T095924_94546540
120.0,0.0,0.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,5.894801515767082e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012598300171881313,0.012598300171881313,1.8614432027539078,1.8614432023191902,2.783622998171336,0.0,0.0,-21.60871531474745,21.60871531474745,-21.600087235108223,0.014187940848829333,-4263.98254338235,4263.98254338235,-4262.279990480491,-631.9263739671361,0.0005067523853525169,0.0005067523856147973,0.0001668635525400945,0.0005067523853525169,0.0005067523856147973,0.0001668635525400945,1802.0869636568034,1802.0869636568034,2117.3651498550034,1802.0869636568025,1802.0869636568025,2117.3651498550034,0.0005549121769189181,0.0005549121769189181,0.0004722850945518206,0.0005549121769189184,0.0005549121769189184,0.0004722850945518206,2.3726136516858647,0.02967827160288446,1.6186882703867338,167.22748402786246,114.08902022031576,0.04880269765740215,0.0002918341918561122,0.6822384543040002,false,ok,1.0000000000000004,20260601T095924_94546540
120.0,0.0,0.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN,0.6081276861215275,0.0,true,0,6.843479300573251e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.1,0.012247524416827624,0.012247524416827624,1.8615334769487881,1.8615334774380357,2.7836757196080004,0.0,0.0,-21.60867847242698,21.60867847242698,-21.6005119917279,0.013428891473707683,-4263.975273398501,4263.975273398501,-4262.363806421656,-631.9286715335257,0.00047977563184603523,0.00047977563156609884,0.00015788875848667285,0.00047977563184603523,0.00047977563156609884,0.00015788875848667285,1905.1162761312507,1905.1162761312507,2230.700246746849,1905.1162761312514,1905.1162761312514,2230.700246746849,0.0005249023445596274,0.0005249023445596274,0.00044828972492308374,0.0005249023445596272,0.0005249023445596272,0.00044828972492308374,2.2841356052165502,0.0291333008606827,1.524384755741244,170.0911508361387,113.5153082982184,0.04790655239936032,0.00028165223272263133,0.6673792712918736,false,ok,1.0000000000000004,20260601T095924_94546540
