T_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T
120.0,0.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.0,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.15,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.2,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.25,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.3,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.35,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.4,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,0.0,0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,"T=120.0 MeV",muB0.0,"muB=0.0 MeV",120.0,NaN
120.0,450.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.4,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.35,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.3,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.25,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.2,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.15,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,-0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,0.0,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,0.05,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
120.0,450.0,0.1,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB450.0,"T=120.0 MeV, muB=450.0 MeV",T120.0,"T=120.0 MeV",muB450.0,"muB=450.0 MeV",120.0,NaN
