mode,key,xi,field,role,old,new,abs_delta,rel_delta,signed_rel_delta
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,T_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,muq_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,muB_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,xi,unchanged_contract,-0.5,-0.5,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,T_phase_base_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,Phi,unchanged_contract,0.01716628543660906,0.01716628543660906,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,Phibar,unchanged_contract,0.017166285436260895,0.017166285436260895,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,m_u,unchanged_contract,1.8600541012263234,1.8600541012263234,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,m_d,unchanged_contract,1.8600541012263234,1.8600541012263234,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,m_s,unchanged_contract,2.7828116637075984,2.7828116637075984,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,rho_baryon,unchanged_contract,1.3657243015894697e-14,1.3657243015894697e-14,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,rho_norm,unchanged_contract,8.535776884934185e-14,8.535776884934185e-14,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,P_fm4inv,unchanged_contract,21.609279277822512,21.609279277822512,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,epsilon_fm4inv,unchanged_contract,-21.593550946670135,-21.593550946670135,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,s_fm3inv,unchanged_contract,0.025863534108581415,0.025863534108581415,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_u,unchanged_contract,1004.5073411217373,1004.5073411217373,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_d,unchanged_contract,1004.5073411217373,1004.5073411217373,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_s,unchanged_contract,1220.8671842020162,1220.8671842020162,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_ubar,unchanged_contract,1004.5073411148401,1004.5073411148401,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_dbar,unchanged_contract,1004.5073411148401,1004.5073411148401,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tau_sbar,unchanged_contract,1220.867184198705,1220.867184198705,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_u,unchanged_contract,0.0009955128838414421,0.0009955128838414421,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_d,unchanged_contract,0.0009955128838414421,0.0009955128838414421,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_s,unchanged_contract,0.0008190899165281606,0.0008190899165281606,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_ubar,unchanged_contract,0.0009955128838482776,0.0009955128838482776,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_dbar,unchanged_contract,0.0009955128838482776,0.0009955128838482776,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,tauinv_sbar,unchanged_contract,0.0008190899165303821,0.0008190899165303821,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,eta,transport_semantic_drift,4.067822352010995,3.152677308612264,0.9151450433987312,0.22497173283546026,-0.22497173283546026
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,sigma,transport_semantic_drift,0.03870736983107132,0.03194856865389276,0.006758801177178558,0.17461277288215818,-0.17461277288215818
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,zeta,transport_semantic_drift,3.621055019653835,2.220596607731204,1.400458411922631,0.3867542482291561,-0.3867542482291561
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,eta_over_s,transport_semantic_drift,157.2802206741463,121.89661688834003,35.38360378580627,0.22497173283546024,-0.22497173283546024
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,zeta_over_s,transport_semantic_drift,140.0061957678237,85.85820477621499,54.14799099160871,0.3867542482291561,-0.3867542482291561
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.5000000000,-0.5,sigma_over_T,transport_semantic_drift,0.06365007006659468,0.05253595483812293,0.01111411522847175,0.17461277288215815,-0.17461277288215815
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,T_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,muq_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,muB_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,xi,unchanged_contract,-0.49,-0.49,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,T_phase_base_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,Phi,unchanged_contract,0.016987071777976707,0.016987071777976707,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,Phibar,unchanged_contract,0.016987071777976703,0.016987071777976703,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,m_u,unchanged_contract,1.860115991995415,1.860115991995415,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,m_d,unchanged_contract,1.860115991995415,1.860115991995415,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,m_s,unchanged_contract,2.7828478091134543,2.7828478091134543,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,rho_baryon,unchanged_contract,3.614007241618348e-20,3.614007241618348e-20,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,rho_norm,unchanged_contract,2.2587545260114672e-19,2.2587545260114672e-19,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,P_fm4inv,unchanged_contract,21.60925427412086,21.60925427412086,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,epsilon_fm4inv,unchanged_contract,-21.59384183890184,-21.59384183890184,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,s_fm3inv,unchanged_contract,0.025344077519829433,0.025344077519829433,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_u,unchanged_contract,1023.9097310662224,1023.9097310662224,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_d,unchanged_contract,1023.9097310662224,1023.9097310662224,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_s,unchanged_contract,1242.9242094995802,1242.9242094995802,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_ubar,unchanged_contract,1023.9097310662978,1023.9097310662978,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_dbar,unchanged_contract,1023.9097310662978,1023.9097310662978,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tau_sbar,unchanged_contract,1242.9242094995798,1242.9242094995798,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_u,unchanged_contract,0.0009766485947532459,0.0009766485947532459,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_d,unchanged_contract,0.0009766485947532459,0.0009766485947532459,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_s,unchanged_contract,0.0008045542860594975,0.0008045542860594975,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_ubar,unchanged_contract,0.000976648594753174,0.000976648594753174,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_dbar,unchanged_contract,0.000976648594753174,0.000976648594753174,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,tauinv_sbar,unchanged_contract,0.0008045542860594978,0.0008045542860594978,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,eta,transport_semantic_drift,3.981267390384682,3.1153297814158973,0.8659376089687845,0.2175030019486119,-0.2175030019486119
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,sigma,transport_semantic_drift,0.038292608343214546,0.03182532271588232,0.006467285627332224,0.16889122750182745,-0.16889122750182745
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,zeta,transport_semantic_drift,3.5126631684458607,2.1894424358295126,1.323220732616348,0.37670014719965095,-0.37670014719965095
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,eta_over_s,transport_semantic_drift,157.08866843820624,122.9214114807862,34.16725695742004,0.217503001948612,-0.217503001948612
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,zeta_over_s,transport_semantic_drift,138.5989750740591,86.38872076194028,52.21025431211882,0.376700147199651,-0.376700147199651
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4900000000,-0.49,sigma_over_T,transport_semantic_drift,0.06296803980005311,0.05233329026483821,0.010634749535214899,0.1688912275018275,-0.1688912275018275
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,T_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,muq_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,muB_MeV,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,xi,unchanged_contract,-0.48,-0.48,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,T_phase_base_MeV,unchanged_contract,120.0,120.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,Phi,unchanged_contract,0.016813230671293793,0.016813230671293793,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,Phibar,unchanged_contract,0.016813230671293793,0.016813230671293793,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,m_u,unchanged_contract,1.8601754553683238,1.8601754553683238,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,m_d,unchanged_contract,1.8601754553683238,1.8601754553683238,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,m_s,unchanged_contract,2.7828825376644937,2.7828825376644937,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,rho_baryon,unchanged_contract,0.0,0.0,0.0,0.0,0.0
mode_b_fixed_T_sparse_muB,120.0000000000|0.0000000000|-0.4800000000,-0.48,rho_norm,unchanged_contract,0.0,0.0,0.0,0.0,0.0
