mode,key,xi,field,p104,p128,abs_delta,rel_delta,signed_rel_delta
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_u,1.1663518413993306,1.1662562822704192,9.555912891134888e-05,8.192993359250998e-05,-8.192993359250998e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_d,1.1663518413993306,1.1662562822704192,9.555912891134888e-05,8.192993359250998e-05,-8.192993359250998e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_s,1.7519214255868092,1.751916593643496,4.8319433132437695e-06,2.7580822077253273e-06,-2.7580822077253273e-06
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_ubar,0.39395549619806763,0.39392868271286496,2.681348520267024e-05,6.806221885831824e-05,-6.806221885831824e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_dbar,0.39395549619806763,0.39392868271286496,2.681348520267024e-05,6.806221885831824e-05,-6.806221885831824e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tau_sbar,0.8098612223198656,0.8098500405553447,1.118176452086228e-05,1.3807013118657375e-05,-1.3807013118657375e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_u,0.8573742197725259,0.8574444701410239,7.02503684979483e-05,8.192993359254417e-05,8.193664665656352e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_d,0.8573742197725259,0.8574444701410239,7.02503684979483e-05,8.192993359254417e-05,8.193664665656352e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_s,0.5708018552630283,0.5708034295858115,1.5743227832487605e-06,2.7580822077245162e-06,2.7580898147629615e-06
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_ubar,2.5383577831777058,2.5385305612003406,0.000172778022634823,6.80622188582694e-05,6.806685163922265e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_dbar,2.5383577831777058,2.5385305612003406,0.000172778022634823,6.80622188582694e-05,6.806685163922265e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,tauinv_sbar,1.2347794565783476,1.234796505429897,1.7048851549406052e-05,1.3807013118708543e-05,1.380720375495192e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,eta,2.329140017592779,2.329005282448458,0.00013473514432105205,5.7847593233275854e-05,-5.7847593233275854e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,sigma,0.017618201040609092,0.017616931397748482,1.269642860610154e-06,7.206427362723863e-05,-7.206427362723863e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,zeta,0.4161874354118686,0.4161645751603156,2.2860251553014077e-05,5.492777918773797e-05,-5.492777918773797e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,eta_over_s,0.1563336194039388,0.156324575880232,9.043523706814272e-06,5.7847593763228774e-05,-5.7847593763228774e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,zeta_over_s,0.02793481183481004,0.02793327743761912,1.534397190919995e-06,5.492777971777697e-05,-5.492777971777697e-05
mode_a_fixed_muB_phase_scaled,450.0000000000|1.1000000000|-0.1000000000,-0.1,sigma_over_T,0.01729286345896959,0.017291617261325484,1.2461976441058287e-06,7.206427362724833e-05,-7.206427362724833e-05
