# diagnostic_only Issue130 RS aggregate replay v4; calculation_sha=3c5f6b3c9bd535cff7657364dadb2efc31f2ea48; workflow_head_sha=22874505877491754eed27519ad8a7b871c82571; source_runs=30 unique successful shards
allowed_alpha_T_nan_count,base_found,billable_jobs,billable_os,billable_total_ms,calc_sha_in_audit,case_name,compute_bulk,config_hash,diag_duplicate_keys,diag_rows,duplicate_candidate_count,duplicate_content_consistent,expected_diag_rows,expected_scan_rows,failed_rows,git_branch,git_commit,git_dirty,hard_gate_ok,julia_version,label,manifest_hash_mismatch_count,manifest_hash_mismatch_files,mode,numeric_nonfinite_count,p_num,phase_anchor_policy,phase_reference_mode,phase_reference_source,plan_rows,propagator_xi_policy,quality_reasons,run_duration_ms,run_id,runtime_view,scan_all_converged,scan_duplicate_keys,scan_rows,sigma_cache_policy,sigma_grid_n,t_num,tau_angle_nodes,tau_n_sigma_points,tau_p_nodes,tau_phi_nodes,timing_ok,workflow_sha_in_audit
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,d006ea80ef92d4e28f297c20a5d3fcbe8da05dc9cdd859a0aece0076f2098f17,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu0_a10_full / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",11183000,32817419175,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,6f68a8123bb8ec4db878123e3aeceead27b74a507e06bbbf4fc19eb0e2c7aa67,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu0_a11_full / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",11941000,32817421815,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,413f9ecc2ab6de25cd019f201123bc4cb507fb184ff66b86dd0bb792cc14f8e5,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu0_a12_full / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",12796000,32817424871,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,0e5012eaecfea9f01d8fa71b8c99d15df5f4da5c17fe9463527fec7714b2c748,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a10_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 51}",4935000,32817427980,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,8c941ea725918786c732ae5bde0b496099e76a080e678527923d04f4b2807ea5,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a10_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",5866000,32817431677,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,363bc2abe7e04e94f2fe6c20aab649bae4648633f9f5dd45d0172ab24c4ddda6,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a11_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 51}",6598000,32817529717,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,d6f11c1eceafde7427c491a4d010705b87b6dbcd4d8251a9e5d1d145afc7c5eb,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a11_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",6384000,32817532839,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,56d54c5604c467dcdf1ec0dac0b6ce29c5274951ee793c81ef1ee86e05a856c5,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a12_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 51}",6765000,32817535505,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,b75dc9c9d2028004ef34ee0c8a948268fbf9aaf31c60fdde308f05564f413973,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu450_a12_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",6705000,32817538589,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,5732afe014a93046a13e526970b04a0cd728b9b1c6f0d4d1c43236fa0676751d,0,2184,1,True,2184,52,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a10_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,52,match_thermo,"{""ok"": 1, ""tau_u_ubar_ratio_high"": 51}",5033000,32817541560,certified_candidate_with_legacy_fallback,True,0,52,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,7fbb8e178e1194c20a53f965409bc7935a6f8e25be500579235ee628c3f58ab4,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a10_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",5599000,32817544844,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,d768460e41a6c584815a8ab4665254e93c0d9cf04b384b4d6c372eb07703ae18,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a11_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""tau_u_ubar_ratio_high"": 51}",6631000,32817549646,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,5c975d53b3dbf043d02a47fa9594e5ba3bd546be0002471985b12c1ae640eddb,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a11_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 23, ""tau_u_ubar_ratio_high"": 27}",4595000,32817552946,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,45f8c9cb04597cb41f26a1c4ac7ec757e8f0a740ff11158ac0f6e43780d66d90,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a12_neg / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""tau_u_ubar_ratio_high"": 51}",6729000,32817555686,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
0,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,496fd12618f546964e1217179461176c53ccc30d4c5b94c0fbd59f7cb6fb1a4f,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,A_mu900_a12_pos / fixed-muB-phase-scaled,2,"effective_config.json,failed_points.csv",mode_a_fixed_muB_phase_scaled,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""tau_u_ubar_ratio_high"": 50}",6405000,32817559249,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
101,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,3aaf182b498d4d51af983aac0d1ee6f770a4f9855a312d83ea7cfbcd5feaf739,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T120_mu0_full / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",8258000,32817434357,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
51,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,c1ff08fed7aeb310854b1fba6f40dd80488bb2bb8bf32e955a4c6d1031762e23,0,2142,1,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T120_mu450_neg / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 51}",5640000,32817442542,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
50,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,16a233ddb9347f6fc5d38c5ae125c49bac1b0524ad969e31aa43f7d471b6efad,0,2100,1,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T120_mu450_pos / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",5491000,32817445213,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
51,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,c5adff755c00c92a9b8481a4c4ff42778b366a3c97d777dcb0d5245a739c2c2c,0,2142,2,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T120_mu900_neg / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 13, ""tau_u_ubar_ratio_high"": 38}",6331000,32817577977,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
50,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,64743403afc60afc55b797342a6eb1c7b52cc1cdabcbcbd5a0328257416582cd,0,2100,2,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T120_mu900_pos / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",3848000,32817580774,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
101,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,4e526db766fe781edb3f5c54dc7a3ed770886be28a6b66747a17e3c0bfa02b8e,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T160_mu0_full / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",10279000,32817437525,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
51,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,232f3fba7b4c4a2b7738cbac6200051be769cfca76004dfe23b67639db039cb6,0,2142,2,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T160_mu450_neg / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""ok"": 51}",5821000,32817562105,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
50,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,734dfbde312d7eebb9ac7368a5c9bf6fef56c75845290ec2b94374219cc4622d,0,2100,2,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T160_mu450_pos / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""ok"": 50}",5569000,32817566643,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
51,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,a5a2e9da2c5869a311acc83fd2f8e3410d983fd059e551aa1dc130d69ca1ba5c,0,2142,2,True,2142,51,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T160_mu900_neg / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,51,match_thermo,"{""tau_u_ubar_ratio_high"": 51}",6596000,32817583483,certified_candidate_with_legacy_fallback,True,0,51,validated_anchored,560,8,20,24,128,36,True,True
50,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,79fe54b413b3a43793cca44ee0ef15f0ac1798803c7c3f6f9f54b392f8af7786,0,2100,2,True,2100,50,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T160_mu900_pos / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,50,match_thermo,"{""tau_u_ubar_ratio_high"": 50}",6255000,32817586501,certified_candidate_with_legacy_fallback,True,0,50,validated_anchored,560,8,20,24,128,36,True,True
101,True,1,UBUNTU,0,True,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,True,a7bc759258b052248ee3c9054df23e2094c9464cf9da815aab6fc132646aaccc,0,4242,1,True,4242,101,0,codex/issue130-rs-sharded-run-v2,22874505877491754eed27519ad8a7b871c82571,True,True,1.12.5,B_T200_mu0_full / fixed-T-sparse-muB,2,"effective_config.json,failed_points.csv",mode_b_fixed_T_sparse_muB,0,24,direct_coexistence,runtime,candidate,101,match_thermo,"{""ok"": 101}",11648000,32817439861,certified_candidate_with_legacy_fallback,True,0,101,validated_anchored,560,8,20,24,128,36,True,True
