# baseline=D:\Desktop\Julia_RelaxTime\tests\baselines\relaxtime\baseline_transport_fixedpoints_v1.csv
# rtol=8.000000e-02, atol=1.000000e-06
T,mu,xi,backend,eta,sigma,zeta,baseline_eta,baseline_sigma,baseline_zeta,eta_relerr,sigma_relerr,zeta_relerr,pass
0.750000,0.000000,0.000000,legacy,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,0.000000e+00,0.000000e+00,0.000000e+00,true
0.750000,0.000000,0.000000,models,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,4.8286710771734244e-03,9.4890300257237213e-05,2.9235829204388702e-03,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.000000,0.000000,legacy,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.000000,0.000000,models,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,9.5107022221833940e-02,1.8091382571139153e-03,4.1729484495549307e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
1.050000,0.000000,0.000000,legacy,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
1.050000,0.000000,0.000000,models,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,3.7897045073643915e-01,7.8825102684307400e-03,1.0871364807373896e-01,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.150000,0.000000,legacy,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.150000,0.000000,models,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,9.8437060420592304e-02,1.8761203868629902e-03,4.1798439517898446e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.000000,0.200000,legacy,1.5306575463359876e-02,1.6949926274687651e-04,1.6178607549243534e-02,1.5306575463359876e-02,1.6949926274687651e-04,1.6178607549243534e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
0.900000,0.000000,0.200000,models,1.5306575463359876e-02,1.6949926274687651e-04,1.6178607549243534e-02,1.5306575463359876e-02,1.6949926274687651e-04,1.6178607549243534e-02,0.000000e+00,0.000000e+00,0.000000e+00,true
