sample_id,field,S2,S1jump,N_spike,label,reason
S001,tau_u,0.00021058261,0.021277999,0,smooth,all_metrics_within_smooth_thresholds
S001,tau_s,0.0022487052,0.024596455,0,smooth,all_metrics_within_smooth_thresholds
S001,eta_over_s,0.00046315083,0.0075339069,0,smooth,all_metrics_within_smooth_thresholds
S001,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S001,sigma_over_T,0.0005246334,0.017872299,0,smooth,all_metrics_within_smooth_thresholds
S002,tau_u,0.00013104935,0.021146935,0,smooth,all_metrics_within_smooth_thresholds
S002,tau_s,0.0020783343,0.02535049,0,smooth,all_metrics_within_smooth_thresholds
S002,eta_over_s,0.00046698519,0.0076669127,0,smooth,all_metrics_within_smooth_thresholds
S002,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S002,sigma_over_T,0.00057100237,0.01966004,0,smooth,all_metrics_within_smooth_thresholds
S003,tau_u,0.00017455665,0.022961539,0,smooth,all_metrics_within_smooth_thresholds
S003,tau_s,0.0021924752,0.029135311,0,smooth,all_metrics_within_smooth_thresholds
S003,eta_over_s,0.00028640073,0.0062775526,0,smooth,all_metrics_within_smooth_thresholds
S003,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S003,sigma_over_T,0.00064911861,0.022454111,0,smooth,all_metrics_within_smooth_thresholds
S004,tau_u,0.00020764719,0.021698729,0,smooth,all_metrics_within_smooth_thresholds
S004,tau_s,0.0015980454,0.025188774,0,smooth,all_metrics_within_smooth_thresholds
S004,eta_over_s,0.00045702349,0.0064715917,0,smooth,all_metrics_within_smooth_thresholds
S004,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S004,sigma_over_T,0.0006835346,0.023330423,0,smooth,all_metrics_within_smooth_thresholds
S005,tau_u,0.042102021,0.17377954,0,suspect,S1jump_above_smooth
S005,tau_s,0.028610806,0.21704345,0,suspect,S1jump_above_smooth
S005,eta_over_s,0.048642572,0.15064085,0,suspect,S1jump_above_smooth
S005,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S005,sigma_over_T,0.086736354,0.23601805,0,suspect,S2_above_smooth;S1jump_above_smooth
S006,tau_u,0.00023831981,0.023474274,0,smooth,all_metrics_within_smooth_thresholds
S006,tau_s,0.00017237571,0.02253523,0,smooth,all_metrics_within_smooth_thresholds
S006,eta_over_s,0.00024323662,0.011370692,0,smooth,all_metrics_within_smooth_thresholds
S006,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S006,sigma_over_T,0.0008819421,0.031365401,0,smooth,all_metrics_within_smooth_thresholds
S007,tau_u,0.00022118498,0.025799131,0,smooth,all_metrics_within_smooth_thresholds
S007,tau_s,0.00020336689,0.024452541,0,smooth,all_metrics_within_smooth_thresholds
S007,eta_over_s,0.00026823426,0.015516957,0,smooth,all_metrics_within_smooth_thresholds
S007,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S007,sigma_over_T,0.00086746154,0.031309811,0,smooth,all_metrics_within_smooth_thresholds
S008,tau_u,0.00055913553,0.0056893953,0,smooth,all_metrics_within_smooth_thresholds
