T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,4.000000,0.000000,403.126568,403.126568,403.126568,403.126568,1209.379705,0.000000,0.000000,21.898844,0.878242,-17.753870,0.954943,0.954943,0.010114,-0.084792,-0.084792,-2.059145,0.118361,0.129749,21.896929,21.896929,460.955199,8,0.000000,true,
50.000000,3.950000,0.000000,402.351338,402.351338,402.351338,402.351338,1207.054015,0.000000,0.000000,21.891348,0.874194,-17.803879,0.943070,0.943070,0.009859,-0.087377,-0.087377,-2.059500,0.117677,0.129767,22.397258,22.397258,461.018572,3,0.000000,true,
50.000000,3.900000,0.000000,401.575472,401.575472,401.575472,401.575472,1204.726415,0.000000,0.000000,21.883940,0.869757,-17.853893,0.931196,0.931196,0.009608,-0.090081,-0.090081,-2.059851,0.116958,0.129751,22.920722,22.920722,461.082084,3,0.000000,true,
50.000000,3.850000,0.000000,400.798714,400.798714,400.798714,400.798714,1202.396143,0.000000,0.000000,21.876619,0.864928,-17.903911,0.919319,0.919319,0.009361,-0.092912,-0.092912,-2.060200,0.116202,0.129702,23.468926,23.468926,461.145858,3,0.000000,true,
50.000000,3.800000,0.000000,400.020820,400.020820,400.020820,400.020820,1200.062460,0.000000,0.000000,21.869381,0.859707,-17.953934,0.907441,0.907441,0.009118,-0.095881,-0.095881,-2.060547,0.115411,0.129618,24.043617,24.043617,461.210028,3,0.000000,true,
50.000000,3.750000,0.000000,399.241554,399.241554,399.241554,399.241554,1197.724662,0.000000,0.000000,21.862225,0.854090,-18.003962,0.895561,0.895561,0.008878,-0.098996,-0.098996,-2.060891,0.114582,0.129501,24.646710,24.646710,461.274738,3,0.000000,true,
50.000000,3.700000,0.000000,398.460691,398.460691,398.460691,398.460691,1195.382073,0.000000,0.000000,21.855150,0.848077,-18.053997,0.883680,0.883680,0.008641,-0.102268,-0.102268,-2.061234,0.113717,0.129349,25.280299,25.280299,461.340146,3,0.000000,true,
50.000000,3.650000,0.000000,397.678021,397.678021,397.678021,397.678021,1193.034062,0.000000,0.000000,21.848153,0.841665,-18.104037,0.871796,0.871796,0.008407,-0.105710,-0.105710,-2.061575,0.112814,0.129161,25.946684,25.946684,461.406427,3,0.000000,true,
50.000000,3.600000,0.000000,396.893347,396.893347,396.893347,396.893347,1190.680042,0.000000,0.000000,21.841234,0.834850,-18.154084,0.859912,0.859912,0.008177,-0.109335,-0.109335,-2.061916,0.111874,0.128938,26.648391,26.648391,461.473772,3,0.000000,true,
50.000000,3.550000,0.000000,396.106493,396.106493,396.106493,396.106493,1188.319480,0.000000,0.000000,21.834391,0.827631,-18.204137,0.848025,0.848025,0.007950,-0.113156,-0.113156,-2.062257,0.110895,0.128678,27.388205,27.388205,461.542397,3,0.000000,true,
50.000000,3.500000,0.000000,395.317304,395.317304,395.317304,395.317304,1185.951912,0.000000,0.000000,21.827624,0.820005,-18.254199,0.836137,0.836137,0.007725,-0.117189,-0.117189,-2.062598,0.109878,0.128381,28.169195,28.169195,461.612540,3,0.000000,true,
50.000000,3.450000,0.000000,394.525650,394.525650,394.525650,394.525650,1183.576950,0.000000,0.000000,21.820932,0.811968,-18.304268,0.824248,0.824248,0.007504,-0.121453,-0.121453,-2.062940,0.108821,0.128046,28.994752,28.994752,461.684474,3,0.000000,true,
50.000000,3.400000,0.000000,393.731435,393.731435,393.731435,393.731435,1181.194305,0.000000,0.000000,21.814316,0.803516,-18.354345,0.812357,0.812357,0.007285,-0.125966,-0.125966,-2.063284,0.107725,0.127672,29.868631,29.868631,461.758503,3,0.000000,true,
50.000000,3.350000,0.000000,392.934601,392.934601,392.934601,392.934601,1178.803804,0.000000,0.000000,21.807774,0.794647,-18.404432,0.800465,0.800465,0.007069,-0.130751,-0.130751,-2.063631,0.106589,0.127259,30.794997,30.794997,461.834976,3,0.000000,true,
50.000000,3.300000,0.000000,392.135139,392.135139,392.135139,392.135139,1176.405416,0.000000,0.000000,21.801308,0.785355,-18.454529,0.788572,0.788572,0.006856,-0.135830,-0.135830,-2.063980,0.105411,0.126806,31.778475,31.778475,461.914291,3,0.000000,true,
50.000000,3.250000,0.000000,391.333094,391.333094,391.333094,391.333094,1173.999283,0.000000,0.000000,21.794918,0.775638,-18.504636,0.776677,0.776677,0.006645,-0.141230,-0.141230,-2.064335,0.104192,0.126311,32.824212,32.824212,461.996903,3,0.000000,true,
50.000000,3.200000,0.000000,390.528587,390.528587,390.528587,390.528587,1171.585762,0.000000,0.000000,21.788607,0.765489,-18.554755,0.764781,0.764781,0.006437,-0.146982,-0.146982,-2.064694,0.102931,0.125773,33.937943,33.937943,462.083338,3,0.000000,true,
50.000000,3.150000,0.000000,389.721822,389.721822,389.721822,389.721822,1169.165465,0.000000,0.000000,21.782376,0.754905,-18.604886,0.752884,0.752884,0.006232,-0.153117,-0.153117,-2.065061,0.101627,0.125192,35.126068,35.126068,462.174205,3,0.000000,true,
50.000000,3.100000,0.000000,388.913107,388.913107,388.913107,388.913107,1166.739321,0.000000,0.000000,21.776229,0.743879,-18.655030,0.740986,0.740986,0.006029,-0.159674,-0.159674,-2.065435,0.100278,0.124566,36.395740,36.395740,462.270210,3,0.000000,true,
50.000000,3.050000,0.000000,388.102882,388.102882,388.102882,388.102882,1164.308646,0.000000,0.000000,21.770168,0.732407,-18.705190,0.729086,0.729086,0.005828,-0.166692,-0.166692,-2.065820,0.098885,0.123893,37.754955,37.754955,462.372175,3,0.000000,true,
