T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
60.000000,4.000000,0.000000,401.132796,401.132796,401.132796,401.132796,1203.398389,0.000000,0.000000,21.926732,0.995903,-17.720874,0.950451,0.950451,0.019098,-0.086312,-0.086312,-2.048141,0.130790,0.147800,22.173303,22.173303,459.249302,6,0.000000,true,
60.000000,3.950000,0.000000,400.198392,400.198392,400.198392,400.198392,1200.595175,0.000000,0.000000,21.917697,0.989835,-17.771450,0.938705,0.938705,0.018591,-0.088933,-0.088933,-2.048812,0.130010,0.147583,22.680725,22.680725,459.362036,3,0.000000,true,
60.000000,3.900000,0.000000,399.262608,399.262608,399.262608,399.262608,1197.787823,0.000000,0.000000,21.908762,0.983394,-17.822026,0.926953,0.926953,0.018093,-0.091676,-0.091676,-2.049472,0.129194,0.147336,23.211776,23.211776,459.473810,3,0.000000,true,
60.000000,3.850000,0.000000,398.325127,398.325127,398.325127,398.325127,1194.975382,0.000000,0.000000,21.899926,0.976578,-17.872602,0.915198,0.915198,0.017605,-0.094550,-0.094550,-2.050123,0.128343,0.147057,23.768098,23.768098,459.584800,3,0.000000,true,
60.000000,3.800000,0.000000,397.385640,397.385640,397.385640,397.385640,1192.156920,0.000000,0.000000,21.891184,0.969384,-17.923179,0.903437,0.903437,0.017125,-0.097563,-0.097563,-2.050764,0.127455,0.146746,24.351485,24.351485,459.695189,3,0.000000,true,
60.000000,3.750000,0.000000,396.443843,396.443843,396.443843,396.443843,1189.331528,0.000000,0.000000,21.882536,0.961811,-17.973757,0.891673,0.891673,0.016654,-0.100727,-0.100727,-2.051397,0.126531,0.146403,24.963900,24.963900,459.805169,3,0.000000,true,
60.000000,3.700000,0.000000,395.499440,395.499440,395.499440,395.499440,1186.498320,0.000000,0.000000,21.873979,0.953854,-18.024337,0.879905,0.879905,0.016191,-0.104051,-0.104051,-2.052023,0.125571,0.146028,25.607493,25.607493,459.914945,3,0.000000,true,
60.000000,3.650000,0.000000,394.552146,394.552146,394.552146,394.552146,1183.656438,0.000000,0.000000,21.865510,0.945512,-18.074918,0.868132,0.868132,0.015735,-0.107549,-0.107549,-2.052641,0.124573,0.145618,26.284625,26.284625,460.024733,3,0.000000,true,
60.000000,3.600000,0.000000,393.601688,393.601688,393.601688,393.601688,1180.805064,0.000000,0.000000,21.857129,0.936782,-18.125503,0.856356,0.856356,0.015287,-0.111233,-0.111233,-2.053254,0.123537,0.145175,26.997893,26.997893,460.134769,3,0.000000,true,
60.000000,3.550000,0.000000,392.647807,392.647807,392.647807,392.647807,1177.943420,0.000000,0.000000,21.848834,0.927660,-18.176091,0.844577,0.844577,0.014846,-0.115119,-0.115119,-2.053861,0.122464,0.144696,27.750156,27.750156,460.245308,3,0.000000,true,
60.000000,3.500000,0.000000,391.690261,391.690261,391.690261,391.690261,1175.070784,0.000000,0.000000,21.840624,0.918143,-18.226682,0.832794,0.832794,0.014413,-0.119222,-0.119222,-2.054463,0.121351,0.144182,28.544572,28.544572,460.356631,3,0.000000,true,
60.000000,3.450000,0.000000,390.728834,390.728834,390.728834,390.728834,1172.186502,0.000000,0.000000,21.832497,0.908228,-18.277278,0.821007,0.821007,0.013986,-0.123561,-0.123561,-2.055061,0.120200,0.143631,29.384628,29.384628,460.469047,3,0.000000,true,
60.000000,3.400000,0.000000,389.763334,389.763334,389.763334,389.763334,1169.290003,0.000000,0.000000,21.824453,0.897912,-18.327879,0.809217,0.809217,0.013566,-0.128156,-0.128156,-2.055656,0.119009,0.143043,30.274189,30.274189,460.582904,3,0.000000,true,
60.000000,3.350000,0.000000,388.793606,388.793606,388.793606,388.793606,1166.380818,0.000000,0.000000,21.816492,0.887190,-18.378485,0.797424,0.797424,0.013152,-0.133028,-0.133028,-2.056250,0.117777,0.142416,31.217543,31.217543,460.698588,3,0.000000,true,
60.000000,3.300000,0.000000,387.819536,387.819536,387.819536,387.819536,1163.458608,0.000000,0.000000,21.808614,0.876058,-18.429098,0.785628,0.785628,0.012744,-0.138203,-0.138203,-2.056842,0.116505,0.141750,32.219453,32.219453,460.816539,3,0.000000,true,
60.000000,3.250000,0.000000,386.841064,386.841064,386.841064,386.841064,1160.523193,0.000000,0.000000,21.800819,0.864513,-18.479718,0.773828,0.773828,0.012343,-0.143708,-0.143708,-2.057435,0.115191,0.141044,33.285221,33.285221,460.937254,3,0.000000,true,
