T_MeV,mu_MeV,rho,xi
130.0,-0.0,0.0,0.4
130.0,106.269683,0.005,0.4
130.0,135.914809,0.01,0.4
130.0,153.288492,0.015,0.4
130.0,165.587464,0.02,0.4
130.0,175.098347,0.025,0.4
130.0,182.843746,0.03,0.4
130.0,189.370128,0.035,0.4
130.0,195.003995,0.04,0.4
130.0,199.956069,0.045,0.4
130.0,204.370286,0.05,0.4
130.0,208.349335,0.055,0.4
130.0,211.969054,0.06,0.4
130.0,215.287042,0.065,0.4
130.0,218.348075,0.07,0.4
130.0,221.187655,0.075,0.4
130.0,223.8344,0.08,0.4
130.0,226.311722,0.085,0.4
130.0,228.639014,0.09,0.4
130.0,230.832521,0.095,0.4
130.0,232.905988,0.1,0.4
130.0,234.871146,0.105,0.4
130.0,236.738089,0.11,0.4
130.0,238.515564,0.115,0.4
130.0,240.211201,0.12,0.4
130.0,241.831694,0.125,0.4
130.0,243.382951,0.13,0.4
130.0,244.87021,0.135,0.4
130.0,246.298136,0.14,0.4
130.0,247.670904,0.145,0.4
130.0,248.992266,0.15,0.4
130.0,251.49397,0.16,0.4
130.0,253.826664,0.17,0.4
130.0,256.009744,0.18,0.4
130.0,258.05946,0.19,0.4
130.0,259.989556,0.2,0.4
130.0,261.811765,0.21,0.4
130.0,263.536182,0.22,0.4
130.0,265.171553,0.23,0.4
130.0,266.725507,0.24,0.4
130.0,268.204739,0.25,0.4
130.0,269.615156,0.26,0.4
130.0,270.961994,0.27,0.4
130.0,272.24992,0.28,0.4
130.0,273.483107,0.29,0.4
130.0,274.665305,0.3,0.4
130.0,276.889932,0.32,0.4
130.0,278.947208,0.34,0.4
130.0,279.91928,0.35,0.4
130.0,280.856523,0.36,0.4
130.0,282.634116,0.38,0.4
130.0,284.293727,0.4,0.4
130.0,285.847078,0.42,0.4
130.0,287.304257,0.44,0.4
130.0,287.999558,0.45,0.4
130.0,288.674002,0.46,0.4
130.0,289.963938,0.48,0.4
130.0,291.18075,0.5,0.4
130.0,292.33034,0.52,0.4
130.0,293.417939,0.54,0.4
130.0,293.939969,0.55,0.4
130.0,294.448208,0.56,0.4
130.0,295.425315,0.58,0.4
130.0,296.353005,0.6,0.4
130.0,297.234656,0.62,0.4
130.0,298.073323,0.64,0.4
130.0,298.477414,0.65,0.4
130.0,298.871779,0.66,0.4
130.0,299.63255,0.68,0.4
130.0,300.357941,0.7,0.4
130.0,301.050065,0.72,0.4
130.0,301.71086,0.74,0.4
130.0,302.030073,0.75,0.4
130.0,302.342112,0.76,0.4
130.0,302.945467,0.78,0.4
130.0,303.522447,0.8,0.4
130.0,304.074462,0.82,0.4
130.0,304.602824,0.84,0.4
130.0,304.858519,0.85,0.4
130.0,305.108751,0.86,0.4
130.0,305.593379,0.88,0.4
130.0,306.057768,0.9,0.4
130.0,306.502913,0.92,0.4
130.0,306.929743,0.94,0.4
130.0,307.136564,0.95,0.4
130.0,307.339131,0.96,0.4
130.0,307.731899,0.98,0.4
130.0,308.10882,1.0,0.4
130.0,308.986482,1.05,0.4
130.0,309.779912,1.1,0.4
130.0,310.498181,1.15,0.4
130.0,311.149299,1.2,0.4
130.0,311.740407,1.25,0.4
130.0,312.277928,1.3,0.4
130.0,312.767685,1.35,0.4
130.0,313.215012,1.4,0.4
130.0,313.624835,1.45,0.4
130.0,314.001746,1.5,0.4
130.0,314.350066,1.55,0.4
130.0,314.673902,1.6,0.4
130.0,314.97719,1.65,0.4
