T_MeV,xi,sample_index,rho,mu_MeV,has_s_shape,mu_spinodal_low,mu_spinodal_high
130.0,0.4,1,0.0,-0.0,false,,
130.0,0.4,2,0.0025,77.229377,false,,
130.0,0.4,3,0.005,106.269683,false,,
130.0,0.4,4,0.0075,123.58694,false,,
130.0,0.4,5,0.01,135.914809,false,,
130.0,0.4,6,0.0125,145.479499,false,,
130.0,0.4,7,0.015,153.288492,false,,
130.0,0.4,8,0.0175,159.883041,false,,
130.0,0.4,9,0.02,165.587464,false,,
130.0,0.4,10,0.0225,170.611437,false,,
130.0,0.4,11,0.025,175.098347,false,,
130.0,0.4,12,0.0275,179.150566,false,,
130.0,0.4,13,0.03,182.843746,false,,
130.0,0.4,14,0.0325,186.235367,false,,
130.0,0.4,15,0.035,189.370128,false,,
130.0,0.4,16,0.0375,192.283476,false,,
130.0,0.4,17,0.04,195.003995,false,,
130.0,0.4,18,0.0425,197.555067,false,,
130.0,0.4,19,0.045,199.956069,false,,
130.0,0.4,20,0.0475,202.22323,false,,
130.0,0.4,21,0.05,204.370286,false,,
130.0,0.4,22,0.0525,206.408958,false,,
130.0,0.4,23,0.055,208.349335,false,,
130.0,0.4,24,0.0575,210.200159,false,,
130.0,0.4,25,0.06,211.969054,false,,
130.0,0.4,26,0.0625,213.662714,false,,
130.0,0.4,27,0.065,215.287042,false,,
130.0,0.4,28,0.0675,216.847274,false,,
130.0,0.4,29,0.07,218.348075,false,,
130.0,0.4,30,0.0725,219.793619,false,,
130.0,0.4,31,0.075,221.187655,false,,
130.0,0.4,32,0.0775,222.533563,false,,
130.0,0.4,33,0.08,223.8344,false,,
130.0,0.4,34,0.0825,225.092944,false,,
130.0,0.4,35,0.085,226.311722,false,,
130.0,0.4,36,0.0875,227.493041,false,,
130.0,0.4,37,0.09,228.639014,false,,
130.0,0.4,38,0.0925,229.751579,false,,
130.0,0.4,39,0.095,230.832521,false,,
130.0,0.4,40,0.0975,231.883484,false,,
130.0,0.4,41,0.1,232.905988,false,,
130.0,0.4,42,0.1025,233.90144,false,,
130.0,0.4,43,0.105,234.871146,false,,
130.0,0.4,44,0.1075,235.816319,false,,
130.0,0.4,45,0.11,236.738089,false,,
130.0,0.4,46,0.1125,237.63751,false,,
130.0,0.4,47,0.115,238.515564,false,,
130.0,0.4,48,0.1175,239.373174,false,,
130.0,0.4,49,0.12,240.211201,false,,
130.0,0.4,50,0.1225,241.030455,false,,
130.0,0.4,51,0.125,241.831694,false,,
130.0,0.4,52,0.1275,242.615636,false,,
130.0,0.4,53,0.13,243.382951,false,,
130.0,0.4,54,0.1325,244.134276,false,,
130.0,0.4,55,0.135,244.87021,false,,
130.0,0.4,56,0.1375,245.591318,false,,
130.0,0.4,57,0.14,246.298136,false,,
130.0,0.4,58,0.1425,246.991171,false,,
130.0,0.4,59,0.145,247.670904,false,,
130.0,0.4,60,0.1475,248.337792,false,,
130.0,0.4,61,0.15,248.992266,false,,
130.0,0.4,62,0.155,250.265601,false,,
130.0,0.4,63,0.16,251.49397,false,,
130.0,0.4,64,0.165,252.680148,false,,
130.0,0.4,65,0.17,253.826664,false,,
130.0,0.4,66,0.175,254.935825,false,,
130.0,0.4,67,0.18,256.009744,false,,
130.0,0.4,68,0.185,257.050361,false,,
