T_MeV,mu_MeV,rho,xi
50.0,-0.004899,0.0,0.4
50.0,316.687082,0.005,0.4
50.0,328.076514,0.01,0.4
50.0,334.671258,0.015,0.4
50.0,339.302968,0.02,0.4
50.0,342.859056,0.025,0.4
50.0,345.734797,0.03,0.4
50.0,348.141045,0.035,0.4
50.0,350.203662,0.04,0.4
50.0,352.003831,0.045,0.4
50.0,353.59698,0.05,0.4
50.0,355.022646,0.055,0.4
50.0,356.310019,0.06,0.4
50.0,357.481266,0.065,0.4
50.0,358.553617,0.07,0.4
50.0,359.540729,0.075,0.4
50.0,360.45361,0.08,0.4
50.0,361.301264,0.085,0.4
50.0,362.091147,0.09,0.4
50.0,362.829505,0.095,0.4
50.0,363.521621,0.1,0.4
50.0,364.172002,0.105,0.4
50.0,364.784525,0.11,0.4
50.0,365.362551,0.115,0.4
50.0,365.909009,0.12,0.4
50.0,366.426468,0.125,0.4
50.0,366.917198,0.13,0.4
50.0,367.383206,0.135,0.4
50.0,367.826285,0.14,0.4
50.0,368.248037,0.145,0.4
50.0,368.649901,0.15,0.4
50.0,369.399032,0.16,0.4
50.0,370.082674,0.17,0.4
50.0,370.708285,0.18,0.4
50.0,371.282125,0.19,0.4
50.0,371.809507,0.2,0.4
50.0,372.294979,0.21,0.4
50.0,372.742473,0.22,0.4
50.0,373.155416,0.23,0.4
50.0,373.536815,0.24,0.4
50.0,373.889327,0.25,0.4
50.0,374.215314,0.26,0.4
50.0,374.516889,0.27,0.4
50.0,374.795949,0.28,0.4
50.0,375.054206,0.29,0.4
50.0,375.293208,0.3,0.4
50.0,375.718951,0.32,0.4
50.0,376.083003,0.34,0.4
50.0,376.244508,0.35,0.4
50.0,376.39355,0.36,0.4
50.0,376.65743,0.38,0.4
50.0,376.880339,0.4,0.4
50.0,377.066985,0.42,0.4
50.0,377.221215,0.44,0.4
50.0,377.287165,0.45,0.4
50.0,377.346116,0.46,0.4
50.0,377.444111,0.48,0.4
50.0,377.517051,0.5,0.4
50.0,377.566299,0.52,0.4
50.0,377.592825,0.54,0.4
50.0,377.597785,0.55,0.4
50.0,377.597295,0.56,0.4
50.0,377.580155,0.58,0.4
50.0,377.541718,0.6,0.4
50.0,377.482233,0.62,0.4
50.0,377.401948,0.64,0.4
50.0,377.354097,0.65,0.4
50.0,377.301163,0.66,0.4
50.0,377.180262,0.68,0.4
50.0,377.03974,0.7,0.4
50.0,376.880212,0.72,0.4
50.0,376.702423,0.74,0.4
50.0,376.606945,0.75,0.4
50.0,376.507236,0.76,0.4
50.0,376.295632,0.78,0.4
50.0,376.068692,0.8,0.4
50.0,375.827589,0.82,0.4
50.0,375.573571,0.84,0.4
50.0,375.442127,0.85,0.4
50.0,375.307951,0.86,0.4
50.0,375.032096,0.88,0.4
50.0,374.747414,0.9,0.4
50.0,374.455349,0.92,0.4
50.0,374.15737,0.94,0.4
50.0,374.006628,0.95,0.4
50.0,373.854967,0.96,0.4
50.0,373.549646,0.98,0.4
50.0,373.242921,1.0,0.4
50.0,372.479946,1.05,0.4
50.0,371.741381,1.1,0.4
50.0,371.050342,1.15,0.4
50.0,370.428501,1.2,0.4
50.0,369.89468,1.25,0.4
50.0,369.462856,1.3,0.4
50.0,369.139739,1.35,0.4
50.0,368.922589,1.4,0.4
50.0,368.798379,1.45,0.4
50.0,368.745458,1.5,0.4
50.0,368.737883,1.55,0.4
50.0,368.751109,1.6,0.4
50.0,368.766865,1.65,0.4
50.0,368.77573,1.7,0.4
50.0,368.777263,1.75,0.4
50.0,368.778592,1.8,0.4
50.0,368.79243,1.85,0.4
